frame,video_time_s,sim_time_s,root_x,root_y,root_z,root_roll,root_pitch,root_yaw,joint_target_abs_mean,joint_error_abs_mean,joint_error_abs_max,joint_velocity_abs_mean,ctrl_abs_mean,root_target_x,root_target_y,root_target_z,root_position_error_m,root_orientation_error_rad,contact_count,fall_proxy
0,0.0,0.2200000000000001,0.012712072209722524,-0.010655254966525798,0.7791527202445325,-0.00036305419373594853,0.0008964138205210652,0.04997281474927144,0.14986368717189844,0.07349723306869232,0.49291176449764307,0.22951272871221504,0.14986368717189844,0.0,0.0,0.7735038259168429,0.017347782272532555,0.023101788399723447,6,False
1,0.03333333333333333,0.24000000000000013,0.015022933948419245,-0.009982989113265357,0.7798059697652285,-0.006888889284395021,-0.0012430061985672393,0.12098501443400701,0.22257182471804937,0.1494911299222733,0.6947824489899492,0.5990994900965664,0.22257182471804937,0.0,0.0,0.7838249505487198,0.01814389503046911,0.6207554729369833,6,False
2,0.06666666666666667,0.2600000000000001,0.018067472807582256,-0.009049456016480027,0.7811378642540782,-0.009873026842530306,-0.013702270034098796,0.22035237272006716,0.2708040875083423,0.21732682169565898,1.4255215342858385,0.9722400503522856,0.2708040875083423,0.0,0.0,0.793198940411708,0.023133665185811052,0.8590509822807032,6,False
3,0.1,0.28000000000000014,0.021741815305144387,-0.006650730169256055,0.7811588883902381,-0.0034434804178843943,-0.017869644847599214,0.23211413027156858,0.28161331654957894,0.18699481450013458,1.340853403260891,0.8169502600815014,0.28161331654957894,0.0,0.0,0.7939326229968817,0.0255105248808842,0.14437440133143356,5,False
4,0.13333333333333333,0.30000000000000016,0.023981670077647017,-0.0036180781225279017,0.7801380562859935,-0.007718939052035348,-0.01239413941774182,0.17659514456701778,0.2476795544751202,0.17330826067417493,0.8735503699796695,0.8799530885127851,0.2476795544751202,0.0,0.0,0.7803292202931349,0.02397177430911982,0.48799452448472885,7,False
5,0.16666666666666666,0.3200000000000002,0.024890897766868883,-0.0032398307276197747,0.7800002278692938,-0.014577471034851342,-0.024418255894757122,0.09923408186076957,0.2259984767351744,0.21294258219965637,0.6222842248192522,1.0657129007048345,0.2259984767351744,0.0,0.0,0.7787587359363033,0.02490949954924911,0.7271494001880071,6,False
6,0.2,0.3400000000000002,0.025332869878031808,-0.005142433958156384,0.7799884186151353,-0.02532557858723941,-0.02841027779008658,0.06626160019439893,0.19154923036921256,0.19506117015089094,0.6149990813101474,0.847247833078245,0.19154923036921256,0.0,0.0,0.7875057177606757,0.02676318575956418,0.35896713519292794,6,False
7,0.23333333333333334,0.3600000000000002,0.025224570478758833,-0.007908524910932175,0.779270738063811,-0.03126529883045332,-0.024544073348006897,0.03252747382118321,0.20800879512379383,0.15227302071780635,0.5014606474037905,0.6662745117510773,0.20800879512379383,0.0,0.0,0.7834122210785509,0.026587862780483265,0.3139132833700476,5,False
8,0.26666666666666666,0.3800000000000002,0.024901960056033293,-0.011131690671538597,0.7781058584114388,-0.027673499490007882,-0.021851159777659956,0.010554054891650863,0.25699728428518137,0.15132781329790884,0.6586622334521868,0.6218749910564014,0.25699728428518137,0.0,0.0,0.7839363253810986,0.027610382577335946,0.20635271488689064,4,False
9,0.3,0.40000000000000024,0.02426214252739623,-0.014273885113118803,0.77683554427676,-0.01786660066652251,-0.021401232131680444,-0.0001386026400448248,0.2932578382433984,0.16931549882316393,0.6226171100310705,0.6865276796403955,0.2932578382433984,0.0,0.0,0.7951768914815128,0.033319429253537626,0.1533826434815241,5,False
10,0.3333333333333333,0.42000000000000026,0.022126293670065383,-0.016782581110119203,0.776050850688961,-0.0035350503552909703,-0.01831150406999829,-0.003339449839102285,0.24451959160548697,0.13425090679883572,0.5031090946701919,0.5838207185935709,0.24451959160548697,0.0,0.0,0.7849964298006255,0.02940208669026053,0.1685588478563796,9,False
11,0.36666666666666664,0.4400000000000003,0.018779952042795155,-0.017186051779796385,0.7764147828312923,0.011923298722551028,-0.012476400452276368,-0.006130843436007096,0.24011555663448172,0.17250005077384606,0.8051232272736227,0.7890847571943846,0.24011555663448172,0.0,0.0,0.7869900925121482,0.028208392502962094,0.13485591822904616,3,False
12,0.4,0.4600000000000003,0.014526407112158704,-0.01501396161557604,0.7766263725211195,0.025564031739833824,-0.01484355955966243,-0.012944413831703914,0.2617242802881247,0.1802223908696653,0.5879463456045737,0.6923417000461974,0.2617242802881247,0.0,0.0,0.8055619526075208,0.036557361786973545,0.10563505649341684,7,False
13,0.43333333333333335,0.4800000000000003,0.010657728710937332,-0.011890854346189918,0.7770897309990045,0.024310884663288998,-0.019307013692504316,0.007505789281560701,0.2196217415048457,0.18520532372698148,0.566392480908765,0.7607055190787828,0.2196217415048457,0.0,0.0,0.7769090427273443,0.017057968583189507,0.1748717270492501,7,False
14,0.4666666666666667,0.5000000000000003,0.008775592763757674,-0.010384667997307537,0.779503733717688,0.016101719128211713,-0.01805743725084529,0.033372170326427676,0.2487253816343695,0.19877616666093198,1.0212322407762255,0.844218053650867,0.2487253816343695,0.0,0.0,0.7631676004863712,0.021041513020369818,0.26248125826204355,5,False
15,0.5,0.5200000000000004,0.007017731740766428,-0.010512260069247888,0.7806914098648449,0.003602361117946691,-0.014396342124043835,0.04640207316850852,0.2795964082723139,0.17687740266986365,0.6778705963830853,0.6932085884431977,0.2795964082723139,0.0,0.0,0.7900248474382982,0.01588980775214857,0.19203375110389628,5,False
16,0.5333333333333333,0.5400000000000004,0.004756756081024733,-0.01159747109050524,0.7801706909492926,0.004795387755500544,-0.006622064874378002,0.035667861917985426,0.27736764431883704,0.12882349015520672,0.6716676305195663,0.39635211618772126,0.27736764431883704,0.0,0.0,0.7803885386035571,0.012557101197200203,0.16129095175985023,4,False
17,0.5666666666666667,0.5600000000000004,0.002326856303295618,-0.012398907218055482,0.7793823608676684,0.011508658215822809,0.00192630184411237,0.021470085791743802,0.2731633445846079,0.13613888369954594,0.7106791772712738,0.49430133424080097,0.2731633445846079,0.0,0.0,0.7763022567011298,0.012956291047346974,0.1700293898586414,7,False
18,0.6,0.5800000000000004,0.00016510442085342417,-0.01309353894961194,0.7793943643399599,0.017014354483160448,0.011579190275951022,0.023116874043358493,0.2688416997131118,0.14773788447772834,0.7241233491714792,0.5698719543164071,0.2688416997131118,0.0,0.0,0.7854573132820174,0.014311266748708069,0.15299035966391278,5,False
19,0.6333333333333333,0.6000000000000004,-0.002709362221796561,-0.013299588174485361,0.7783401575312302,0.025285402726632978,0.03287409132187861,-0.017563760582022313,0.25193804580635465,0.18733368540564668,0.7894574297712479,0.7587278583816167,0.25193804580635465,0.0,0.0,0.7427941394581798,0.03832948608887575,0.4183292028665871,4,False
20,0.6666666666666666,0.6200000000000004,-0.006088512325891169,-0.013738807871347401,0.7766850291581149,0.038688424969273834,0.06302388438014445,-0.09953344453792447,0.3076865044145677,0.2456466544186595,1.2413486508162688,1.2292986615968453,0.3076865044145677,0.0,0.0,0.7316042205886816,0.04774876473999786,0.7564377782055312,4,False
21,0.7,0.6400000000000005,-0.00891409718343645,-0.01485966641006798,0.7753519448708287,0.04017741860230748,0.0841699788107523,-0.13834220142831405,0.3007846660805266,0.19973788528725792,0.7579594562308567,1.1433058497604693,0.3007846660805266,0.0,0.0,0.7838148897147419,0.01861342990188284,0.37967190366932074,5,False
