frame,time_s,root_x,root_y,root_z,joint_abs_mean,joint_vel_abs_mean
0,0.0,-1.2e-05,-8.9e-05,0.795378,0.27888189655172413,1.6891827586206902
1,0.02,0.000214,-0.000391,0.79548,0.28760741379310345,1.3584620689655174
2,0.04,0.000643,-0.00086,0.795511,0.29545410344827583,0.8936379310344829
3,0.06,0.001146,-0.001372,0.79549,0.3008885172413793,0.633333620689655
4,0.08,0.001689,-0.001908,0.795454,0.30446944827586203,0.5054775862068968
5,0.1,0.002244,-0.002454,0.795416,0.3068598965517241,0.44418017241379293
6,0.12,0.002794,-0.003008,0.795376,0.3084580344827586,0.4230318965517242
7,0.14,0.003333,-0.003562,0.795334,0.30960144827586206,0.40926982758620717
8,0.16,0.003854,-0.004112,0.795291,0.3120866896551724,0.3976629310344829
9,0.18,0.004356,-0.004651,0.795244,0.31516610344827584,0.38782068965517225
10,0.2,0.004846,-0.005175,0.795198,0.3179924137931034,0.37748879310344796
11,0.22,0.005321,-0.005681,0.795154,0.3206059310344827,0.36413103448275863
12,0.24,0.005775,-0.006167,0.795113,0.32356648275862077,0.3464543103448276
13,0.26,0.006208,-0.006629,0.795078,0.3264238275862069,0.3273913793103446
14,0.28,0.006612,-0.007062,0.795049,0.329052,0.3089327586206897
15,0.3,0.006984,-0.007456,0.795023,0.3314721724137931,0.28841293103448296
16,0.32,0.007321,-0.007805,0.795,0.3336740344827587,0.26702844827586186
17,0.34,0.00762,-0.008114,0.794978,0.33563510344827585,0.24674482758620683
18,0.36,0.007885,-0.008385,0.794957,0.3373447931034483,0.22761637931034515
19,0.38,0.008124,-0.008613,0.794938,0.3388116896551724,0.20879396551724144
20,0.4,0.00834,-0.008791,0.794919,0.3400500689655173,0.18909568965517218
21,0.42,0.008529,-0.008929,0.794902,0.34108055172413804,0.1700775862068966
22,0.44,0.00869,-0.009036,0.794884,0.34196717241379315,0.15377413793103453
23,0.46,0.008833,-0.009115,0.794866,0.3428057931034483,0.13959137931034477
24,0.48,0.008961,-0.009172,0.794846,0.3437554482758621,0.1262077586206897
25,0.5,0.009075,-0.009207,0.794825,0.3448125172413794,0.11434999999999994
26,0.52,0.009178,-0.009224,0.794804,0.34575248275862064,0.10432586206896553
27,0.54,0.009268,-0.009228,0.794784,0.34639589655172404,0.10042327586206917
28,0.56,0.009342,-0.009211,0.794765,0.34711617241379317,0.09243965517241386
29,0.58,0.009406,-0.009178,0.794749,0.3476741034482759,0.08157241379310352
30,0.6,0.00946,-0.009131,0.794734,0.34808382758620693,0.07042586206896552
31,0.62,0.009505,-0.009076,0.794723,0.348441,0.06251206896551717
32,0.64,0.00954,-0.009019,0.794714,0.34876003448275855,0.055845689655172344
33,0.66,0.00957,-0.008962,0.794709,0.34906268965517245,0.0476137931034482
34,0.68,0.009597,-0.008909,0.794706,0.349369,0.044018965517241576
35,0.7,0.009621,-0.008865,0.794705,0.34964462068965513,0.0400068965517242
36,0.72,0.009645,-0.008836,0.794707,0.3499081034482758,0.03885431034482725
37,0.74,0.009669,-0.008835,0.79471,0.35017555172413795,0.037549137931034364
38,0.76,0.009695,-0.008857,0.794711,0.3504713793103449,0.04618189655172383
39,0.78,0.009719,-0.008902,0.79471,0.35103855172413795,0.041536206896551825
40,0.8,0.009746,-0.008968,0.794705,0.3512816551724138,0.039119827586207086
41,0.82,0.009777,-0.009058,0.794695,0.351517,0.04666551724137927
42,0.84,0.009812,-0.009172,0.79468,0.352015448275862,0.05810344827586205
43,0.86,0.009851,-0.009301,0.79466,0.352382448275862,0.04698965517241355
44,0.88,0.009893,-0.009436,0.794637,0.3526080689655172,0.04915775862068969
45,0.9,0.009924,-0.009578,0.794614,0.3526413793103447,0.0803362068965519
46,0.92,0.009922,-0.009736,0.794592,0.3523816551724138,0.09816637931034479
47,0.94,0.009896,-0.00991,0.794572,0.3517542413793103,0.09709741379310351
48,0.96,0.009844,-0.010093,0.794558,0.35103775862068964,0.08533534482758635
49,0.98,0.009763,-0.010268,0.794554,0.3502333793103448,0.06997241379310354
50,1.0,0.009648,-0.010422,0.794559,0.3495636896551724,0.05614741379310339
51,1.02,0.009496,-0.01054,0.794571,0.349164448275862,0.04577931034482764
52,1.04,0.009307,-0.010622,0.794582,0.34906072413793104,0.04845086206896547
53,1.06,0.009082,-0.010665,0.794584,0.34877331034482756,0.05233448275862066
54,1.08,0.008828,-0.01067,0.794573,0.3482322413793103,0.061765517241379485
55,1.1,0.008555,-0.010633,0.794553,0.34790662068965517,0.15199741379310341
56,1.12,0.008259,-0.010545,0.794526,0.3458070344827586,0.36645689655172425
57,1.14,0.007916,-0.010393,0.794481,0.3425447586206896,0.6338068965517242
58,1.16,0.007495,-0.010164,0.794383,0.3341613103448276,0.8644275862068966
59,1.18,0.006983,-0.009849,0.794202,0.32476751724137926,1.0124379310344824
60,1.2,0.006398,-0.009467,0.793935,0.3160113103448276,1.1361206896551719
61,1.22,0.005721,-0.008977,0.793555,0.30518613793103444,1.1340232758620694
62,1.24,0.00487,-0.008386,0.79317,0.29475941379310344,1.1327525862068963
63,1.26,0.003835,-0.007677,0.792825,0.2867458965517241,1.3359413793103445
64,1.28,0.002588,-0.006833,0.792367,0.27718403448275863,1.5307094827586207
65,1.3,0.001114,-0.005835,0.791843,0.27308696551724143,1.7440620689655169
66,1.32,-4.7e-05,-0.00477,0.793459,0.27873748275862076,1.838982758620689
67,1.34,-0.001141,-0.003642,0.792504,0.2833057931034483,1.7447155172413793
68,1.36,-0.001796,-0.002406,0.790378,0.2898225172413793,1.627962931034483
69,1.38,-0.001857,-0.001196,0.787755,0.2964299655172413,1.4612543103448277
70,1.4,-0.001315,2.6e-05,0.785252,0.301930275862069,1.2343870689655172
71,1.42,5.3e-05,0.001731,0.785197,0.30872420689655167,1.0018465517241382
72,1.44,0.002124,0.003648,0.784805,0.3141106206896551,0.8877379310344828
73,1.46,0.004723,0.005854,0.784676,0.3167146206896552,0.8326560344827586
74,1.48,0.007681,0.008353,0.784806,0.31588155172413795,0.7976646551724139
75,1.5,0.010932,0.011246,0.784791,0.31200044827586204,0.9353439655172413
76,1.52,0.014473,0.014319,0.784844,0.3047584137931035,0.9978956896551726
77,1.54,0.01829,0.017696,0.784634,0.30009779310344825,0.9909491379310346
78,1.56,0.022465,0.021511,0.784036,0.29985624137931033,0.8889456896551724
79,1.58,0.027077,0.025716,0.783374,0.2971438965517242,0.8766068965517245
80,1.6,0.032117,0.030525,0.782591,0.29236500000000004,0.8932025862068964
81,1.62,0.037598,0.036169,0.781486,0.2906285517241379,0.8049413793103448
82,1.64,0.043549,0.042818,0.779889,0.28969196551724136,0.6555827586206895
83,1.66,0.050026,0.05068,0.777421,0.28730006896551724,0.6570267241379311
84,1.68,0.057212,0.059864,0.772795,0.28499751724137934,0.6686301724137929
85,1.7,0.064868,0.070219,0.770881,0.28440299999999996,0.680062931034483
86,1.72,0.073244,0.081609,0.768912,0.28447555172413785,0.7386215517241379
87,1.74,0.081827,0.093547,0.768739,0.2847708275862069,0.8168844827586208
88,1.76,0.091126,0.106286,0.76887,0.2816838275862069,0.8927258620689658
89,1.78,0.101629,0.119505,0.771603,0.27897806896551713,1.0134112068965517
90,1.8,0.111779,0.132141,0.772986,0.27751158620689653,1.0520560344827585
91,1.82,0.121755,0.143975,0.773452,0.27626196551724136,1.1090370689655171
92,1.84,0.132053,0.155305,0.774443,0.2778156206896552,1.106376724137931
93,1.86,0.142414,0.165654,0.775346,0.28461751724137935,0.9339060344827586
94,1.88,0.152899,0.1751,0.776965,0.28722620689655176,0.9309293103448275
95,1.9,0.163519,0.183745,0.779182,0.2866352413793104,0.8115146551724137
96,1.92,0.174353,0.191872,0.781791,0.284263,0.578766379310345
97,1.94,0.185456,0.19948,0.784268,0.2819500344827586,0.5648879310344828
98,1.96,0.196866,0.206843,0.786445,0.28006120689655173,0.6292672413793103
99,1.98,0.208588,0.214035,0.788057,0.2785533448275862,0.7057655172413793
100,2.0,0.220782,0.221055,0.788761,0.2766490689655172,0.7383284482758621
101,2.02,0.233579,0.227921,0.788489,0.2735508275862069,0.738583620689655
102,2.04,0.247181,0.234649,0.787279,0.27071875862068967,0.7379560344827586
103,2.06,0.261688,0.24115,0.784888,0.2714952068965517,0.7459698275862069
104,2.08,0.277188,0.247462,0.781536,0.2740966551724138,0.727730172413793
105,2.1,0.293627,0.253485,0.777181,0.2798359310344828,0.6647629310344826
106,2.12,0.311016,0.259035,0.770864,0.2883327586206896,0.6872267241379312
107,2.14,0.327768,0.263248,0.769271,0.2967249310344827,0.7455560344827588
108,2.16,0.345772,0.267258,0.771111,0.3041834827586206,0.8637431034482755
109,2.18,0.363327,0.271202,0.771541,0.31010196551724134,1.122773275862069
110,2.2,0.380385,0.274924,0.770412,0.3178026206896552,1.2517318965517241
111,2.22,0.397045,0.278664,0.768722,0.3271375862068965,1.1645775862068963
112,2.24,0.413819,0.282856,0.767682,0.3330489655172414,1.0408956896551727
113,2.26,0.430632,0.287675,0.767541,0.3374438275862069,0.9340163793103444
