frame,source_joint_index,time_s,root_x,root_y,root_z,joint_abs_mean,joint_vel_abs_mean
0,0,0.0,-1.56302761608191,0.2627278920838693,0.7534190875902086,0.1688822406252037,0.0072587162803443035
1,2,0.003976479987613857,-1.5630313801890263,0.2627013144852858,0.7534188013507342,0.16888066487997,0.00833356000707838
2,4,0.007965759956277907,-1.563040416444329,0.26269139156399063,0.7534185325209138,0.16888137370294537,0.005098328869468693
3,6,0.01197206403594464,-1.5630485852538367,0.26268945276950917,0.7534180260061145,0.1688808290691668,0.007451705287355159
4,8,0.01599180803168565,-1.563043323097764,0.262692090560439,0.7534173151142921,0.16887897021846082,0.006562913410718842
5,10,0.02004934404976666,-1.5630443778786467,0.26270573904270966,0.7534163373489967,0.1688811660682216,0.008999412076483512
6,12,0.023979936027899384,-1.5630570205402596,0.26270915170007414,0.7534161468427617,0.16887948744872497,0.0074030571528871
7,14,0.02797206398099661,-1.5630596661102611,0.2627202776188338,0.7534154620968536,0.16888423909730246,0.008589741878401174
8,16,0.03196822397876531,-1.5630327685520073,0.2627103521519676,0.7534158049562814,0.1688805709583966,0.007998290918169067
9,18,0.03596838400699198,-1.5630458191081407,0.2627144293199088,0.7534153193671718,0.16888176735502103,0.008713639050256461
10,20,0.04009155195672065,-1.563034998922033,0.26271655931039806,0.7534154745997323,0.16888196125477534,0.007342924883765778
11,22,0.043971423991024494,-1.563038652200823,0.26272475851022764,0.7534155634296824,0.16888252005170717,0.0074995058681013
12,24,0.047967583988793194,-1.5630432659946514,0.2627217203269922,0.7534157856895267,0.16888399865951967,0.008487136103212833
13,26,0.051964031998068094,-1.5630428047842015,0.26271888825002865,0.7534148673909712,0.16887907044806996,0.010090799231467575
14,28,0.05596435198094696,-1.5630442988243975,0.2627224333799731,0.7534148807451256,0.16888361263841817,0.008125422279559204
15,30,0.05996553599834442,-1.5630412190109926,0.2627227067633297,0.7534148465474589,0.16888328426247082,0.00970794930404297
16,32,0.06396726402454078,-1.5630419648971992,0.2627237484831206,0.7534146443294101,0.16888206012468987,0.007592870139292088
17,34,0.06796991999726743,-1.5630443843114934,0.2627235484330477,0.7534148116148867,0.16887933063411892,0.007606525030308242
18,36,0.07196611200924963,-1.5630439984855928,0.2627382584045721,0.7534154867456603,0.1688799527231634,0.007920303175241911
19,38,0.07597228803206235,-1.5630472528617199,0.2627353170771023,0.7534170536445615,0.16888465952358495,0.006463347167451063
20,40,0.07996934396214783,-1.563062173621219,0.2627281882493118,0.7534179019511191,0.16887955645224478,0.008681204119809615
21,42,0.08397494396194816,-1.5630682946225218,0.26272904590537904,0.7534179741790936,0.168881537288959,0.006689178673068768
22,44,0.08796860801521689,-1.5630741092488891,0.26272226787389386,0.7534174667665318,0.16888696012047777,0.00613788735314176
23,46,0.09197347203735262,-1.5630709073721532,0.2627151601109362,0.7534170070835211,0.16888322668719097,0.009003540167809817
24,48,0.09598320000804961,-1.5630705453337503,0.26270958609625117,0.7534165265705954,0.16888621891823655,0.00808074161021319
25,50,0.0999689920572564,-1.563073506807734,0.2627222946121689,0.7534166346777825,0.1688794644684596,0.0071859114526385635
26,52,0.10397724795620888,-1.563059500058631,0.26271885990074234,0.7534161463777547,0.16887627007935377,0.007711814392145055
27,54,0.1079604800324887,-1.5630657596255766,0.26271567266335794,0.7534156908947551,0.16888053349784654,0.006062997203994671
28,56,0.1119692480424419,-1.563071374046576,0.262711150859764,0.7534143102162172,0.16887929564946436,0.009577162278783989
29,58,0.11597203195560724,-1.5630576366899818,0.26271853772936904,0.7534136921958525,0.16888136966541611,0.008032033382513529
30,60,0.11997081595472991,-1.5630486902498364,0.2627257104371103,0.7534138997562948,0.1688806117450001,0.006882733208024954
31,62,0.12408937595319003,-1.563057648218603,0.2627176232253811,0.7534130815685012,0.1688770737513676,0.007883970605626959
32,64,0.1279793600551784,-1.5630727423900415,0.2626977730203077,0.7534127523945483,0.1688841875824876,0.008963682150853605
33,66,0.1319765120279044,-1.5630820349747685,0.26269686773164524,0.7534123552758161,0.1688778130500364,0.0063383708133940295
34,68,0.13597510405816138,-1.5630961455698502,0.26269628548826335,0.7534117779427458,0.16888171523269507,0.008297499457920163
35,70,0.13996163196861744,-1.5630846921496866,0.26268493071798715,0.7534119700485392,0.16887848393237398,0.0066161560143568904
36,72,0.14397216006182134,-1.5630913331517826,0.2626857626346077,0.7534100238212712,0.16888172981431,0.009490635780068635
37,74,0.14797619206365198,-1.563090332479606,0.26266985710591456,0.7534098259989194,0.16888093183369446,0.005361436083431131
38,76,0.15198735997546464,-1.563093030395832,0.26267032069440827,0.7534101092068087,0.16888307555846355,0.0072745529228243335
39,78,0.15599167998880148,-1.563090265249378,0.26267281766687056,0.7534104324024167,0.16887894953263108,0.005114885865999707
40,80,0.15997807995881885,-1.5630674609125415,0.26268630079975425,0.753410591851862,0.16888170626996976,0.00938970238982212
41,82,0.16397663997486234,-1.5630823711214707,0.2626745394593119,0.7534095573220179,0.16887998033285087,0.007520396577531536
42,84,0.16798723198007792,-1.563078579720816,0.26267933131716775,0.7534098666726987,0.16888327707379333,0.006190647987311642
43,86,0.1719723519636318,-1.5630846865608954,0.26267599520055185,0.7534098650588529,0.1688823587448559,0.00696219431220329
44,88,0.17597932799253613,-1.5630865806749428,0.2626858607811415,0.75341021482075,0.16888318965451116,0.006985294508169694
45,90,0.1799653120106086,-1.563088737439926,0.26267425646529746,0.7534098400641184,0.1688787672012103,0.00948309355392447
46,92,0.18396931199822575,-1.5630825139306708,0.2626800866184975,0.7534099397377185,0.16888234765334847,0.006874569557739647
47,94,0.18804531206842512,-1.5630677906157817,0.26266908480730716,0.7534094778518361,0.16888265738863742,0.00796118720257976
48,96,0.19198278395924717,-1.563048284348852,0.2626825430953017,0.7534102048306781,0.16887919030162674,0.007404065125166229
49,98,0.195978592033498,-1.5630363919169914,0.2626975292487796,0.7534105808531316,0.16888360521424428,0.008614824719502237
50,100,0.19997024000622332,-1.5630488786510515,0.2626914025793784,0.7534108839049782,0.16888065138946645,0.008031079096013102
51,102,0.20397574396338314,-1.563032596937587,0.26269861556126206,0.7534109320638354,0.16887803848705266,0.007750232037606424
52,104,0.20808095997199416,-1.5630184515195873,0.26268946199742677,0.7534112020797806,0.16888316435268216,0.007252136138990393
53,106,0.2119854079792276,-1.5630248789749497,0.26267721488784046,0.7534101865309405,0.16887973650641627,0.007827481680453337
54,108,0.21597372798714787,-1.5630329605008109,0.2626899429651118,0.7534097182058064,0.16888162953972793,0.008084305057967993
55,110,0.21998156805057079,-1.5630305346959743,0.26268228539409877,0.7534088907114775,0.1688836234666112,0.007594478224275698
56,112,0.22398198395967484,-1.5630359962996874,0.26267399861642987,0.7534089119151159,0.1688840446366408,0.0052002272528499874
57,114,0.228108000010252,-1.5630431533497395,0.26267155244519164,0.7534090468937121,0.16888713860918933,0.007138657102618238
58,116,0.23197203199379146,-1.5630423681041656,0.2626635391566321,0.753409899333916,0.1688845974018038,0.00560043802372469
59,118,0.23602774401661009,-1.5630512959610898,0.26266680727010805,0.753410115211586,0.16888507250443016,0.006785588120190619
60,120,0.23996617598459125,-1.5630355308888013,0.2626763790008375,0.75341069510768,0.16888026967551234,0.007048086199010241
61,122,0.24397254397626966,-1.5630289875994483,0.26268513656304743,0.7534107901143636,0.1688800947731579,0.008380812134293654
62,124,0.2479780800640583,-1.5630500025726808,0.2626844027812613,0.7534114325828916,0.1688839066980328,0.006813618988762128
63,126,0.25196601601783186,-1.5630445173076486,0.26266825727439325,0.7534114070756686,0.16887808566549084,0.007407959301731196
64,128,0.25597872002981603,-1.5630341660790938,0.26267615691781254,0.7534114135073919,0.16888013989679668,0.006687827853903431
65,130,0.2599776959978044,-1.563036069947922,0.26266509267043275,0.7534119564261726,0.16888166268648186,0.006835791041496499
66,132,0.2639762880280614,-1.5630390567237802,0.26265456491753864,0.7534128427516641,0.16888310437984885,0.008013862590626654
67,134,0.267972863977775,-1.5630332278535486,0.2626548077632841,0.753412940236537,0.1688824653243375,0.006467888659620979
68,136,0.2719897279748693,-1.5630284560377445,0.2626466654965117,0.7534131164895083,0.16888161838201557,0.009220021893270314
69,138,0.27597187203355134,-1.5630317920968402,0.2626362932751224,0.7534137730341045,0.16888303849376324,0.0074511165088363765
70,140,0.2799729600083083,-1.563031018079213,0.26264631051809373,0.7534140025365134,0.16888294579665195,0.007090019572748635
71,142,0.28397139196749777,-1.56302279353108,0.26264468071581587,0.7534151268453627,0.16888461995768012,0.0076942393789067864
72,144,0.28797379205934703,-1.5630325769056483,0.2626405789349784,0.7534143787833211,0.16888234891450402,0.007032230438198894
73,146,0.29205475200433284,-1.563011408132354,0.2626419368092238,0.7534137827239306,0.16888141468584292,0.006858393511783075
74,148,0.29602588806301355,-1.5630096799579705,0.26265612806591554,0.7534134262988863,0.16888463293949388,0.007576087667949838
75,150,0.2999749119626358,-1.563013618755215,0.2626501613369397,0.7534126796396594,0.1688829002375534,0.0062142041238859805
76,152,0.3039888640632853,-1.5630316739825703,0.2626416022821113,0.7534119266591388,0.16888129470668178,0.011599900916359008
77,154,0.3079704960109666,-1.563040357549182,0.2626361018998396,0.7534111274763633,0.1688813233223645,0.007823665879249316
78,156,0.3120654399972409,-1.5630633540222931,0.2626279427914362,0.7534102474221073,0.16887459906273103,0.008470221318240309
79,158,0.3159641600213945,-1.56307590132827,0.2626239413035553,0.7534094805580086,0.1688817806952384,0.008247893821480203
80,160,0.3199734720401466,-1.5630809115941677,0.26260893399874047,0.7534088373398712,0.16888142578566126,0.008107444000478577
81,162,0.3239700800040737,-1.5630656459644947,0.262623271188135,0.7534098128179857,0.1688781909570966,0.009040238303614074
82,164,0.32797081605531275,-1.5630479217241895,0.26263286586367757,0.7534103894832306,0.16888132268173522,0.00718144447430326
83,166,0.33196678396780044,-1.5630427151655188,0.2626336489227395,0.7534104875711948,0.16888191886874696,0.007557370880586577
84,168,0.3359932800522074,-1.5630265400354706,0.2626461140975598,0.7534115410877505,0.16888066105450983,0.00492789027968119
85,170,0.33997452806215733,-1.5630151888780177,0.26265863237599335,0.7534125079494209,0.16888544768002686,0.006837029218802164
86,172,0.3439777600578964,-1.563002805226841,0.2626710498569952,0.7534127818047407,0.1688829760439995,0.009212901458497447
87,174,0.3479724799981341,-1.5629896064397921,0.26267659532808874,0.7534118026739393,0.16888299245899893,0.0077558974133290605
88,176,0.3519820800283924,-1.5629828667577124,0.26269086763906463,0.7534109683879713,0.16888138281514142,0.004440855421527321
89,178,0.35607993602752686,-1.5629807157322737,0.26269747594518283,0.7534106638653478,0.16888231983322274,0.008619977785515246
90,180,0.3599711679853499,-1.562980012424823,0.2627051392573211,0.7534106547333663,0.16888011401834804,0.008978622190750622
91,182,0.3639688639668748,-1.5629771037437379,0.2627155155171378,0.753411335662782,0.16888011608631948,0.007514537308076075
92,184,0.36797206406481564,-1.5629708578795543,0.2627255466737852,0.753412677924071,0.1688799273118187,0.007438403040427586
