log_path,size_bytes,modified_time
logs/background/fk_repaired_split_task_eval_driver.log,130,2026-06-21T11:16:38.855577
logs/background/fk_repaired_split_task_eval_driver.pid,8,2026-06-21T11:16:27.529586
logs/data/convert_adaptive_sampling.log,120,2026-06-18T14:45:17.444660
logs/data/dataset_dirs.log,3745,2026-06-18T14:45:17.409609
logs/data/dataset_file_count.log,4,2026-06-16T21:42:45
logs/data/plot_adaptive_sampling_released.log,109,2026-06-18T14:45:17.475778
logs/data/reproduce_released_figures.log,112,2026-06-18T14:45:17.498970
logs/downloads/hub_gdrive_download.log,2296,2026-06-22T18:36:18.397235
logs/env_probe/env_import_probe.log,3913,2026-06-19T05:06:03.910258
logs/full_bundle_policy_rollout_video_verification_20260620_032948.log,2222,2026-06-20T11:30:20.830729
logs/full_bundle_policy_rollout_video_verification_retry_20260620_033055.log,2226,2026-06-20T11:31:24.309524
logs/full_bundle_task_conditioned_guidance_verification_20260620.log,4527,2026-06-20T06:15:01.139225
logs/full_bundle_task_conditioned_latent_guidance_multiseed_eval_20260620_033742.log,325,2026-06-20T12:35:27.968523
logs/gpu/gpu_metrics.csv,9057,2026-06-17T04:56:35
logs/gpu_guard/20260619_gpu47_wangjc_post_commit_post_kill.log,150,2026-06-19T04:33:01.003525
logs/gpu_guard/20260619_gpu47_wangjc_post_commit_pre_kill.log,407,2026-06-19T04:32:52.383402
logs/gpu_guard/20260619_gpu47_wangjc_post_kill.log,150,2026-06-19T04:04:59.252980
logs/gpu_guard/20260619_gpu47_wangjc_pre_kill.log,386,2026-06-19T04:04:48.888906
logs/isaac_mp4/20260622_040208_seed20260779_10step_robot_order_policy.log,22772,2026-06-22T12:02:38.150276
logs/isaac_mp4/20260622_040447_seed20260779_10step_robot_order_policy.log,22293,2026-06-22T12:05:20.581040
logs/isaac_mp4/20260622_040743_seed20260779_10step_robot_order_policy.log,19776,2026-06-22T12:08:16.270303
logs/isaac_mp4/20260622_041645_seed20260779_10step_robot_order_policy.log,19776,2026-06-22T12:17:18.786200
logs/isaac_mp4/20260622_041802_seed20260779_10step_robot_order_policy.log,6671,2026-06-22T12:18:26.559886
logs/isaac_mp4/20260622_041854_seed20260779_10step_robot_order_policy.log,20739,2026-06-22T12:19:27.536761
logs/isaac_mp4/20260622_042011_seed20260779_10step_robot_order_policy.log,24087,2026-06-22T12:21:31.672017
logs/isaac_mp4/20260622_043308_seed20260779_10step_robot_order_policy.log,24087,2026-06-22T12:34:18.057540
logs/isaac_mp4/20260622_044057_seed20260779_10step_robot_order_policy.log,22062,2026-06-22T12:41:29.308616
logs/isaac_mp4/20260622_044239_seed20260779_10step_robot_order_policy.log,22309,2026-06-22T12:43:17.485393
logs/isaac_mp4/20260622_051125_seed20260781_10step_robot_order_policy.log,22450,2026-06-22T13:12:04.477803
logs/isaac_mp4/20260622_052202_seed20260782_10step_robot_order_policy.log,1805,2026-06-22T13:22:15.666835
logs/isaac_mp4/20260622_052509_seed20260783_10step_robot_order_policy.log,22434,2026-06-22T13:25:43.037811
logs/isaac_mp4/llvmpipe_pxr_app_probe_20260622_131342.log,10084,2026-06-22T13:14:13.399914
logs/isaac_mp4/pxr_storm_probe_20260622_042928.log,19975,2026-06-22T12:30:05.285913
logs/isaac_mp4/replicator_probe_gpu5_20260622_042620.log,24085,2026-06-22T12:27:29.474585
logs/isaac_mp4/single_visible_gpu_replicator_probe_20260622_042442.log,25334,2026-06-22T12:25:09.541669
logs/isaac_mp4/vulkaninfo_default_20260622_130644.log,6717,2026-06-22T13:07:04.557760
logs/isaac_mp4/vulkaninfo_llvmpipe_20260622_131317.log,1915,2026-06-22T13:13:26.251237
logs/isaac_mp4/vulkaninfo_project_egl_icd_20260622_130644.log,6073,2026-06-22T13:07:04.477759
logs/isaac_mp4/vulkaninfo_system_nvidia_full_20260622_130724.log,599837,2026-06-22T13:07:39.710264
logs/isaac_mp4/vulkaninfo_system_nvidia_icd_20260622_130644.log,6073,2026-06-22T13:07:04.625761
logs/isaac_mp4/vulkaninfo_system_nvidia_xdg_20260622_130724.log,4160,2026-06-22T13:07:36.542219
logs/isaac_mp4/vulkaninfo_xvfb_default_20260622_130644.log,6653,2026-06-22T13:07:04.377758
logs/isaac_mp4/xvfb_probe_20260622_042348.log,4249,2026-06-22T12:24:15.644895
logs/lafan1_continuous_mujoco_action_control_videos/run_20260623_123040.log,2014,2026-06-23T12:32:16.221309
logs/lafan1_paper_contract_mujoco_action_control_videos_20260623_065102.log,1433,2026-06-23T06:51:43.886531
logs/lafan1_paper_contract_mujoco_action_control_videos_reference_fix_20260623_120009.log,1622,2026-06-23T12:00:56.152685
logs/level_a_released_data_suite/paper_table_value_audit.log,209,2026-06-18T14:45:17.572899
logs/level_a_released_data_suite/paper_vs_reproduction_comparison.log,189,2026-06-18T14:45:17.614526
logs/level_a_released_data_suite/released_data_metrics_summary.log,157,2026-06-18T14:45:17.533154
logs/level_a_released_data_suite/released_data_statistical_audit.log,157,2026-06-18T14:45:17.671016
logs/level_a_released_data_suite/released_panel_mapping_audit.log,141,2026-06-18T14:45:17.636744
logs/level_a_released_data_suite/skill_success_table_data_audit.log,106,2026-06-18T14:45:17.592113
logs/level_c/build_level_c_fixture_split_manifest.log,246,2026-06-18T14:45:17.432744
logs/level_c/build_level_c_motion_state_fixture.log,271,2026-06-18T14:45:17.396916
logs/level_c/level_c_augmentation_probe.log,231,2026-06-18T14:45:17.372618
logs/level_c/level_c_guidance_formula_probe.log,247,2026-06-18T14:45:17.521773
logs/level_c/level_c_reverse_denoising_probe.log,251,2026-06-18T14:45:17.490923
logs/level_c/level_c_synthetic_smoke.log,474,2026-06-18T14:45:17.479709
logs/level_c/level_c_timestep_mask_probe.log,235,2026-06-18T14:45:17.452558
logs/level_c/validate_level_c_motion_state_fixture.log,1663,2026-06-16T22:51:32
logs/level_c_debug_suite/diffusion_equation_audit.log,255,2026-06-18T14:45:17.392743
logs/level_c_debug_suite/diffusion_to_vae_action_smoke.log,158,2026-06-18T14:45:17.580510
logs/level_c_debug_suite/guidance_formula_probe.log,247,2026-06-18T14:45:17.551430
logs/level_c_debug_suite/guidance_scale_sweep_probe.log,263,2026-06-18T14:45:17.483446
logs/level_c_debug_suite/guided_reverse_loop_probe.log,259,2026-06-18T14:45:17.584201
logs/level_c_debug_suite/paper_state_mask_reverse_probe.log,279,2026-06-18T14:45:17.555147
logs/level_c_debug_suite/receding_horizon_decoder_probe.log,279,2026-06-18T14:45:17.607000
logs/level_c_debug_suite/reverse_denoising_probe.log,251,2026-06-18T14:45:17.460357
logs/level_c_debug_suite/vae_accumulation_probe.log,247,2026-06-18T14:45:17.421297
logs/level_c_debug_suite/vae_latent_probe.log,223,2026-06-18T14:45:17.518525
logs/level_c_extended_debug_suite/diffusion_to_vae_action_multiseed.log,179,2026-06-18T14:45:17.678992
logs/level_c_extended_debug_suite/diffusion_to_vae_action_smoke.log,158,2026-06-18T14:45:17.682838
logs/level_c_extended_debug_suite/diffusion_to_vae_action_smoothness.log,180,2026-06-18T14:45:17.686124
logs/level_c_extended_debug_suite/small_dataset_heldout_multiseed.log,307,2026-06-18T14:45:17.620427
logs/level_c_extended_debug_suite/state_latent_dataset_consistency.log,177,2026-06-18T14:45:17.663583
logs/level_c_extended_debug_suite/vae_debug_overfit_latent_artifact.log,283,2026-06-18T14:45:17.629177
logs/level_c_extended_debug_suite/vae_latent_diffusion_overfit.log,295,2026-06-18T14:45:17.709454
logs/level_c_extended_debug_suite/vae_latent_heldout_eval.log,251,2026-06-18T14:45:17.644152
logs/level_c_extended_debug_suite/vae_latent_heldout_multiseed.log,295,2026-06-18T14:45:17.610526
logs/level_c_extended_debug_suite/vae_motion_split_heldout_eval.log,228,2026-06-18T14:45:17.659889
logs/level_c_lafan1_paper_arch_symmetry_augmented_training.log,862,2026-06-18T14:45:17.417115
logs/level_c_official_csv_loop_full_bundle_state_latent_diffusion_training/level_c_resource_adjusted_state_latent_diffusion_training.log,5324,2026-06-20T04:05:19.663557
logs/level_c_official_csv_loop_full_bundle_state_latent_guidance_eval/level_c_resource_adjusted_state_latent_guidance_eval.log,21910,2026-06-20T04:18:32.150861
logs/level_c_official_csv_loop_full_bundle_teacher_rollout_state_latent_dataset/level_c_resource_adjusted_teacher_rollout_state_latent_dataset.log,8156,2026-06-20T04:03:04.801622
logs/level_c_official_csv_loop_full_bundle_teacher_rollout_vae_training/level_c_resource_adjusted_teacher_rollout_vae_training.log,5448,2026-06-20T04:02:32.696108
logs/level_c_official_csv_loop_guidance_vae_action_decode_eval/level_c_official_csv_loop_guidance_vae_action_decode_eval.log,13243,2026-06-19T12:21:04.742538
logs/level_c_official_csv_loop_state_latent_diffusion_training/level_c_resource_adjusted_state_latent_diffusion_training.log,5264,2026-06-19T11:53:10.049400
logs/level_c_official_csv_loop_state_latent_guidance_eval/level_c_resource_adjusted_state_latent_guidance_eval.log,21781,2026-06-19T12:04:54.754420
logs/level_c_official_csv_loop_teacher_rollout_state_latent_dataset/level_c_resource_adjusted_teacher_rollout_state_latent_dataset.log,7922,2026-06-19T11:50:02.843819
logs/level_c_official_csv_loop_teacher_rollout_vae_training/level_c_resource_adjusted_teacher_rollout_vae_training.log,5365,2026-06-19T11:38:13.689642
logs/level_c_official_importer_export_full_bundle_state_latent_diffusion_training/level_c_resource_adjusted_state_latent_diffusion_training.log,5369,2026-06-20T17:45:04.625380
logs/level_c_official_importer_export_full_bundle_state_latent_guidance_eval/level_c_resource_adjusted_state_latent_guidance_eval.log,22049,2026-06-20T17:57:15.767872
logs/level_c_official_importer_export_full_bundle_teacher_rollout_state_latent_dataset/level_c_resource_adjusted_teacher_rollout_state_latent_dataset.log,8323,2026-06-20T17:43:11.055050
logs/level_c_official_importer_export_full_bundle_teacher_rollout_vae_training/level_c_resource_adjusted_teacher_rollout_vae_training.log,5587,2026-06-20T16:34:24.464532
logs/level_c_official_importer_export_paper_contract_state_latent_diffusion_training/level_c_resource_adjusted_state_latent_diffusion_training.log,5367,2026-06-23T06:28:27.484484
logs/level_c_official_importer_export_paper_contract_state_latent_diffusion_training/run_20260623_062635.log,574,2026-06-23T06:28:29.006435
logs/level_c_official_importer_export_paper_contract_state_latent_guidance_eval/level_c_resource_adjusted_state_latent_guidance_eval.log,22055,2026-06-23T06:29:00.794892
logs/level_c_official_importer_export_paper_contract_state_latent_guidance_eval/run_20260623_062841.log,541,2026-06-23T06:29:01.282899
logs/level_c_official_importer_export_paper_contract_teacher_rollout_state_latent_dataset/level_c_resource_adjusted_teacher_rollout_state_latent_dataset.log,8452,2026-06-23T06:26:23.483593
logs/level_c_official_importer_export_paper_contract_teacher_rollout_state_latent_dataset/run_20260623_062602.log,578,2026-06-23T06:26:23.980641
logs/level_c_official_importer_export_paper_contract_teacher_rollout_vae_training/level_c_resource_adjusted_teacher_rollout_vae_training.log,5520,2026-06-23T06:25:46.643328
logs/level_c_official_importer_export_scaled_ppo_state_latent_diffusion_training/level_c_resource_adjusted_state_latent_diffusion_training.log,5366,2026-06-21T14:33:47.540552
logs/level_c_official_importer_export_scaled_ppo_state_latent_guidance_eval/level_c_resource_adjusted_state_latent_guidance_eval.log,21901,2026-06-21T14:34:32.757201
logs/level_c_official_importer_export_scaled_ppo_teacher_rollout_state_latent_dataset/level_c_resource_adjusted_teacher_rollout_state_latent_dataset.log,8467,2026-06-21T14:17:49.677449
logs/level_c_official_importer_export_scaled_ppo_teacher_rollout_vae_training/level_c_resource_adjusted_teacher_rollout_vae_training.log,5650,2026-06-21T14:16:27.752854
logs/level_c_official_importer_export_scaled_ppo_vae_denoiser_onnx_async_audit.log,467,2026-06-21T07:49:15.712242
logs/level_c_resource_adjusted_state_latent_diffusion_training/level_c_resource_adjusted_state_latent_diffusion_training.log,5198,2026-06-19T05:52:58.648374
logs/level_c_resource_adjusted_state_latent_guidance_eval/level_c_resource_adjusted_state_latent_guidance_eval.log,21270,2026-06-19T06:05:22.276560
logs/level_c_resource_adjusted_teacher_rollout_state_latent_dataset/level_c_resource_adjusted_teacher_rollout_state_latent_dataset.log,7873,2026-06-19T05:47:33.479707
logs/level_c_resource_adjusted_teacher_rollout_vae_training/level_c_resource_adjusted_teacher_rollout_vae_training.log,5360,2026-06-19T05:28:56.427677
logs/level_c_resource_adjusted_tiny_diffusion_suite/resource_adjusted_tiny_diffusion_checkpoint_eval.log,185,2026-06-18T14:45:17.514525
logs/level_c_resource_adjusted_tiny_diffusion_suite/resource_adjusted_tiny_diffusion_latency_audit.log,99,2026-06-17T19:14:18
logs/level_c_resource_adjusted_tiny_diffusion_suite/resource_adjusted_tiny_diffusion_multiseed_audit.log,197,2026-06-18T14:45:17.487435
logs/level_c_resource_adjusted_tiny_diffusion_suite/resource_adjusted_tiny_diffusion_onnx_export_inference.log,221,2026-06-18T14:45:17.388969
logs/level_c_resource_adjusted_tiny_diffusion_suite/resource_adjusted_tiny_diffusion_training_run.log,260,2026-06-18T14:45:17.429289
logs/level_c_resource_adjusted_tiny_diffusion_suite/resource_adjusted_tiny_diffusion_video_preview.log,194,2026-06-18T14:45:17.546525
logs/level_c_stage1_multisource_state_latent_diffusion_training/level_c_resource_adjusted_state_latent_diffusion_training.log,5277,2026-06-23T14:04:59.485249
logs/level_c_stage1_multisource_state_latent_guidance_eval/level_c_resource_adjusted_state_latent_guidance_eval.log,21384,2026-06-23T14:05:35.845510
logs/level_c_stage1_multisource_teacher_rollout_state_latent_dataset/level_c_resource_adjusted_teacher_rollout_state_latent_dataset.log,7999,2026-06-23T14:01:01.928090
logs/level_c_stage1_multisource_teacher_rollout_vae_training/level_c_resource_adjusted_teacher_rollout_vae_training.log,5358,2026-06-23T14:00:18.871243
logs/mujoco/MUJOCO_LOG_stage1_multisource_continuous_20260623_141338.txt,477,2026-06-23T14:13:13.446588
logs/mujoco/MUJOCO_LOG_stage1_multisource_continuous_rerun_20260623_143500.txt,477,2026-06-23T14:35:49.882053
logs/official_importer_export_fig5_fig6_task_protocol_proxy.log,1718,2026-06-21T02:25:16.481282
logs/official_importer_export_full_bundle_scaled_ppo_eval_report_assets_20260621.log,1553,2026-06-21T03:36:31.226626
logs/official_importer_export_full_bundle_scaled_ppo_teacher_rollout_report_assets_20260621.log,1343,2026-06-21T04:00:29.083260
logs/official_importer_export_scaled_ppo_fig5_fig6_success_fall_collision_proxy.log,1543,2026-06-21T08:10:32.354563
logs/official_importer_export_scaled_ppo_fig5_fig6_task_protocol_proxy.log,1736,2026-06-21T07:58:07.962269
logs/reimpl_test_suite/core_math_unit_tests.log,42,2026-06-17T14:22:27
logs/reimpl_test_suite/core_test_coverage_audit.log,139,2026-06-18T14:45:17.413291
logs/reimpl_test_suite/reimpl_package_api_tests.log,41,2026-06-17T14:22:28
logs/reimpl_test_suite/reimpl_package_audit.log,130,2026-06-18T14:45:17.510590
logs/reimpl_test_suite/reimpl_runtime_integration_audit.log,157,2026-06-18T14:45:17.448364
logs/setup/20260619_051324_official_replay_entry_verification.log,12121,2026-06-19T05:14:49.767527
logs/setup/20260619_051324_official_replay_entry_verification_rerun.log,1964,2026-06-19T05:15:32.752144
logs/setup/analysis_smoke.log,661,2026-06-18T14:45:18.346371
logs/setup/create_bm_analysis.log,595,2026-06-18T14:49:37.986574
logs/setup/create_bm_analysis_conda.log,13893,2026-06-18T15:08:23.018718
logs/setup/create_bm_analysis_minimal.log,11736,2026-06-18T14:45:18.566533
logs/setup/create_bm_diffusion.log,598,2026-06-18T14:49:38.110575
logs/setup/create_bm_diffusion_conda.log,17009,2026-06-18T15:09:03.200757
logs/setup/create_bm_tracking.log,595,2026-06-18T14:49:38.234577
logs/setup/create_bm_tracking_base.log,7263,2026-06-18T14:45:18.552102
logs/setup/create_bm_tracking_conda.log,9500,2026-06-18T15:09:43.143868
logs/setup/download_isaacsim_4_5_0.log,24855,2026-06-18T14:45:18.583095
logs/setup/dry_run_isaaclab_pip_install.log,4207,2026-06-18T15:32:18.031311
logs/setup/export_bm_analysis.log,317,2026-06-18T14:45:17.814840
logs/setup/export_bm_diffusion_locks.log,127,2026-06-17T04:44:19
logs/setup/extract_isaacsim_4_5_0.log,1312,2026-06-18T14:45:18.377468
logs/setup/inotify_status.txt,174,2026-06-16T20:06:23
logs/setup/install_bm_diffusion_torch.log,4911,2026-06-17T04:30:36
logs/setup/install_bm_tracking_isaaclab_editable.log,6252,2026-06-18T15:54:35.852346
logs/setup/install_bm_tracking_isaaclab_missing_deps.log,22585,2026-06-18T15:58:17.121685
logs/setup/install_bm_tracking_isaacsim.log,5000,2026-06-18T14:45:18.529587
logs/setup/install_bm_tracking_isaacsim45.log,20135,2026-06-18T15:52:53.703614
logs/setup/install_bm_tracking_torch.log,8533,2026-06-16T18:20:00
logs/setup/install_bm_tracking_torch_numpy.log,14637,2026-06-18T15:38:10.172365
logs/setup/install_bm_tracking_whole_body_tracking.log,7328,2026-06-18T16:08:05.826133
logs/setup/install_isaaclab.log,61131,2026-06-18T14:45:17.870528
logs/setup/install_isaaclab_core_nodeps.log,9680,2026-06-18T14:45:17.933766
logs/setup/install_micromamba.log,990,2026-06-18T14:45:17.910528
logs/setup/install_rsl_rl_231_bm_tracking_20260618_180033.log,624,2026-06-18T18:00:46.942338
