metric,value,unit,source
Stage1 motion count,49,motions,stage1 motion bundle
Stage1 motion duration,2.4908777777777775,hours,stage1 motion bundle
Best teacher reward mean,0.024131401152315747,reward,checkpoint sweep
Best teacher body error mean,1.0095036663737982,m/proxy,checkpoint sweep
Best teacher joint error mean,1.6739522380175,rad/proxy,checkpoint sweep
Teacher rollout env steps,612352,steps,teacher rollout dataset
VAE test action MSE,0.003289680986199528,MSE,stage1 VAE
Noisy token MSE,0.07281625297452722,MSE,stage1 diffusion
Test pred token MSE,0.04322136765612023,MSE,stage1 diffusion
Relative denoising improvement,0.40643241185123813,ratio,computed
Offline guidance selected windows,8192,windows,stage1 guidance
Continuous MuJoCo video duration,9.933333333333334,seconds,stage1 video suite
