motion,source_family,source_kind,source_path,frame_count,fps,duration_seconds,entered_stage1_training
lafan1_dance1_subject1,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/dance1_subject1.csv,6574,50,131.48,yes
lafan1_dance1_subject2,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/dance1_subject2.csv,6574,50,131.48,yes
lafan1_dance1_subject3,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/dance1_subject3.csv,6574,50,131.48,yes
lafan1_dance2_subject1,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/dance2_subject1.csv,11284,50,225.68,yes
lafan1_dance2_subject2,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/dance2_subject2.csv,11284,50,225.68,yes
lafan1_dance2_subject3,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/dance2_subject3.csv,11284,50,225.68,yes
lafan1_dance2_subject4,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/dance2_subject4.csv,11284,50,225.68,yes
lafan1_dance2_subject5,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/dance2_subject5.csv,11284,50,225.68,yes
lafan1_fallandgetup1_subject1,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fallAndGetUp1_subject1.csv,8410,50,168.2,yes
lafan1_fallandgetup1_subject4,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fallAndGetUp1_subject4.csv,8410,50,168.2,yes
lafan1_fallandgetup1_subject5,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fallAndGetUp1_subject5.csv,8410,50,168.2,yes
lafan1_fallandgetup2_subject2,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fallAndGetUp2_subject2.csv,8195,50,163.9,yes
lafan1_fallandgetup2_subject3,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fallAndGetUp2_subject3.csv,8195,50,163.9,yes
