paper_item	label_or_panel	source_evidence	local_reproduction_artifact	status	notes
Figure 3B	fig:agile B	reproduction/paper/source/root.tex:206-212	/mnt/infini-data/test/BeyondMimic/res/released_figures/imu_orientation_accel_angular_velocity/imu_orientation_accel_angular_velocity.pdf	released-data reproduced	Robot orientation, linear acceleration, and angular velocity from the released base IMU bundle; PDF/SVG/PNG plus processed CSV and hashes are stored in the same directory.
Figure 4C	fig:natural C	reproduction/paper/source/root.tex:215-219	/mnt/infini-data/test/BeyondMimic/res/released_figures/grf_walk_human_reference/grf_walk_human_reference.pdf	released-data reproduced	Walking human reference GRF panel component.
Figure 4C	fig:natural C	reproduction/paper/source/root.tex:215-219	/mnt/infini-data/test/BeyondMimic/res/released_figures/grf_run_human_reference/grf_run_human_reference.pdf	released-data reproduced	Running human reference GRF panel component.
Figure 4C	fig:natural C	reproduction/paper/source/root.tex:215-219	/mnt/infini-data/test/BeyondMimic/res/released_figures/grf_walk_robot_real/grf_walk_robot_real.pdf	released-data reproduced	Walking robot real GRF panel component.
Figure 4C	fig:natural C	reproduction/paper/source/root.tex:215-219	/mnt/infini-data/test/BeyondMimic/res/released_figures/grf_run_robot_real/grf_run_robot_real.pdf	released-data reproduced	Running robot real GRF panel component.
Figure 8A	fig:ablation A	reproduction/paper/source/root.tex:258-267	/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_orientation_representation/ablation_orientation_representation_global.pdf	released-data reproduced	Orientation representation ablation; local and global error PDFs are generated from released JSON metrics.
Figure 8A	fig:ablation A	reproduction/paper/source/root.tex:258-267	/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_observation_history/ablation_observation_history_global.pdf	released-data reproduced	Observation history ablation; local and global error PDFs are generated from released JSON metrics.
Figure 8A	fig:ablation A	reproduction/paper/source/root.tex:258-267	/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_armature/ablation_armature_global.pdf	released-data reproduced	Armature ablation; local and global error PDFs are generated from released JSON metrics.
Figure 8A	fig:ablation A	reproduction/paper/source/root.tex:258-267	/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_latency/ablation_latency_global.pdf	released-data reproduced	Latency ablation; local and global error PDFs are generated from released JSON metrics.
Figure 8A / Figure S2	fig:ablation A; fig:extra-ablation	reproduction/paper/source/root.tex:258-267; reproduction/paper/source/root.tex:616-620	/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_pd_gain/ablation_pd_gain_global.pdf	released-data reproduced	PD gain sensitivity; local and global error PDFs are generated from released JSON metrics.
Figure 8B(i)	fig:ablation B(i)	reproduction/paper/source/root.tex:258-267	/mnt/infini-data/test/BeyondMimic/res/released_figures/adaptive_sampling/adaptive_sampling_w_iter_matrix.pdf	released-data reproduced	Adaptive-sampling training-performance matrix with AS.
Figure 8B(i)	fig:ablation B(i)	reproduction/paper/source/root.tex:258-267	/mnt/infini-data/test/BeyondMimic/res/released_figures/adaptive_sampling/adaptive_sampling_wo_iter_matrix.pdf	released-data reproduced	Adaptive-sampling training-performance matrix without AS.
Figure 8B(ii)	fig:ablation B(ii)	reproduction/paper/source/root.tex:258-267	/mnt/infini-data/test/BeyondMimic/res/released_figures/adaptive_sampling_converted/w/motion_1_failure_rates.csv	released-data processed	Released failure-rate data for Motion 1 challenging segments is converted to CSV; current standalone figure output is the aggregate heatmap matrix.
Figure 8B(iii)	fig:ablation B(iii)	reproduction/paper/source/root.tex:258-267	/mnt/infini-data/test/BeyondMimic/res/released_figures/adaptive_sampling/adaptive_sampling_probability_evolution_heatmap.pdf	released-data reproduced	Adaptive sampling probability evolution heatmap from sampling_prob_over_time.pkl.
Figure 8B(iii)	fig:ablation B(iii)	reproduction/paper/source/root.tex:258-267	/mnt/infini-data/test/BeyondMimic/res/released_figures/adaptive_sampling/adaptive_sampling_probability_snapshots_90_130.pdf	released-data reproduced	Snapshot-style probability bars for bins 90-130 from sampling_prob_over_time.pkl.
Figure S1	fig:tracking_pipeline	reproduction/paper/source/root.tex:609-613	/mnt/infini-data/test/BeyondMimic/res/tracking/smoke_config_audit/tracking_config_audit.json	official-code audited	Actor/critic observation/reward/config evidence is audited, but the rendered architecture figure itself is not regenerated.
Table S motion tracking hyperparameters	tab:ppo_hyperparameters	reproduction/paper/source/root.tex:771-799	/mnt/infini-data/test/BeyondMimic/res/tracking/smoke_config_audit/tracking_config_audit.tsv	official-code audited	PPO hyperparameters match official code and paper table.
Table S VAE hyperparameters	tab:vae_hyperparameters	reproduction/paper/source/root.tex:801-825	none	paper-only evidence	Official VAE implementation/checkpoints are not present in the released code currently inventoried.
Table S diffusion hyperparameters	tab:diffusion_hyperparameters	reproduction/paper/source/root.tex:827-856	none	paper-only evidence	Official diffusion implementation/checkpoints are not present in the released code currently inventoried.
Figure 5	fig:versatile_loco	reproduction/paper/source/root.tex:223-234	/mnt/infini-data/test/BeyondMimic/res/level_c/fig5_fig6_feasibility_audit/level_c_fig5_fig6_feasibility_audit.json	blocked; debug mechanisms audited	All four Fig. 5 panels require trained VAE/diffusion checkpoints, rollout/logged denoising trajectories, joystick command execution, and/or latent visualization data. Local evidence provides paper PDF and debug guidance/reverse/VAE probes, but no released Fig.5 data or official Level C checkpoint/engine.
Figure 6	fig:versatile_inpaint_sdf	reproduction/paper/source/root.tex:237-243	/mnt/infini-data/test/BeyondMimic/res/level_c/fig5_fig6_feasibility_audit/level_c_fig5_fig6_feasibility_audit.json	blocked; debug mechanisms audited	Both Fig. 6 panels require trained diffusion/VAE checkpoints, future-keyframe or waypoint/SDF closed-loop rollout logs, obstacle/mocap context, and/or real-world execution evidence. Local evidence provides paper PDF and debug timestep/reverse/guidance probes, but no released Fig.6 data or official Level C checkpoint/engine.
