group	item	levels	status	evidence	all_evidence_exists	detail
motion_tracking	orientation representation	Rot6D / quaternion / axis-angle	released_data_reproduced	res/released_figures/ablation_orientation_representation/ablation_orientation_representation_local.pdf;res/released_figures/ablation_orientation_representation/ablation_orientation_representation_global.pdf;res/comparison/paper_vs_reproduction.json	True	Released local/global orientation-representation ablation panels reproduced; no new live PPO rerun.
motion_tracking	observation history	history 1 / 4 / 8 / 25	released_data_reproduced	res/released_figures/ablation_observation_history/ablation_observation_history_local.pdf;res/released_figures/ablation_observation_history/ablation_observation_history_global.pdf	True	Released observation-history ablation panels reproduced.
motion_tracking	armature	x0 / x0.1 / original / x10	released_data_reproduced	res/released_figures/ablation_armature/ablation_armature_local.pdf;res/released_figures/ablation_armature/ablation_armature_global.pdf;res/paper_table_values/paper_table_value_audit.json	True	Released armature ablation panels plus paper/source armature table audit exist.
motion_tracking	delay	0 / 2 / 5 / 10 ms	released_data_reproduced	res/released_figures/ablation_latency/ablation_latency_local.pdf;res/released_figures/ablation_latency/ablation_latency_global.pdf	True	Released latency ablation panels reproduced.
motion_tracking	adaptive sampling	on / off	released_and_code_audited	res/released_figures/adaptive_sampling/adaptive_sampling_w_iter_matrix.pdf;res/released_figures/adaptive_sampling/adaptive_sampling_wo_iter_matrix.pdf;res/tracking/adaptive_sampling_discrepancy_audit/adaptive_sampling_discrepancy_audit.json	True	Released adaptive-sampling panels reproduced; paper/code kernel-size discrepancy remains recorded.
motion_tracking	PD natural frequency	paper extra ablation	released_data_reproduced	res/released_figures/ablation_pd_gain/ablation_pd_gain_local.pdf;res/released_figures/ablation_pd_gain/ablation_pd_gain_global.pdf	True	Released PD-gain sensitivity panels reproduced.
diffusion	direct state-action diffusion	direct state-action diffusion	debug_ablation_only	res/level_c/direct_vs_latent_action_ablation_audit/level_c_direct_vs_latent_action_ablation_audit.json;res/results_claims_audit/results_claims_audit.json;res/comparison/paper_vs_reproduction.json	True	Offline debug direct-state action branch is compared with the existing state-latent action pipe; paper direct-vs-latent cartwheel success still requires trained checkpoints and rollout logs.
diffusion	latent diffusion	latent diffusion	debug_mechanics_only	res/level_c/paper_state_transformer_arch_probe/level_c_paper_state_transformer_arch_probe.json;res/level_c/paper_state_heldout_multiseed_audit/level_c_paper_state_heldout_multiseed_audit.json;res/results_claims_audit/results_claims_audit.json	True	Latent trajectory mechanics and debug held-out probes exist; no trained latent diffusion checkpoint or paper success metric.
diffusion	without OU perturbation	without OU perturbation	debug_or_protocol_only	res/level_c/augmentation_probe/level_c_augmentation_probe.json;res/level_c/dataset_collection_protocol_audit/level_c_dataset_collection_protocol_audit.json	True	OU perturbation formula/protocol is checked; no trainable ablation without OU.
diffusion	without symmetry augmentation	without symmetry augmentation	public_data_trained_comparison	res/level_c/symmetry_mapping_audit/level_c_symmetry_mapping_audit.json;res/level_c/augmentation_probe/level_c_augmentation_probe.json;res/level_c/lafan1_paper_arch_symmetry_dataset/lafan1_paper_arch_symmetry_dataset_audit.json;res/level_c/lafan1_paper_arch_symmetry_augmented_training/lafan1_paper_arch_vae_diffusion_training.json;res/level_c/lafan1_paper_arch_symmetry_training_comparison/level_c_lafan1_paper_arch_symmetry_training_comparison_audit.json	True	Candidate sagittal symmetry mechanics checked, applied to the full public LAFAN1 paper-architecture windows, trained with the paper-sized VAE/diffusion architecture, and compared against the original public-data training run; closed-loop paper success/failure ablation remains unavailable.
diffusion	without emphasis projection	without emphasis projection	debug_or_formula_only	res/level_c/emphasis_projection_audit/level_c_emphasis_projection_audit.json;res/level_c/state_representation_source_audit/level_c_state_representation_source_audit.json	True	Emphasis projection and pseudoinverse formula audited; no trainable ablation without it.
diffusion	history sensitivity	history sensitivity	debug_or_config_only	res/level_c/timestep_mask_coverage_audit/level_c_timestep_mask_coverage_audit.json;res/config/resolved_reproduction_config.json	True	History length is configured and mask mechanics checked; no trained history sweep.
diffusion	horizon sensitivity	horizon sensitivity	debug_or_config_only	res/config/resolved_reproduction_config.json;res/level_c/paper_state_transformer_arch_probe/level_c_paper_state_transformer_arch_probe.json	True	Horizon/config and architecture probes exist; no trained horizon sweep.
diffusion	denoising-step sensitivity	denoising-step sensitivity	debug_or_config_only	res/level_c/timestep_mask_coverage_audit/level_c_timestep_mask_coverage_audit.json;res/level_c/training_schedule_probe/level_c_training_schedule_probe.json	True	Denoising-step schedule and K=20 are audited; no trained K sweep.
diffusion	guidance-scale sensitivity	guidance-scale sensitivity	public_data_checkpoint_reverse_and_offline_sweep	res/level_c/lafan1_paper_arch_symmetry_augmented_reverse_guidance_full_split/level_c_lafan1_paper_arch_reverse_guidance_full_split_audit.json;res/level_c/lafan1_paper_arch_symmetry_augmented_guidance_eval_full_split/level_c_lafan1_paper_arch_guidance_eval.json;res/level_c/guidance_scale_sweep_probe/level_c_guidance_scale_sweep_probe.json;res/level_c/guidance_cost_coverage_audit/level_c_guidance_cost_coverage_audit.json;res/level_c/guidance_task_metric_audit/level_c_guidance_task_metric_audit.json;res/level_c/guidance_full_split_result_table/level_c_guidance_full_split_result_table.json	True	Full-split symmetry-augmented public-data checkpoint sweeps five reverse-denoising guidance scales and seven offline guidance scales over validation+test windows; task metrics and result table are also linked, but no closed-loop paper scene success/failure protocol.
