check	passed	notes
isaaclab_math_import_ok	True	n/a
base_velocity_body_frame_parity	True	n/a
matrix_from_quat_parity	True	n/a
motion_command_delta_yaw_sign_invariant_parity	True	n/a
rot6_flatten_order_parity	True	n/a
subtract_frame_transforms_position_parity	True	n/a
subtract_frame_transforms_quat_sign_invariant_parity	True	n/a
yaw_quat_sign_invariant_parity	True	n/a
all_formula_fixtures_pass	True	n/a
native_probe_builds_all_8_policy_terms	True	n/a
native_probe_declares_approximate	True	n/a
native_probe_uses_world_to_init_anchor_alignment	True	n/a
native_probe_anchor_alignment_proven_equivalent_to_observation_manager	False	n/a
runtime_observation_manager_sample_available	False	n/a
native_obs_runtime_parity_ready	False	n/a
does_not_claim_rollout_or_success	True	n/a
