requirement	pattern	present
phase_0	Phase 0	True
phase_1	Phase 1	True
phase_2	Phase 2	True
phase_3	Phase 3	True
phase_4	Phase 4	True
phase_5	Phase 5	True
phase_6	Phase 6	True
phase_7	Phase 7	True
phase_8	Phase 8	True
phase_9	Phase 9	True
phase_10	Phase 10	True
no_fabrication	Do not fabricate	True
download_read_only	download` is read-only	True
run_directory_contract	Run Directory Contract	True
failed_runs	res/failed_runs	True
gpu_metrics	gpu_metrics.csv	True
kit_inotify_boundary	isaaclab_kit_inotify	True
final_report	final_reproduction_report.md	True
goal_incomplete_boundary	full goal is incomplete	True
