requirement	pattern	present
goal_reference	goal.md	True
download_read_only	read-only	True
goal_final_report	res/final_report/reproduction_report.md	True
docs_final_report	reproduction/docs/final_reproduction_report.md	True
experiment_protocol	reproduction/docs/experiment_protocol.md	True
master_audit	res/master_audit/reproduction_master_audit.json	True
artifact_manifest	res/artifact_manifest/artifact_manifest.json	True
goal_not_complete	not complete	True
isaaclab_kit_blocker	IsaacLab/Kit	True
dagger_gap	DAgger	True
checkpoint_gap	checkpoints	True
fig5_fig6_gap	Fig. 5/Fig. 6	True
unitree_g1_gap	Unitree G1	True
master_audit_command	reproduction/scripts/reproduction_master_audit.py	True
final_report_command	reproduction/scripts/final_reproduction_report.py	True
resolved_config_command	reproduction/scripts/resolved_reproduction_config.py	True
artifact_manifest_command	reproduction/scripts/artifact_manifest.py	True
protocol_audit_command	reproduction/scripts/experiment_protocol_audit.py	True
no_fabrication_rule	Do not fabricate	True
failed_runs_rule	Preserve failed runs	True
