name	category	path	exists	file_size	sha256	source_url	purpose	status	required_or_optional	conversion_status	claim_level	notes	git_remote	git_commit
HybridRobotics/whole_body_tracking	source_repo	/mnt/infini-data/test/BeyondMimic/download/official/whole_body_tracking	True			https://github.com/HybridRobotics/whole_body_tracking	Official BeyondMimic motion-tracking training code.	available	required_by_readme_or_related_reference	not_applicable	downloaded_source_code_inventory_not_training_result	Editable work copy is under reproduction/third_party/official/whole_body_tracking.	https://github.com/HybridRobotics/whole_body_tracking.git	cd65172032893724b445448818c34165846d847d
HybridRobotics/motion_tracking_controller	source_repo	/mnt/infini-data/test/BeyondMimic/download/official/motion_tracking_controller	True			https://github.com/HybridRobotics/motion_tracking_controller	Sim-to-sim/sim-to-real deployment reference linked by whole_body_tracking README.	available	required_by_readme_or_related_reference	not_applicable	downloaded_source_code_inventory_not_training_result	Deployment reference only; not used by the current PPO training run.	https://github.com/HybridRobotics/motion_tracking_controller.git	cbdb4a80d5ea506b2045bdd39cdfb4058084aeb4
mujocolab/mjlab	source_repo	/mnt/infini-data/test/BeyondMimic/download/reference_code/mjlab	True			https://github.com/mujocolab/mjlab	Alternative MuJoCo-Warp implementation referenced by the README.	available	required_by_readme_or_related_reference	not_applicable	downloaded_source_code_inventory_not_training_result	Reference implementation; not official IsaacLab training evidence.	https://github.com/mujocolab/mjlab.git	0cdc56246999409b83622764f5b38edb660cf16e
TeleHuman/PBHC	source_repo	/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC	True			https://github.com/TeleHuman/PBHC	KungfuBot/PBHC reference containing side-kick example motion.	available	required_by_readme_or_related_reference	not_applicable	downloaded_source_code_inventory_not_training_result	Contains example/motion_data/Side_kick.pkl; not yet converted to whole_body_tracking CSV/NPZ.	https://github.com/TeleHuman/PBHC.git	bf58dcbed1bef6179aed8e3ba549ec0ae7ffa765
LeCAR-Lab/ASAP	source_repo	/mnt/infini-data/test/BeyondMimic/download/reference_code/ASAP	True			https://github.com/LeCAR-Lab/ASAP	ASAP reference containing CR7 motion assets.	available	required_by_readme_or_related_reference	not_applicable	downloaded_source_code_inventory_not_training_result	Contains G1 29DoF CR7 pickle files; not yet converted to whole_body_tracking CSV/NPZ.	https://github.com/LeCAR-Lab/ASAP.git	df5320cc47dd8cad97961bdfabfe402dd62ad999
Unitree-retargeted LAFAN1 Dataset	source_repo	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset	True			https://huggingface.co/datasets/lvhaidong/LAFAN1_Retargeting_Dataset	Retargeted G1/H1/H1_2 reference motion CSVs recommended by whole_body_tracking README.	available	required_by_readme_or_related_reference	not_applicable	downloaded_source_code_inventory_not_training_result	G1 csv count=40; currently used by tracking PPO after local NPZ conversion.	https://huggingface.co/datasets/lvhaidong/LAFAN1_Retargeting_Dataset.git	ce1572906efe6157840e8474d5a0d7aa87481e74
Ubisoft LaForge LAFAN1 original dataset	source_repo	/mnt/infini-data/test/BeyondMimic/download/official/ubisoft-laforge-animation-dataset	True			https://github.com/ubisoft/ubisoft-laforge-animation-dataset	Original LAFAN1 source dataset for provenance and Level-C public-data experiments.	available	required_by_readme_or_related_reference	not_applicable	downloaded_source_code_inventory_not_training_result	Original animation dataset; not directly consumed by Tracking-Flat-G1-v0 without retargeting.	https://github.com/ubisoft/ubisoft-laforge-animation-dataset.git	94084601bacdf9cc3764b5c73daaeccae6035fac
KungfuBot side kick motion	motion_file	/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC/example/motion_data/Side_kick.pkl	True	141043	3152b3b53537e426bba57c5c3e04bd5dff74b00a38ee3a33a9c8dc1de7228821	https://kungfu-bot.github.io/ and https://github.com/TeleHuman/PBHC	Side-kick short-sequence motion source referenced by whole_body_tracking README and paper table.	available	required_by_readme_or_paper_table	needs_conversion_to_whole_body_tracking_csv_or_npz	downloaded_or_local_source_inventory_not_training_result	joblib-readable dict with root_trans_offset/pose_aa/dof/root_rot/smpl_joints/fps/contact_mask.		
ASAP Cristiano Ronaldo CR7 motion	motion_file	/mnt/infini-data/test/BeyondMimic/download/reference_code/ASAP/humanoidverse/data/motions/g1_29dof_anneal_23dof/TairanTestbed/singles/0-TairanTestbed_TairanTestbed_CR7_video_CR7_level1_filter_amass.pkl	True	89652	da9777c049737ae5bd975d35c9d7ee9813f48160f164b5c80f11889222666ee1	https://github.com/LeCAR-Lab/ASAP	Cristiano Ronaldo celebration short-sequence motion source referenced by whole_body_tracking README.	available	required_by_readme_or_paper_table	needs_conversion_to_whole_body_tracking_csv_or_npz	downloaded_or_local_source_inventory_not_training_result	joblib-readable dict with root_trans_offset/pose_aa/dof/root_rot/smpl_joints/fps.		
HuB single-leg balance motion	motion_file	/mnt/infini-data/test/BeyondMimic/download/_supplemental/hub_data/drive_folder/singleleg.pkl	True	423016	02e2cde09c908933782ef1136ab8bf287dfe1032330e2b7f290c7771101b11e9	https://hub-robot.github.io/ and Google Drive folder 1ZrF8HFMzJ7jBcHP6qFKgCyErvFDWlkmc	Single-leg balance source referenced by whole_body_tracking README/paper table.	available	required_by_readme_or_paper_table	needs_conversion_to_whole_body_tracking_csv_or_npz	downloaded_or_local_source_inventory_not_training_result	Downloaded from the HuB project dataset link; joblib-readable dict.		
HuB swallow balance motion	motion_file	/mnt/infini-data/test/BeyondMimic/download/_supplemental/hub_data/drive_folder/swallow_balance.pkl	True	450312	0d7e1c6e7ee02f3f1f9a374fb350a7c2f5a07bb2444038dfdca8696f2e3935f5	https://hub-robot.github.io/ and Google Drive folder 1ZrF8HFMzJ7jBcHP6qFKgCyErvFDWlkmc	Swallow balance source referenced by whole_body_tracking README/paper table.	available	required_by_readme_or_paper_table	needs_conversion_to_whole_body_tracking_csv_or_npz	downloaded_or_local_source_inventory_not_training_result	Downloaded from the HuB project dataset link; joblib-readable dict.		
HuB Bruce Lee kick motion	motion_file	/mnt/infini-data/test/BeyondMimic/download/_supplemental/hub_data/drive_folder/bruce_lee.pkl	True	789528	e784de60d78c2f89067e633f2de227926b7c57fa78ede2c1af719c1c6655d3b3	https://hub-robot.github.io/ and Google Drive folder 1ZrF8HFMzJ7jBcHP6qFKgCyErvFDWlkmc	Additional HuB extreme balance/kick motion source.	available	required_by_readme_or_paper_table	needs_conversion_to_whole_body_tracking_csv_or_npz	downloaded_or_local_source_inventory_not_training_result	Downloaded as part of HuB dataset folder.		
