kind	name	passed_or_exists	detail
file	run_id.txt	True	60
file	error.txt	True	243
file	config.json	True	1981
file	checkpoint.txt	True	105
file	last_log.txt	True	3570
file	gpu_status.csv	True	9057
file	failure_reason.md	True	380
file	resolution_plan.md	True	440
file	status.json	True	257
check	all_required_failed_run_files_exist	True	
check	status_failed_not_success	True	
check	run_id_recorded	True	
check	retry_json_exists	True	
check	retry_classified_blocked_inotify	True	
check	config_records_command	True	
check	checkpoint_absence_recorded	True	
check	last_log_records_inotify_failure	True	
check	gpu_status_recorded	True	
check	failure_reason_recorded	True	
check	resolution_plan_recorded	True	
check	does_not_claim_training_success	True	
