kind	name	value
metric	checkpoint_sha256	0d2f8c4caa2eabe9d43a48f2d116564599311b230dd2a4158b40dff5cd223819
metric	checkpoint_size_bytes	305413425
metric	debug_batch_size	1
metric	debug_input_window_count	84
metric	debug_latent_dim	32
metric	debug_state_dim	99
metric	debug_step_count	3
metric	debug_token_dim	131
metric	environment_steps_per_second	
metric	estimated_remaining_time	0.0
metric	final_ema_sha256	1468a9e89cef42ed755fed330d3802fedbfaa86bab98aa12351941f9a0f60b1c
metric	final_loss_after	1.3734568357467651
metric	final_model_sha256	2208fab0c0fe63336d89fce1c363e70adb5151892f668bde8c346e14dbf4b894
metric	initial_loss_before	1.351046085357666
metric	initial_model_sha256	24ed39e55862468c7556facb88ec48da41c059d5912dbdde67ea92a8b458fcd5
metric	is_bounded_debug_training_run	True
metric	is_training_run	False
metric	iteration_time	0.17738768458366394
metric	loss_delta	-0.02241075038909912
metric	loss_figure_sha256	ff6c51783df4ee323738841dcab2f0dd0ea00a9b7b0f815ae8b3795097d365aa
metric	loss_figure_size_bytes	3239
metric	model_vs_initial_l2	4.09509368637373e-08
metric	oom_count	0
metric	paper_level	False
metric	parameter_count	19080323
metric	restart_count	0
metric	run_id	level_c_bounded_debug_diffusion_static_000_20260617_083000
metric	samples_per_second	5.637018656277256
metric	status	SUCCESS
check	all_grad_norms_positive	True
check	all_losses_finite	True
check	all_required_dirs_exist	True
check	all_required_files_exist	True
check	all_same_batch_losses_not_worse_after_step	True
check	bounded_step_count_matches	True
check	checkpoint_file_exists	True
check	checkpoint_marked_debug_only	True
check	does_not_claim_full_training_run	True
check	does_not_claim_goal_complete	True
check	figure_file_exists	True
check	final_loss_finite	True
check	metrics_have_runtime_fields	True
check	model_parameters_changed	True
check	run_dir_exists	True
check	status_success_but_not_paper_training	True
check	videos_dir_empty	True
