sample_id	rollout_id	timestep	micro_step	micro_batch_index	split	teacher_queried	accepted	state_shape	student_action_shape	teacher_action_shape	sample_action_mse	sample_action_rmse	max_abs_action_error	finite	source
synthetic_dagger_schema_000	synthetic_dagger_schema_debug_only	0	1	0	train	True	True	[163]	[29]	[29]	0.0014939781665330113	0.038652013744862136	0.07795069157605469	True	synthetic_teacher_student_pair_schema_only
synthetic_dagger_schema_001	synthetic_dagger_schema_debug_only	1	1	1	train	True	True	[163]	[29]	[29]	0.0011248950513015866	0.03353945514318303	0.08227936443004445	True	synthetic_teacher_student_pair_schema_only
synthetic_dagger_schema_002	synthetic_dagger_schema_debug_only	2	2	0	train	True	True	[163]	[29]	[29]	0.0017791370942801322	0.042179818566230605	0.1060542657845375	True	synthetic_teacher_student_pair_schema_only
synthetic_dagger_schema_003	synthetic_dagger_schema_debug_only	3	2	1	train	True	True	[163]	[29]	[29]	0.0013308232573479748	0.03648045034464315	0.08420999194227821	True	synthetic_teacher_student_pair_schema_only
synthetic_dagger_schema_004	synthetic_dagger_schema_debug_only	4	3	0	train	True	True	[163]	[29]	[29]	0.0015357262823507659	0.039188343705121885	0.09729817318956421	True	synthetic_teacher_student_pair_schema_only
synthetic_dagger_schema_005	synthetic_dagger_schema_debug_only	5	3	1	train	True	True	[163]	[29]	[29]	0.001049639738050241	0.0323981440525571	0.08834083310412608	True	synthetic_teacher_student_pair_schema_only
synthetic_dagger_schema_006	synthetic_dagger_schema_debug_only	6	4	0	train	True	True	[163]	[29]	[29]	0.0013374495982687552	0.0365711580110441	0.07981606943575881	True	synthetic_teacher_student_pair_schema_only
synthetic_dagger_schema_007	synthetic_dagger_schema_debug_only	7	4	1	train	True	True	[163]	[29]	[29]	0.001664184903996279	0.040794422461854746	0.0983251478548427	True	synthetic_teacher_student_pair_schema_only
synthetic_dagger_schema_008	synthetic_dagger_schema_debug_only	8	5	0	train	True	True	[163]	[29]	[29]	0.0010661887166673561	0.03265254533213845	0.08150994608752586	True	synthetic_teacher_student_pair_schema_only
synthetic_dagger_schema_009	synthetic_dagger_schema_debug_only	9	5	1	train	True	True	[163]	[29]	[29]	0.001493629247547472	0.0386474998874115	0.09300625439880447	True	synthetic_teacher_student_pair_schema_only
synthetic_dagger_schema_010	synthetic_dagger_schema_debug_only	10	6	0	train	True	True	[163]	[29]	[29]	0.0007723649053207682	0.02779145381804932	0.06940446560814878	True	synthetic_teacher_student_pair_schema_only
synthetic_dagger_schema_011	synthetic_dagger_schema_debug_only	11	6	1	train	True	True	[163]	[29]	[29]	0.0010782260621709013	0.03283635275378344	0.07461774569579378	True	synthetic_teacher_student_pair_schema_only
synthetic_dagger_schema_012	synthetic_dagger_schema_debug_only	12	7	0	train	True	True	[163]	[29]	[29]	0.0014285854108005678	0.03779663226797551	0.09077929380793448	True	synthetic_teacher_student_pair_schema_only
synthetic_dagger_schema_013	synthetic_dagger_schema_debug_only	13	7	1	train	True	True	[163]	[29]	[29]	0.0013271132962781656	0.036429566237853636	0.09443997761312971	True	synthetic_teacher_student_pair_schema_only
synthetic_dagger_schema_014	synthetic_dagger_schema_debug_only	14	8	0	train	True	True	[163]	[29]	[29]	0.0007913963223221368	0.028131767138275136	0.05468189157943652	True	synthetic_teacher_student_pair_schema_only
synthetic_dagger_schema_015	synthetic_dagger_schema_debug_only	15	8	1	train	True	True	[163]	[29]	[29]	0.0012179941195634657	0.034899772485841016	0.07898549293294042	True	synthetic_teacher_student_pair_schema_only
synthetic_dagger_schema_016	synthetic_dagger_schema_debug_only	16	9	0	train	True	True	[163]	[29]	[29]	0.0008906114735270573	0.02984311434028053	0.062177135966406685	True	synthetic_teacher_student_pair_schema_only
synthetic_dagger_schema_017	synthetic_dagger_schema_debug_only	17	9	1	train	True	True	[163]	[29]	[29]	0.0009343565628700995	0.03056724656998238	0.08295417865505461	True	synthetic_teacher_student_pair_schema_only
synthetic_dagger_schema_018	synthetic_dagger_schema_debug_only	18	10	0	train	True	True	[163]	[29]	[29]	0.0009944567247553496	0.03153500792381936	0.04958584820532515	True	synthetic_teacher_student_pair_schema_only
synthetic_dagger_schema_019	synthetic_dagger_schema_debug_only	19	10	1	train	True	True	[163]	[29]	[29]	0.0013193741454602477	0.03632319018836654	0.07933048991030683	True	synthetic_teacher_student_pair_schema_only
synthetic_dagger_schema_020	synthetic_dagger_schema_debug_only	20	11	0	validation	True	True	[163]	[29]	[29]	0.0016433125910362216	0.04053779213322084	0.09649691404110781	True	synthetic_teacher_student_pair_schema_only
synthetic_dagger_schema_021	synthetic_dagger_schema_debug_only	21	11	1	validation	True	True	[163]	[29]	[29]	0.0014637371233858737	0.03825881759001281	0.06731473315141626	True	synthetic_teacher_student_pair_schema_only
synthetic_dagger_schema_022	synthetic_dagger_schema_debug_only	22	12	0	validation	True	True	[163]	[29]	[29]	0.0008915744818314377	0.029859244495322346	0.0574141304008858	True	synthetic_teacher_student_pair_schema_only
synthetic_dagger_schema_023	synthetic_dagger_schema_debug_only	23	12	1	validation	True	True	[163]	[29]	[29]	0.0010802396863753062	0.03286699996007099	0.06628034718947998	True	synthetic_teacher_student_pair_schema_only
synthetic_dagger_schema_024	synthetic_dagger_schema_debug_only	24	13	0	validation	True	True	[163]	[29]	[29]	0.002182384103093813	0.04671599408226066	0.0848411556774095	True	synthetic_teacher_student_pair_schema_only
synthetic_dagger_schema_025	synthetic_dagger_schema_debug_only	25	13	1	test	True	True	[163]	[29]	[29]	0.001242372024137951	0.035247298111173726	0.07185631984815384	True	synthetic_teacher_student_pair_schema_only
synthetic_dagger_schema_026	synthetic_dagger_schema_debug_only	26	14	0	test	True	True	[163]	[29]	[29]	0.0016333258873663977	0.0404144267232185	0.11045633198206498	True	synthetic_teacher_student_pair_schema_only
synthetic_dagger_schema_027	synthetic_dagger_schema_debug_only	27	14	1	test	True	True	[163]	[29]	[29]	0.0014930150862076412	0.03863955339037501	0.1010068745340204	True	synthetic_teacher_student_pair_schema_only
synthetic_dagger_schema_028	synthetic_dagger_schema_debug_only	28	15	0	test	True	True	[163]	[29]	[29]	0.0015079441545844047	0.038832256624929805	0.08669478859476236	True	synthetic_teacher_student_pair_schema_only
synthetic_dagger_schema_029	synthetic_dagger_schema_debug_only	29	15	1	test	True	True	[163]	[29]	[29]	0.0009987420259624823	0.031602880026391306	0.07159720752847784	True	synthetic_teacher_student_pair_schema_only
