name	command	returncode	duration_sec	passed	output	output_exists	output_status	log
vae_accumulation_probe	/mnt/infini-data/test/BeyondMimic/envs/bm_tracking/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_vae_accumulation_probe.py	0	69.23370812088251	True	/mnt/infini-data/test/BeyondMimic/res/level_c/vae_accumulation_probe/level_c_vae_accumulation_probe.json	True	ok	/mnt/infini-data/test/BeyondMimic/logs/level_c_debug_suite/vae_accumulation_probe.log
vae_latent_probe	/mnt/infini-data/test/BeyondMimic/envs/bm_tracking/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_vae_latent_probe.py	0	29.309379048645496	True	/mnt/infini-data/test/BeyondMimic/res/level_c/vae_latent_probe/level_c_vae_latent_probe.json	True	ok	/mnt/infini-data/test/BeyondMimic/logs/level_c_debug_suite/vae_latent_probe.log
diffusion_equation_audit	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_diffusion_equation_audit.py	0	0.5568073466420174	True	/mnt/infini-data/test/BeyondMimic/res/level_c/diffusion_equation_audit/level_c_diffusion_equation_audit.json	True	ok	/mnt/infini-data/test/BeyondMimic/logs/level_c_debug_suite/diffusion_equation_audit.log
reverse_denoising_probe	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_reverse_denoising_probe.py	0	0.13483594357967377	True	/mnt/infini-data/test/BeyondMimic/res/level_c/reverse_denoising_probe/level_c_reverse_denoising_probe.json	True	ok	/mnt/infini-data/test/BeyondMimic/logs/level_c_debug_suite/reverse_denoising_probe.log
paper_state_mask_reverse_probe	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_paper_state_mask_reverse_probe.py	0	0.15952061489224434	True	/mnt/infini-data/test/BeyondMimic/res/level_c/paper_state_mask_reverse_probe/level_c_paper_state_mask_reverse_probe.json	True	ok	/mnt/infini-data/test/BeyondMimic/logs/level_c_debug_suite/paper_state_mask_reverse_probe.log
guidance_formula_probe	/mnt/infini-data/test/BeyondMimic/envs/bm_tracking/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_guidance_formula_probe.py	0	15.706888597458601	True	/mnt/infini-data/test/BeyondMimic/res/level_c/guidance_formula_probe/level_c_guidance_formula_probe.json	True	ok	/mnt/infini-data/test/BeyondMimic/logs/level_c_debug_suite/guidance_formula_probe.log
guided_reverse_loop_probe	/mnt/infini-data/test/BeyondMimic/envs/bm_tracking/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_guided_reverse_loop_probe.py	0	17.278936475515366	True	/mnt/infini-data/test/BeyondMimic/res/level_c/guided_reverse_loop_probe/level_c_guided_reverse_loop_probe.json	True	ok	/mnt/infini-data/test/BeyondMimic/logs/level_c_debug_suite/guided_reverse_loop_probe.log
guidance_scale_sweep_probe	/mnt/infini-data/test/BeyondMimic/envs/bm_tracking/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_guidance_scale_sweep_probe.py	0	29.302464969456196	True	/mnt/infini-data/test/BeyondMimic/res/level_c/guidance_scale_sweep_probe/level_c_guidance_scale_sweep_probe.json	True	ok	/mnt/infini-data/test/BeyondMimic/logs/level_c_debug_suite/guidance_scale_sweep_probe.log
receding_horizon_decoder_probe	/mnt/infini-data/test/BeyondMimic/envs/bm_tracking/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_receding_horizon_decoder_probe.py	0	16.28455375134945	True	/mnt/infini-data/test/BeyondMimic/res/level_c/receding_horizon_decoder_probe/level_c_receding_horizon_decoder_probe.json	True	ok	/mnt/infini-data/test/BeyondMimic/logs/level_c_debug_suite/receding_horizon_decoder_probe.log
diffusion_to_vae_action_smoke	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_diffusion_to_vae_action_smoke.py	0	0.49875687062740326	True	/mnt/infini-data/test/BeyondMimic/res/level_c/diffusion_to_vae_action_smoke/level_c_diffusion_to_vae_action_smoke.json	True	ok	/mnt/infini-data/test/BeyondMimic/logs/level_c_debug_suite/diffusion_to_vae_action_smoke.log
