step	beta	alpha_bar	paper_form_alpha	paper_form_gamma	paper_form_sigma
1	0.0001	0.9999	1.0000000000001101	1.0	0.0
2	0.0011473684210526317	0.9987527463157895	0.9999999856489357	0.9198698566191414	0.009591224324140786
3	0.002194736842105263	0.9965607468672965	0.9999996572360759	0.6377455759815467	0.028212174016714314
4	0.0032421052631578947	0.9933297920248214	0.9999986015284876	0.48522171859619656	0.04088612374429211
5	0.004289473684210527	0.9890689300221887	0.9999964038514952	0.39110162962815304	0.05116115663073376
6	0.005336842105263159	0.9837904253114386	0.9999926480914988	0.3274380963892313	0.05999122143591616
7	0.00638421052631579	0.9775097001224766	0.9999869167062874	0.2815586871440245	0.06783311902935282
8	0.007431578947368422	0.9702452596141979	0.9999787907442191	0.2469418397918387	0.0749480069365583
9	0.008478947368421053	0.9620186011234692	0.9999678498748727	0.2199002439149159	0.08150111952718678
10	0.009526315789473685	0.9528541081338192	0.9999536724329091	0.19819512736550604	0.08760442371791527
11	0.010573684210526317	0.9427789296957095	0.9999358354775658	0.18038957337415853	0.09333770266603554
12	0.011621052631578949	0.931822846133772	0.9999139148697553	0.16551940740284926	0.09876004722482178
13	0.012668421052631579	0.9200181219724879	0.9998874853690755	0.15291371382820426	0.10391658820407322
14	0.01371578947368421	0.907399347099539	0.9998561207528147	0.1420912854085948	0.10884266817158415
15	0.014763157894736843	0.8940032672647273	0.9998193939592321	0.13269802540773643	0.11356654598989047
16	0.015810526315789476	0.8798686050812365	0.9997768772572315	0.12446758758856248	0.11811121662392333
17	0.016857894736842106	0.865035872754525	0.9997281424446537	0.11719578172565948	0.12249567453098073
18	0.017905263157894737	0.8495471778118361	0.9996727610773207	0.11072343994816256	0.1267358144675414
19	0.01895263157894737	0.8334460231418339	0.9996103047309793	0.10492465254508207	0.13084508873641143
20	0.02	0.8167771026789972	0.999540345298205	0.09969850820544192	0.13483499646466948
