name	command	return_code	passed	artifact	artifact_status	log
state_latent_dataset_consistency	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_state_latent_dataset_consistency_audit.py	0	True	/mnt/infini-data/test/BeyondMimic/res/level_c/state_latent_dataset_consistency_audit/level_c_state_latent_dataset_consistency_audit.json	ok	/mnt/infini-data/test/BeyondMimic/logs/level_c_extended_debug_suite/state_latent_dataset_consistency.log
vae_debug_overfit_latent_artifact	/mnt/infini-data/test/BeyondMimic/envs/bm_tracking/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_vae_debug_overfit_latent_artifact.py --device cpu	0	True	/mnt/infini-data/test/BeyondMimic/res/level_c/vae_debug_overfit_latent_artifact/level_c_vae_debug_overfit_latent_artifact.json	ok	/mnt/infini-data/test/BeyondMimic/logs/level_c_extended_debug_suite/vae_debug_overfit_latent_artifact.log
vae_motion_split_heldout_eval	/mnt/infini-data/test/BeyondMimic/envs/bm_tracking/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_vae_motion_split_heldout_eval.py --device cpu	0	True	/mnt/infini-data/test/BeyondMimic/res/level_c/vae_motion_split_heldout_eval/level_c_vae_motion_split_heldout_eval.json	ok	/mnt/infini-data/test/BeyondMimic/logs/level_c_extended_debug_suite/vae_motion_split_heldout_eval.log
vae_latent_diffusion_overfit	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_vae_latent_diffusion_overfit_probe.py	0	True	/mnt/infini-data/test/BeyondMimic/res/level_c/vae_latent_diffusion_overfit_probe/level_c_vae_latent_diffusion_overfit_probe.json	ok	/mnt/infini-data/test/BeyondMimic/logs/level_c_extended_debug_suite/vae_latent_diffusion_overfit.log
vae_latent_heldout_eval	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_vae_latent_heldout_eval.py	0	True	/mnt/infini-data/test/BeyondMimic/res/level_c/vae_latent_heldout_eval/level_c_vae_latent_heldout_eval.json	ok	/mnt/infini-data/test/BeyondMimic/logs/level_c_extended_debug_suite/vae_latent_heldout_eval.log
vae_latent_heldout_multiseed	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_vae_latent_heldout_multiseed_audit.py	0	True	/mnt/infini-data/test/BeyondMimic/res/level_c/vae_latent_heldout_multiseed_audit/level_c_vae_latent_heldout_multiseed_audit.json	ok	/mnt/infini-data/test/BeyondMimic/logs/level_c_extended_debug_suite/vae_latent_heldout_multiseed.log
diffusion_to_vae_action_smoke	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_diffusion_to_vae_action_smoke.py	0	True	/mnt/infini-data/test/BeyondMimic/res/level_c/diffusion_to_vae_action_smoke/level_c_diffusion_to_vae_action_smoke.json	ok	/mnt/infini-data/test/BeyondMimic/logs/level_c_extended_debug_suite/diffusion_to_vae_action_smoke.log
diffusion_to_vae_action_multiseed	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_diffusion_to_vae_action_multiseed_audit.py	0	True	/mnt/infini-data/test/BeyondMimic/res/level_c/diffusion_to_vae_action_multiseed_audit/level_c_diffusion_to_vae_action_multiseed_audit.json	ok	/mnt/infini-data/test/BeyondMimic/logs/level_c_extended_debug_suite/diffusion_to_vae_action_multiseed.log
diffusion_to_vae_action_smoothness	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_diffusion_to_vae_action_smoothness_audit.py	0	True	/mnt/infini-data/test/BeyondMimic/res/level_c/diffusion_to_vae_action_smoothness_audit/level_c_diffusion_to_vae_action_smoothness_audit.json	ok	/mnt/infini-data/test/BeyondMimic/logs/level_c_extended_debug_suite/diffusion_to_vae_action_smoothness.log
small_dataset_heldout_multiseed	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_small_dataset_heldout_multiseed_audit.py	0	True	/mnt/infini-data/test/BeyondMimic/res/level_c/small_dataset_heldout_multiseed_audit/level_c_small_dataset_heldout_multiseed_audit.json	ok	/mnt/infini-data/test/BeyondMimic/logs/level_c_extended_debug_suite/small_dataset_heldout_multiseed.log
