sample_id	source_motion	source_csv	source_csv_sha256	fixture_npz	fixture_npz_sha256	start_timestep	end_timestep	center_timestep	state_frame	latent	augmentation	accept_reject	split	window_length	history	horizon
walk1_subject1_window_0000	walk1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject1.csv	68c7887438e94f1f3d9ebacd3a8ce59251a22c7b05129a0f5d7cacaedc48c28d	/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/walk1_subject1_frames_1_180_state_fixture.npz	1ad01bb5c3824fd0d43e133d7d2ce874d829c5213898fa34bdebf563bfcb0fbd	0	20	4	candidate_hybrid_character_yaw_centric	missing_no_teacher_or_vae_latent	none_original_fixture	accepted_debug_fixture_no_live_stability_check	train	21	4	16
walk1_subject1_window_0001	walk1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject1.csv	68c7887438e94f1f3d9ebacd3a8ce59251a22c7b05129a0f5d7cacaedc48c28d	/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/walk1_subject1_frames_1_180_state_fixture.npz	1ad01bb5c3824fd0d43e133d7d2ce874d829c5213898fa34bdebf563bfcb0fbd	10	30	14	candidate_hybrid_character_yaw_centric	missing_no_teacher_or_vae_latent	none_original_fixture	accepted_debug_fixture_no_live_stability_check	train	21	4	16
walk1_subject1_window_0002	walk1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject1.csv	68c7887438e94f1f3d9ebacd3a8ce59251a22c7b05129a0f5d7cacaedc48c28d	/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/walk1_subject1_frames_1_180_state_fixture.npz	1ad01bb5c3824fd0d43e133d7d2ce874d829c5213898fa34bdebf563bfcb0fbd	20	40	24	candidate_hybrid_character_yaw_centric	missing_no_teacher_or_vae_latent	none_original_fixture	accepted_debug_fixture_no_live_stability_check	train	21	4	16
walk1_subject1_window_0003	walk1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject1.csv	68c7887438e94f1f3d9ebacd3a8ce59251a22c7b05129a0f5d7cacaedc48c28d	/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/walk1_subject1_frames_1_180_state_fixture.npz	1ad01bb5c3824fd0d43e133d7d2ce874d829c5213898fa34bdebf563bfcb0fbd	30	50	34	candidate_hybrid_character_yaw_centric	missing_no_teacher_or_vae_latent	none_original_fixture	accepted_debug_fixture_no_live_stability_check	train	21	4	16
walk1_subject1_window_0004	walk1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject1.csv	68c7887438e94f1f3d9ebacd3a8ce59251a22c7b05129a0f5d7cacaedc48c28d	/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/walk1_subject1_frames_1_180_state_fixture.npz	1ad01bb5c3824fd0d43e133d7d2ce874d829c5213898fa34bdebf563bfcb0fbd	40	60	44	candidate_hybrid_character_yaw_centric	missing_no_teacher_or_vae_latent	none_original_fixture	accepted_debug_fixture_no_live_stability_check	train	21	4	16
walk1_subject1_window_0005	walk1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject1.csv	68c7887438e94f1f3d9ebacd3a8ce59251a22c7b05129a0f5d7cacaedc48c28d	/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/walk1_subject1_frames_1_180_state_fixture.npz	1ad01bb5c3824fd0d43e133d7d2ce874d829c5213898fa34bdebf563bfcb0fbd	50	70	54	candidate_hybrid_character_yaw_centric	missing_no_teacher_or_vae_latent	none_original_fixture	accepted_debug_fixture_no_live_stability_check	train	21	4	16
walk1_subject1_window_0006	walk1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject1.csv	68c7887438e94f1f3d9ebacd3a8ce59251a22c7b05129a0f5d7cacaedc48c28d	/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/walk1_subject1_frames_1_180_state_fixture.npz	1ad01bb5c3824fd0d43e133d7d2ce874d829c5213898fa34bdebf563bfcb0fbd	60	80	64	candidate_hybrid_character_yaw_centric	missing_no_teacher_or_vae_latent	none_original_fixture	accepted_debug_fixture_no_live_stability_check	train	21	4	16
walk1_subject1_window_0007	walk1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject1.csv	68c7887438e94f1f3d9ebacd3a8ce59251a22c7b05129a0f5d7cacaedc48c28d	/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/walk1_subject1_frames_1_180_state_fixture.npz	1ad01bb5c3824fd0d43e133d7d2ce874d829c5213898fa34bdebf563bfcb0fbd	70	90	74	candidate_hybrid_character_yaw_centric	missing_no_teacher_or_vae_latent	none_original_fixture	accepted_debug_fixture_no_live_stability_check	train	21	4	16
walk1_subject1_window_0008	walk1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject1.csv	68c7887438e94f1f3d9ebacd3a8ce59251a22c7b05129a0f5d7cacaedc48c28d	/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/walk1_subject1_frames_1_180_state_fixture.npz	1ad01bb5c3824fd0d43e133d7d2ce874d829c5213898fa34bdebf563bfcb0fbd	80	100	84	candidate_hybrid_character_yaw_centric	missing_no_teacher_or_vae_latent	none_original_fixture	accepted_debug_fixture_no_live_stability_check	train	21	4	16
walk1_subject1_window_0009	walk1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject1.csv	68c7887438e94f1f3d9ebacd3a8ce59251a22c7b05129a0f5d7cacaedc48c28d	/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/walk1_subject1_frames_1_180_state_fixture.npz	1ad01bb5c3824fd0d43e133d7d2ce874d829c5213898fa34bdebf563bfcb0fbd	90	110	94	candidate_hybrid_character_yaw_centric	missing_no_teacher_or_vae_latent	none_original_fixture	accepted_debug_fixture_no_live_stability_check	train	21	4	16
walk1_subject1_window_0010	walk1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject1.csv	68c7887438e94f1f3d9ebacd3a8ce59251a22c7b05129a0f5d7cacaedc48c28d	/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/walk1_subject1_frames_1_180_state_fixture.npz	1ad01bb5c3824fd0d43e133d7d2ce874d829c5213898fa34bdebf563bfcb0fbd	100	120	104	candidate_hybrid_character_yaw_centric	missing_no_teacher_or_vae_latent	none_original_fixture	accepted_debug_fixture_no_live_stability_check	train	21	4	16
