task	metric	before	after	delta	improved
joystick	path_length	0.0021319110272838867	0.07733757622416287	-0.07520566519687899	False
joystick	velocity_command_mse	0.12435979371656938	0.05254195714655683	0.07181783657001256	True
joystick	terminal_goal_distance	0.09053375319717637	0.03928682823521618	0.051246924961960184	True
joystick	min_obstacle_clearance	-0.1598505830727198	-0.19821355732111812	-0.038362974248398324	False
joystick	keyframe_error	0.04599400237472454	0.02338531333189998	0.02260868904282456	True
joystick	second_difference_mean_norm	2.0549049702484816e-05	1.2744178096452147e-05	7.80487160603267e-06	True
waypoint	path_length	0.0021319110272838867	0.0014919951355906575	0.0006399158916932293	True
waypoint	velocity_command_mse	0.12435979371656938	0.12113465423673096	0.003225139479838421	True
waypoint	terminal_goal_distance	0.09053375319717637	0.06804232128257154	0.02249143191460483	True
waypoint	min_obstacle_clearance	-0.1598505830727198	-0.17726335533101592	-0.017412772258296128	False
waypoint	keyframe_error	0.04599400237472454	0.036995089954717966	0.008998912420006576	True
waypoint	second_difference_mean_norm	2.0549049702484816e-05	1.3764661252247176e-05	6.78438845023764e-06	True
obstacle_avoidance	path_length	0.0021319110272838867	0.007004385204570888	-0.004872474177287001	False
obstacle_avoidance	velocity_command_mse	0.12435979371656938	1.7913637485157663	-1.6670039547991968	False
obstacle_avoidance	terminal_goal_distance	0.09053375319717637	0.2814589014641503	-0.19092514826697393	False
obstacle_avoidance	min_obstacle_clearance	-0.1598505830727198	0.03950747084636402	0.19935805391908382	True
obstacle_avoidance	keyframe_error	0.04599400237472454	0.2407478950709437	-0.19475389269621918	False
obstacle_avoidance	second_difference_mean_norm	2.0549049702484816e-05	7.250686860828163e-05	-5.1957818905796815e-05	False
inpainting	path_length	0.0021319110272838867	0.06336969121617109	-0.0612377801888872	False
inpainting	velocity_command_mse	0.12435979371656938	0.14008906947912372	-0.01572927576255434	False
inpainting	terminal_goal_distance	0.09053375319717637	0.0905337474896253	5.707551070655015e-09	True
inpainting	min_obstacle_clearance	-0.1598505830727198	-0.18159288662874196	-0.021742303556022163	False
inpainting	keyframe_error	0.04599400237472454	0.013521512305151584	0.03247249006957296	True
inpainting	second_difference_mean_norm	2.0549049702484816e-05	0.00210917062550622	-0.002088621575803735	False
composed	path_length	0.0021319110272838867	0.4443360841639574	-0.44220417313667354	False
composed	velocity_command_mse	0.12435979371656938	1.6816384845664825	-1.557278690849913	False
composed	terminal_goal_distance	0.09053375319717637	0.13967623094195022	-0.04914247774477386	False
composed	min_obstacle_clearance	-0.1598505830727198	-0.06329020028220764	0.09656038279051216	True
composed	keyframe_error	0.04599400237472454	0.17304064195843402	-0.1270466395837095	False
composed	second_difference_mean_norm	2.0549049702484816e-05	0.018903099149192658	-0.018882550099490174	False
