task	scale	initial_cost	cost_after	cost_delta	relative_cost_delta	gradient_norm	finite
joystick	0.0	1.0463024365308937	1.0463024365308937	0.0	0.0	1.4465838631278132	True
joystick	1e-08	1.0463024365308937	1.046302415604845	2.0926048671654485e-08	1.9999999943626824e-08	1.4465838631278132	True
joystick	5e-08	1.0463024365308937	1.0463023319006528	1.0463024091578177e-07	9.999999738373197e-08	1.4465838631278132	True
joystick	1e-07	1.0463024365308937	1.046302227270417	2.0926047672453763e-07	1.9999998988644126e-07	1.4465838631278132	True
joystick	5e-07	1.0463024365308937	1.0463013902287188	1.0463021749007595e-06	9.99999749946932e-07	1.4465838631278132	True
joystick	1e-06	1.0463024365308937	1.046300343927067	2.09260382666443e-06	1.9999989999073677e-06	1.4465838631278132	True
joystick	5e-06	1.0463024365308937	1.0462919735326859	1.046299820783858e-05	9.999975000076991e-06	1.4465838631278132	True
joystick	1e-05	1.0463024365308937	1.0462815105867935	2.0925944100191884e-05	1.9999899999806617e-05	1.4465838631278132	True
waypoint	0.0	0.03236284967553299	0.03236284967553299	0.0	0.0	0.20261307809142703	True
waypoint	1e-08	0.03236284967553299	0.0323628492650124	4.1052058974422323e-10	1.2684933306163724e-08	0.20261307809142703	True
waypoint	5e-08	0.03236284967553299	0.03236284762293011	2.052602879332177e-09	6.342466438672626e-08	0.20261307809142703	True
waypoint	1e-07	0.03236284967553299	0.03236284557032741	4.105205578253113e-09	1.2684932319881235e-07	0.20261307809142703	True
waypoint	5e-07	0.03236284967553299	0.03236282914951242	2.0526020570732495e-08	6.342463897923168e-07	0.20261307809142703	True
waypoint	1e-06	0.03236284967553299	0.03236280862351011	4.1052022878296235e-08	1.268492215259522e-06	0.20261307809142703	True
waypoint	5e-06	0.03236284967553299	0.03236264441614919	2.0525938380228093e-07	6.342438501363463e-06	0.20261307809142703	True
waypoint	1e-05	0.03236284967553299	0.0323624391585919	4.105169410864584e-07	1.26848205639979e-05	0.20261307809142703	True
obstacle_avoidance	0.0	990.4317493854923	990.4317493854923	0.0	0.0	351.24751373773285	True
obstacle_avoidance	1e-08	990.4317493854923	990.4305156379468	0.0012337475454842206	1.245666393721416e-06	351.24751373773285	True
obstacle_avoidance	5e-08	990.4317493854923	990.4255806600395	0.006168725452766921	6.228319575371312e-06	351.24751373773285	True
obstacle_avoidance	1e-07	990.4317493854923	990.419411965272	0.012337420220205786	1.2456608168973233e-05	351.24751373773285	True
obstacle_avoidance	5e-07	990.4317493854923	990.3700635118023	0.06168587368995304	6.228180157615668e-05	351.24751373773285	True
obstacle_avoidance	1e-06	990.4317493854923	990.3083807066391	0.12336867885312586	0.00012456050498145795	351.24751373773285	True
obstacle_avoidance	5e-06	990.4317493854923	989.8150287322969	0.6167206531953298	0.0006226785980739914	351.24751373773285	True
obstacle_avoidance	1e-05	990.4317493854923	989.1986149317418	1.2331344537504947	0.0012450473791006647	351.24751373773285	True
inpainting	0.0	0.0008714207805306171	0.0008714207805306171	0.0	0.0	0.004090388610656431	True
inpainting	1e-08	0.0008714207805306171	0.0008714207803633044	1.6731266979513881e-13	1.9199986199693397e-10	0.004090388610656431	True
inpainting	5e-08	0.0008714207805306171	0.0008714207796940532	8.365638910767803e-13	9.599999320734445e-10	0.004090388610656431	True
inpainting	1e-07	0.0008714207805306171	0.0008714207788574891	1.6731279989939951e-12	1.9200001129823987e-09	0.004090388610656431	True
inpainting	5e-07	0.0008714207805306171	0.0008714207721649775	8.365639561289107e-12	9.600000067240974e-09	0.004090388610656431	True
inpainting	1e-06	0.0008714207805306171	0.0008714207637993383	1.673127879731756e-11	1.9199999761228685e-08	0.004090388610656431	True
inpainting	5e-06	0.0008714207805306171	0.0008714206968742242	8.365639290238563e-11	9.599999756196588e-08	0.004090388610656431	True
inpainting	1e-05	0.0008714207805306171	0.0008714206132178352	1.6731278190164345e-10	1.9199999064489257e-07	0.004090388610656431	True
composed_objectives	0.0	991.5104146716986	991.5104146716986	0.0	0.0	351.2508472856662	True
composed_objectives	1e-08	991.5104146716986	991.509180900735	0.0012337709636085492	1.2443348504988369e-06	351.2508472856662	True
composed_objectives	5e-08	991.5104146716986	991.5042458291554	0.006168842543274877	6.221661872626371e-06	351.2508472856662	True
composed_objectives	1e-07	991.5104146716986	991.4980770172973	0.012337654401335385	1.2443292797303114e-05	351.2508472856662	True
composed_objectives	5e-07	991.5104146716986	991.4487276271036	0.0616870445950326	6.22152260654346e-05	351.2508472856662	True
composed_objectives	1e-06	991.5104146716986	991.3870436510368	0.12337102066180705	0.00012442735732902675	351.2508472856662	True
composed_objectives	5e-06	991.5104146716986	990.8936823095256	0.6167323621730247	0.0006220129945657018	351.2508472856662	True
composed_objectives	1e-05	991.5104146716986	990.277256800157	1.2331578715416072	0.0012437165089687128	351.2508472856662	True
