kind	path	exists	size_bytes	sha256	task	metric	before	after	delta
gif	/mnt/infini-data/test/BeyondMimic/res/level_c/guidance_debug_visualization/level_c_guidance_debug_visualization.gif	True	29890	3e9c86e2f38fbfa56a342cca55cc847962ba081124fd66915b95e4d616cc1c73					
npz	/mnt/infini-data/test/BeyondMimic/res/level_c/guidance_debug_visualization/level_c_guidance_debug_visualization.npz	True	3590	262c2b777d405b9ee2cfad0ea85f09dc976945a4768d7704fb56b50f9353e9bb					
pdf	/mnt/infini-data/test/BeyondMimic/res/level_c/guidance_debug_visualization/level_c_guidance_debug_visualization.pdf	True	20731	a8f52ff874a4326c4d658b03535c8e805228e0d3c36ea6a790b413145caf9480					
png	/mnt/infini-data/test/BeyondMimic/res/level_c/guidance_debug_visualization/level_c_guidance_debug_visualization.png	True	118750	f822358a48651c9b01f2a2cdb206da77f33c4a7ea570f7fd7d330567726f817a					
svg	/mnt/infini-data/test/BeyondMimic/res/level_c/guidance_debug_visualization/level_c_guidance_debug_visualization.svg	True	63613	dc457611df1ac96f6383029a5f91cd99b6363bdaf83f22a1506b2e78d5158127					
tsv	/mnt/infini-data/test/BeyondMimic/res/level_c/guidance_debug_visualization/level_c_guidance_debug_visualization.tsv	True	3057	6d07c1ec76dba46b5210bf0440a268acf4d1bd58035a2ca7e30db8268b51445f					
task_metric	/mnt/infini-data/test/BeyondMimic/res/level_c/guidance_task_metric_audit/level_c_guidance_task_metric_audit.json	True	6050	f77e69ae9fc26f42747577a619b00867920658e4fbde931c4d0a0317566f5510	joystick	velocity_command_mse	0.12435979371656938	0.05254195714655683	0.07181783657001256
task_metric	/mnt/infini-data/test/BeyondMimic/res/level_c/guidance_task_metric_audit/level_c_guidance_task_metric_audit.json	True	6050	f77e69ae9fc26f42747577a619b00867920658e4fbde931c4d0a0317566f5510	waypoint	terminal_goal_distance	0.09053375319717637	0.06804232128257154	0.02249143191460483
task_metric	/mnt/infini-data/test/BeyondMimic/res/level_c/guidance_task_metric_audit/level_c_guidance_task_metric_audit.json	True	6050	f77e69ae9fc26f42747577a619b00867920658e4fbde931c4d0a0317566f5510	obstacle_avoidance	min_obstacle_clearance	-0.1598505830727198	0.03950747084636402	0.19935805391908382
task_metric	/mnt/infini-data/test/BeyondMimic/res/level_c/guidance_task_metric_audit/level_c_guidance_task_metric_audit.json	True	6050	f77e69ae9fc26f42747577a619b00867920658e4fbde931c4d0a0317566f5510	inpainting	keyframe_error	0.04599400237472454	0.013521512305151584	0.03247249006957296
task_metric	/mnt/infini-data/test/BeyondMimic/res/level_c/guidance_task_metric_audit/level_c_guidance_task_metric_audit.json	True	6050	f77e69ae9fc26f42747577a619b00867920658e4fbde931c4d0a0317566f5510	composed	min_obstacle_clearance	-0.1598505830727198	-0.06329020028220764	0.09656038279051216
