task	window_index	scale	direction	unguided_final_cost	guided_final_cost	cost_delta	unguided_final_primary	guided_final_primary	primary_delta	primary_improved	mean_gradient_norm	nonzero_gradient_steps	final_mse_to_clean_prediction	cost_trace_first	cost_trace_last	step_count	finite
joystick	1540	0.0	lower_is_better	2.185730218887329	2.185730218887329	0.0	0.104082390666008	0.104082390666008	0.0	False	0.0	0	4.015328070039459e-09	2.0970616340637207	2.185730218887329	20	True
joystick	1540	2e-05	lower_is_better	2.185730218887329	2.161234140396118	0.024496078491210938	0.104082390666008	0.10291591286659241	-0.0011664777994155884	True	1.9954697072505951	20	0.0006281710811890662	2.0970537662506104	2.161234140396118	20	True
joystick	1540	5e-05	lower_is_better	2.185730218887329	2.1605172157287598	0.025213003158569336	0.104082390666008	0.1028817743062973	-0.0012006163597106934	True	1.9953811645507813	20	0.0006281696259975433	2.097041606903076	2.1605172157287598	20	True
joystick	1540	0.0001	lower_is_better	2.185730218887329	2.1593194007873535	0.026410818099975586	0.104082390666008	0.10282473266124725	-0.0012576580047607422	True	1.9952329099178314	20	0.0006281663081608713	2.0970215797424316	2.1593194007873535	20	True
joystick	1540	0.0002	lower_is_better	2.185730218887329	2.1569292545318604	0.02880096435546875	0.104082390666008	0.10271091759204865	-0.0013714730739593506	True	1.994937014579773	20	0.0006281608948484063	2.0969817638397217	2.1569292545318604	20	True
waypoint	1540	0.0	lower_is_better	0.410173624753952	0.410173624753952	0.0	0.19252102077007294	0.19252102077007294	0.0	False	0.0	0	4.015328070039459e-09	0.7693923711776733	0.410173624753952	20	True
waypoint	1540	2e-05	lower_is_better	0.410173624753952	0.3786555528640747	0.03151807188987732	0.19252102077007294	0.18745607137680054	-0.0050649493932724	True	1.1070996582508088	20	0.0006281734094955027	0.7693888545036316	0.3786555528640747	20	True
waypoint	1540	5e-05	lower_is_better	0.410173624753952	0.37848666310310364	0.03168696165084839	0.19252102077007294	0.18742911517620087	-0.00509190559387207	True	1.1070421099662782	20	0.0006281735259108245	0.7693836688995361	0.37848666310310364	20	True
waypoint	1540	0.0001	lower_is_better	0.410173624753952	0.3782059848308563	0.0319676399230957	0.19252102077007294	0.18738433718681335	-0.0051366835832595825	True	1.1069462418556213	20	0.0006281767855398357	0.7693750262260437	0.3782059848308563	20	True
waypoint	1540	0.0002	lower_is_better	0.410173624753952	0.3776432275772095	0.032530397176742554	0.19252102077007294	0.1872946172952652	-0.005226403474807739	True	1.1067539185285569	20	0.000628180627245456	0.7693579196929932	0.3776432275772095	20	True
obstacle_avoidance	1540	0.0	higher_is_better	1826.33251953125	1826.33251953125	0.0	-0.24137689173221588	-0.24137689173221588	0.0	False	0.0	0	4.015328070039459e-09	717.509521484375	1826.33251953125	20	True
obstacle_avoidance	1540	2e-05	higher_is_better	1826.33251953125	1801.10009765625	25.232421875	-0.24137689173221588	-0.23205552995204926	0.009321361780166626	True	470.2717758178711	20	0.0006280623492784798	717.4884033203125	1801.10009765625	20	True
obstacle_avoidance	1540	5e-05	higher_is_better	1826.33251953125	1793.16064453125	33.171875	-0.24137689173221588	-0.23085640370845795	0.010520488023757935	True	470.2383178710937	20	0.0006280553061515093	717.4566650390625	1793.16064453125	20	True
obstacle_avoidance	1540	0.0001	higher_is_better	1826.33251953125	1779.9815673828125	46.3509521484375	-0.24137689173221588	-0.22885383665561676	0.012523055076599121	True	470.1824783325195	20	0.0006284681730903685	717.40380859375	1779.9815673828125	20	True
obstacle_avoidance	1540	0.0002	higher_is_better	1826.33251953125	1753.826416015625	72.506103515625	-0.24137689173221588	-0.22483760118484497	0.01653929054737091	True	470.0705047607422	20	0.0006308776210062206	717.29736328125	1753.826416015625	20	True
inpainting	1540	0.0	lower_is_better	0.0024315265472978354	0.0024315265472978354	0.0	0.06973559409379959	0.06973559409379959	0.0	False	0.0	0	4.015328070039459e-09	0.0014142546569928527	0.0024315265472978354	20	True
inpainting	1540	2e-05	lower_is_better	0.0024315265472978354	0.0024171993136405945	1.4327233657240868e-05	0.06973559409379959	0.06952983886003494	-0.00020575523376464844	True	0.006103554856963456	20	0.0006281721289269626	0.0014142548898234963	0.0024171993136405945	20	True
inpainting	1540	5e-05	lower_is_better	0.0024315265472978354	0.0024171913973987103	1.43351498991251e-05	0.06973559409379959	0.06952972710132599	-0.0002058669924736023	True	0.006103553250432015	20	0.000628172536380589	0.0014142545405775309	0.0024171913973987103	20	True
inpainting	1540	0.0001	lower_is_better	0.0024315265472978354	0.002417180687189102	1.4345860108733177e-05	0.06973559409379959	0.06952957063913345	-0.0002060234546661377	True	0.0061035498045384886	20	0.0006281720707193017	0.0014142545405775309	0.002417180687189102	20	True
inpainting	1540	0.0002	lower_is_better	0.0024315265472978354	0.0024171671830117702	1.4359364286065102e-05	0.06973559409379959	0.06952937692403793	-0.00020621716976165771	True	0.006103544868528843	20	0.0006281726527959108	0.0014142540749162436	0.0024171671830117702	20	True
composed_objectives	1540	0.0	higher_is_better	1828.928466796875	1828.928466796875	0.0	-0.24137689173221588	-0.24137689173221588	0.0	False	0.0	0	4.015328070039459e-09	720.3759765625	1828.928466796875	20	True
composed_objectives	1540	2e-05	higher_is_better	1828.928466796875	1803.6412353515625	25.2872314453125	-0.24137689173221588	-0.23205338418483734	0.00932350754737854	True	470.2808776855469	20	0.0006280613015405834	720.354736328125	1803.6412353515625	20	True
composed_objectives	1540	5e-05	higher_is_better	1828.928466796875	1795.7034912109375	33.2249755859375	-0.24137689173221588	-0.23085103929042816	0.01052585244178772	True	470.24732818603513	20	0.0006280538509599864	720.3230590820312	1795.7034912109375	20	True
composed_objectives	1540	0.0001	higher_is_better	1828.928466796875	1782.527099609375	46.4013671875	-0.24137689173221588	-0.22884494066238403	0.012531951069831848	True	470.1913269042969	20	0.0006284634000621736	720.2701416015625	1782.527099609375	20	True
composed_objectives	1540	0.0002	higher_is_better	1828.928466796875	1756.3787841796875	72.5496826171875	-0.24137689173221588	-0.224819615483284	0.016557276248931885	True	470.0790740966797	20	0.0006308638257905841	720.1636962890625	1756.3787841796875	20	True
joystick	1541	0.0	lower_is_better	2.5581657886505127	2.5581657886505127	0.0	0.12181741744279861	0.12181741744279861	0.0	False	0.0	0	4.085468852110807e-09	2.2518134117126465	2.5581657886505127	20	True
joystick	1541	2e-05	lower_is_better	2.5581657886505127	2.4804179668426514	0.07774782180786133	0.12181741744279861	0.1181151419878006	-0.0037022754549980164	True	2.1471448242664337	20	0.0006242109229788184	2.2518041133880615	2.4804179668426514	20	True
joystick	1541	5e-05	lower_is_better	2.5581657886505127	2.4795901775360107	0.07857561111450195	0.12181741744279861	0.11807572096586227	-0.0037416964769363403	True	2.1470488905906677	20	0.0006242110393941402	2.2517905235290527	2.4795901775360107	20	True
joystick	1541	0.0001	lower_is_better	2.5581657886505127	2.4782116413116455	0.07995414733886719	0.12181741744279861	0.11801008135080338	-0.0038073360919952393	True	2.146889144182205	20	0.0006242100498639047	2.25176739692688	2.4782116413116455	20	True
joystick	1541	0.0002	lower_is_better	2.5581657886505127	2.4754583835601807	0.08270740509033203	0.12181741744279861	0.1178789734840393	-0.003938443958759308	True	2.1465699136257173	20	0.0006242079543881118	2.2517216205596924	2.4754583835601807	20	True
waypoint	1541	0.0	lower_is_better	0.7154268026351929	0.7154268026351929	0.0	0.23688116669654846	0.23688116669654846	0.0	False	0.0	0	4.085468852110807e-09	1.0121533870697021	0.7154268026351929	20	True
waypoint	1541	2e-05	lower_is_better	0.7154268026351929	0.6366618871688843	0.0787649154663086	0.23688116669654846	0.22707024216651917	-0.009810924530029297	True	1.3881273865699768	20	0.0006242119707167149	1.012148141860962	0.6366618871688843	20	True
waypoint	1541	5e-05	lower_is_better	0.7154268026351929	0.6363715529441833	0.07905524969100952	0.23688116669654846	0.22703337669372559	-0.009847790002822876	True	1.3880537033081055	20	0.0006242160452529788	1.012140154838562	0.6363715529441833	20	True
waypoint	1541	0.0001	lower_is_better	0.7154268026351929	0.635886549949646	0.07954025268554688	0.23688116669654846	0.22697162628173828	-0.00990954041481018	True	1.3879304468631743	20	0.0006242203526198864	1.01212739944458	0.635886549949646	20	True
waypoint	1541	0.0002	lower_is_better	0.7154268026351929	0.6349184513092041	0.08050835132598877	0.23688116669654846	0.22684845328330994	-0.010032713413238525	True	1.3876842200756072	20	0.0006242305389605463	1.0121012926101685	0.6349184513092041	20	True
obstacle_avoidance	1541	0.0	higher_is_better	1808.08447265625	1808.08447265625	0.0	-0.22380192577838898	-0.22380192577838898	0.0	False	0.0	0	4.085468852110807e-09	693.7701416015625	1808.08447265625	20	True
obstacle_avoidance	1541	2e-05	higher_is_better	1808.08447265625	1787.39208984375	20.6923828125	-0.22380192577838898	-0.21821169555187225	0.005590230226516724	True	474.14146575927737	20	0.0006240409566089511	693.7677001953125	1787.39208984375	20	True
obstacle_avoidance	1541	5e-05	higher_is_better	1808.08447265625	1779.4154052734375	28.6690673828125	-0.22380192577838898	-0.21702422201633453	0.006777703762054443	True	474.1042205810547	20	0.0006239424692466855	693.7640380859375	1779.4154052734375	20	True
obstacle_avoidance	1541	0.0001	higher_is_better	1808.08447265625	1766.17529296875	41.9091796875	-0.22380192577838898	-0.21504350006580353	0.00875842571258545	True	474.0420211791992	20	0.0006241982919164002	693.7578125	1766.17529296875	20	True
obstacle_avoidance	1541	0.0002	higher_is_better	1808.08447265625	1739.8974609375	68.18701171875	-0.22380192577838898	-0.21107366681098938	0.012728258967399597	True	473.9169387817383	20	0.0006262784590944648	693.744873046875	1739.8974609375	20	True
inpainting	1541	0.0	lower_is_better	0.0025243095587939024	0.0025243095587939024	0.0	0.0710536390542984	0.0710536390542984	0.0	False	0.0	0	4.085468852110807e-09	0.0007978719077073038	0.0025243095587939024	20	True
inpainting	1541	2e-05	lower_is_better	0.0025243095587939024	0.002418910153210163	0.00010539940558373928	0.0710536390542984	0.06955444067716599	-0.0014991983771324158	True	0.0056812815135344865	20	0.0006242113886401057	0.0007978721987456083	0.002418910153210163	20	True
inpainting	1541	5e-05	lower_is_better	0.0025243095587939024	0.00241890549659729	0.00010540406219661236	0.0710536390542984	0.06955437362194061	-0.001499265432357788	True	0.0056812810245901344	20	0.0006242116214707494	0.0007978721987456083	0.00241890549659729	20	True
inpainting	1541	0.0001	lower_is_better	0.0025243095587939024	0.0024188959505409002	0.00010541360825300217	0.0710536390542984	0.06955423951148987	-0.0014993995428085327	True	0.005681277997791767	20	0.0006242120871320367	0.0007978721987456083	0.0024188959505409002	20	True
inpainting	1541	0.0002	lower_is_better	0.0025243095587939024	0.0024188796523958445	0.00010542990639805794	0.0710536390542984	0.06955400109291077	-0.0014996379613876343	True	0.005681273201480508	20	0.0006242116796784103	0.0007978719077073038	0.0024188796523958445	20	True
composed_objectives	1541	0.0	higher_is_better	1811.3580322265625	1811.3580322265625	0.0	-0.22380192577838898	-0.22380192577838898	0.0	False	0.0	0	4.085468852110807e-09	697.0341186523438	1811.3580322265625	20	True
composed_objectives	1541	2e-05	higher_is_better	1811.3580322265625	1790.5093994140625	20.8486328125	-0.22380192577838898	-0.21820831298828125	0.005593612790107727	True	474.1531753540039	20	0.0006240425282157958	697.0316162109375	1790.5093994140625	20	True
composed_objectives	1541	5e-05	higher_is_better	1811.3580322265625	1782.53271484375	28.8253173828125	-0.22380192577838898	-0.21701742708683014	0.006784498691558838	True	474.11572418212893	20	0.0006239466019906104	697.0279541015625	1782.53271484375	20	True
composed_objectives	1541	0.0001	higher_is_better	1811.3580322265625	1769.292236328125	42.0657958984375	-0.22380192577838898	-0.2150285392999649	0.008773386478424072	True	474.05311126708983	20	0.0006242034141905606	697.0216674804688	1769.292236328125	20	True
composed_objectives	1541	0.0002	higher_is_better	1811.3580322265625	1743.0142822265625	68.34375	-0.22380192577838898	-0.21104367077350616	0.012758255004882812	True	473.92730712890625	20	0.0006262835813686252	697.0086059570312	1743.0142822265625	20	True
joystick	1542	0.0	lower_is_better	1.4904807806015015	1.4904807806015015	0.0	0.07097527384757996	0.07097527384757996	0.0	False	0.0	0	3.9557788156230345e-09	1.4987441301345825	1.4904807806015015	20	True
joystick	1542	2e-05	lower_is_better	1.4904807806015015	1.454167366027832	0.036313414573669434	0.07097527384757996	0.0692460685968399	-0.0017292052507400513	True	1.5908330082893372	20	0.0006382105057127774	1.4987390041351318	1.454167366027832	20	True
joystick	1542	5e-05	lower_is_better	1.4904807806015015	1.453694224357605	0.036786556243896484	0.07097527384757996	0.06922353804111481	-0.001751735806465149	True	1.5907630980014802	20	0.0006382110295817256	1.4987311363220215	1.453694224357605	20	True
joystick	1542	0.0001	lower_is_better	1.4904807806015015	1.4529050588607788	0.037575721740722656	0.07097527384757996	0.06918595731258392	-0.0017893165349960327	True	1.5906464993953704	20	0.0006382109713740647	1.4987177848815918	1.4529050588607788	20	True
joystick	1542	0.0002	lower_is_better	1.4904807806015015	1.4513295888900757	0.03915119171142578	0.07097527384757996	0.0691109299659729	-0.0018643438816070557	True	1.5904135227203369	20	0.0006382109713740647	1.498691201210022	1.4513295888900757	20	True
