relative_path	source_area	artifact_kind	size_bytes	path_keyword_matches	content_keyword_matches	is_official_area	is_reference_area	is_beyondmimic_specific_official_candidate	sha256_first_mb
download/official/motion_tracking_controller/include/motion_tracking_controller/MotionOnnxPolicy.h	official	cpp_cuda_code	1229	policy,onnx		True	False	False	d5d584bffdcfbf452e9caaa19318a243ad470da955c68b82717a79211b6b6729
download/official/motion_tracking_controller/src/MotionOnnxPolicy.cpp	official	cpp_cuda_code	1656	policy,onnx		True	False	False	7a16819c09f306df9f3a5c0a3185f76283fb865f3c329fb444e302ca9c0847c3
reproduction/third_party/official/motion_tracking_controller/include/motion_tracking_controller/MotionOnnxPolicy.h	official	cpp_cuda_code	1229	policy,onnx		True	False	False	d5d584bffdcfbf452e9caaa19318a243ad470da955c68b82717a79211b6b6729
reproduction/third_party/official/motion_tracking_controller/src/MotionOnnxPolicy.cpp	official	cpp_cuda_code	1656	policy,onnx		True	False	False	7a16819c09f306df9f3a5c0a3185f76283fb865f3c329fb444e302ca9c0847c3
reproduction/third_party/official/IsaacLab-v2.1.0/source/isaaclab_tasks/isaaclab_tasks/direct/humanoid_amp/motions/humanoid_dance.npz	official	data_or_pickle	910662			True	False	False	2f2b07fd6f2c12f89b60690f9937cf82a9d613e91eaec7e6ca29e126925f9d12
reproduction/third_party/official/IsaacLab-v2.1.0/source/isaaclab_tasks/isaaclab_tasks/direct/humanoid_amp/motions/humanoid_run.npz	official	data_or_pickle	87382			True	False	False	98dd7cf75b130a593d5f0254d5ece6a2123c2fefad0ee02dcb13ec6d57db99c1
reproduction/third_party/official/IsaacLab-v2.1.0/source/isaaclab_tasks/isaaclab_tasks/direct/humanoid_amp/motions/humanoid_walk.npz	official	data_or_pickle	159670			True	False	False	91a7af4e7fa59d8a3a2bb2c6e0dad45d73f6e5b5ee1a284d733435e32c418542
download/official/LAFAN1_Retargeting_Dataset/README.md	official	documentation	4268		ema	True	False	False	e741899b5c42b8654cc49ead2584e46b44425d1ba7b04fd66165c970814c3f5d
download/official/ubisoft-laforge-animation-dataset/README.md	official	documentation	7160		denoising	True	False	False	4c37097dd11d87a46c261df2b5b32acf5a0be2c02648140403fee128b64eb851
download/official/whole_body_tracking/README.md	official	documentation	7266		diffusion,ema	True	False	False	d96689b761fdc290004cbfaaa2a429a457ed11eae402eec2ce9d85453dcd607d
reproduction/third_party/official/IsaacLab-v2.1.0/docs/licenses/dependencies/onnx-license.txt	official	documentation	11560	onnx		True	False	False	3ddf9be5c28fe27dad143a5dc76eea25222ad1dd68934a047064e56ed2fa40c5
reproduction/third_party/official/IsaacLab-v2.1.0/docs/licenses/dependencies/transformers-license.txt	official	documentation	11621	transformer		True	False	False	10fe554b4ffd57008fd1b44474b005f2c35af7312608dbd95fecad82fe87ab42
reproduction/third_party/official/IsaacLab-v2.1.0/docs/source/overview/core-concepts/sensors/frame_transformer.rst	official	documentation	5673	transformer		True	False	False	da77e428fd8fea9f13b550cc8d6eace4e5853500dadb2e09e3582df2d0d83642
reproduction/third_party/official/IsaacLab-v2.1.0/docs/source/policy_deployment/00_hover/hover_policy.rst	official	documentation	8176	policy		True	False	False	a62d4703d7e5831c2a3d5229f633654347934614025152bc4fee77cf7bc73410
reproduction/third_party/official/IsaacLab-v2.1.0/docs/source/policy_deployment/index.rst	official	documentation	473	policy		True	False	False	885f283f5a900f32de75c5ba7c591663d996ef502ef4204df7102d25cc356e09
reproduction/third_party/official/IsaacLab-v2.1.0/docs/source/tutorials/03_envs/policy_inference_in_usd.rst	official	documentation	3105	policy		True	False	False	e68e42bdd8518a3aea3b781fad00d7b9387e13e6c7a6c942b660e951c3320e0d
reproduction/third_party/official/IsaacLab-v2.1.0/tools/template/templates/external/README.md	official	documentation	5529		ema	True	False	False	7156e5d6a5762979b8a278d276fdc5b43bb96b5d99ec95c469430199529d7c93
reproduction/third_party/official/whole_body_tracking/README.md	official	documentation	7266		diffusion,ema	True	False	False	d96689b761fdc290004cbfaaa2a429a457ed11eae402eec2ce9d85453dcd607d
reproduction/third_party/official/IsaacLab-v2.1.0/docs/source/_static/overview/sensors/frame_transformer.jpg	official	other	145208	transformer		True	False	False	2a18c09118bbd9845efc8ae4dd43b7d31919904211857fcc5ad7cd1b786821e1
reproduction/third_party/official/IsaacLab-v2.1.0/docs/source/_static/overview/sensors/frame_transformer_visualizer.jpg	official	other	42815	transformer		True	False	False	98759d133602696750f6e702c8b5ceb0b4a708a8110e9ac18de60de2c5ae34b4
