sample_id	source_motion	start_timestep	split	accepted	state_shape	latent_shape	token_shape	latent_source	accept_reject	finite
walk1_subject1_frames_1_180_state_fixture_window_0000	walk1_subject1_frames_1_180_state_fixture	0	train	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
walk1_subject1_frames_1_180_state_fixture_window_0001	walk1_subject1_frames_1_180_state_fixture	10	train	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
walk1_subject1_frames_1_180_state_fixture_window_0002	walk1_subject1_frames_1_180_state_fixture	20	train	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
walk1_subject1_frames_1_180_state_fixture_window_0003	walk1_subject1_frames_1_180_state_fixture	30	train	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
walk1_subject1_frames_1_180_state_fixture_window_0004	walk1_subject1_frames_1_180_state_fixture	40	train	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
walk1_subject1_frames_1_180_state_fixture_window_0005	walk1_subject1_frames_1_180_state_fixture	50	train	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
walk1_subject1_frames_1_180_state_fixture_window_0006	walk1_subject1_frames_1_180_state_fixture	60	train	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
walk1_subject1_frames_1_180_state_fixture_window_0007	walk1_subject1_frames_1_180_state_fixture	70	train	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
walk1_subject1_frames_1_180_state_fixture_window_0008	walk1_subject1_frames_1_180_state_fixture	80	train	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
walk1_subject1_frames_1_180_state_fixture_window_0009	walk1_subject1_frames_1_180_state_fixture	90	train	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
walk1_subject1_frames_1_180_state_fixture_window_0010	walk1_subject1_frames_1_180_state_fixture	100	train	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
walk1_subject1_frames_1_180_state_fixture_window_0011	walk1_subject1_frames_1_180_state_fixture	110	train	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
walk1_subject1_frames_1_180_state_fixture_window_0012	walk1_subject1_frames_1_180_state_fixture	120	train	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
walk1_subject1_frames_1_180_state_fixture_window_0013	walk1_subject1_frames_1_180_state_fixture	130	train	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
walk1_subject1_frames_1_180_state_fixture_window_0014	walk1_subject1_frames_1_180_state_fixture	140	train	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
walk1_subject1_frames_1_180_state_fixture_window_0015	walk1_subject1_frames_1_180_state_fixture	150	train	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
walk1_subject1_frames_1_180_state_fixture_window_0016	walk1_subject1_frames_1_180_state_fixture	160	train	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
walk1_subject1_frames_1_180_state_fixture_window_0017	walk1_subject1_frames_1_180_state_fixture	170	train	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
walk1_subject1_frames_1_180_state_fixture_window_0018	walk1_subject1_frames_1_180_state_fixture	180	train	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
walk1_subject1_frames_1_180_state_fixture_window_0019	walk1_subject1_frames_1_180_state_fixture	190	train	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
