index	joint_name	mirror_joint_name	sign	kind	covered
0	left_hip_pitch_joint	right_hip_pitch_joint	1.0	left_right_pair	True
1	left_hip_roll_joint	right_hip_roll_joint	-1.0	left_right_pair	True
2	left_hip_yaw_joint	right_hip_yaw_joint	-1.0	left_right_pair	True
3	left_knee_joint	right_knee_joint	1.0	left_right_pair	True
4	left_ankle_pitch_joint	right_ankle_pitch_joint	1.0	left_right_pair	True
5	left_ankle_roll_joint	right_ankle_roll_joint	-1.0	left_right_pair	True
6	right_hip_pitch_joint	left_hip_pitch_joint	1.0	left_right_pair	True
7	right_hip_roll_joint	left_hip_roll_joint	-1.0	left_right_pair	True
8	right_hip_yaw_joint	left_hip_yaw_joint	-1.0	left_right_pair	True
9	right_knee_joint	left_knee_joint	1.0	left_right_pair	True
10	right_ankle_pitch_joint	left_ankle_pitch_joint	1.0	left_right_pair	True
11	right_ankle_roll_joint	left_ankle_roll_joint	-1.0	left_right_pair	True
12	waist_yaw_joint	waist_yaw_joint	-1.0	center	True
13	waist_roll_joint	waist_roll_joint	-1.0	center	True
14	waist_pitch_joint	waist_pitch_joint	1.0	center	True
15	left_shoulder_pitch_joint	right_shoulder_pitch_joint	1.0	left_right_pair	True
16	left_shoulder_roll_joint	right_shoulder_roll_joint	-1.0	left_right_pair	True
17	left_shoulder_yaw_joint	right_shoulder_yaw_joint	-1.0	left_right_pair	True
18	left_elbow_joint	right_elbow_joint	1.0	left_right_pair	True
19	left_wrist_roll_joint	right_wrist_roll_joint	-1.0	left_right_pair	True
20	left_wrist_pitch_joint	right_wrist_pitch_joint	1.0	left_right_pair	True
21	left_wrist_yaw_joint	right_wrist_yaw_joint	-1.0	left_right_pair	True
22	right_shoulder_pitch_joint	left_shoulder_pitch_joint	1.0	left_right_pair	True
23	right_shoulder_roll_joint	left_shoulder_roll_joint	-1.0	left_right_pair	True
24	right_shoulder_yaw_joint	left_shoulder_yaw_joint	-1.0	left_right_pair	True
25	right_elbow_joint	left_elbow_joint	1.0	left_right_pair	True
26	right_wrist_roll_joint	left_wrist_roll_joint	-1.0	left_right_pair	True
27	right_wrist_pitch_joint	left_wrist_pitch_joint	1.0	left_right_pair	True
28	right_wrist_yaw_joint	left_wrist_yaw_joint	-1.0	left_right_pair	True
