key	value
checks.all_step_tensors_shape_21x2	True
checks.history_conditioning_clean_prefix	True
checks.keyframe_inpainting_has_future_clean_state_only	True
checks.noised_tau_shapes_match_clean	True
checks.training_has_independent_state_latent_steps	True
experiment_type	debug_only
not_a_replacement_for	"[""paper-exact inpainting mask policy"", ""reverse denoising implementation"", ""guided rollout evaluation"", ""Fig. 6 reproduction""]"
outputs.json	/mnt/infini-data/test/BeyondMimic/res/level_c/timestep_mask_probe/level_c_timestep_mask_probe.json
outputs.npz	/mnt/infini-data/test/BeyondMimic/res/level_c/timestep_mask_probe/level_c_timestep_mask_probe.npz
outputs.tsv	/mnt/infini-data/test/BeyondMimic/res/level_c/timestep_mask_probe/level_c_timestep_mask_probe.tsv
paper_evidence.clean_trajectory_loss	/mnt/infini-data/test/BeyondMimic/reproduction/paper/source/tex/method.tex:187-196
paper_evidence.future_keyframe_inpainting_figure	/mnt/infini-data/test/BeyondMimic/reproduction/paper/source/root.tex:237-243
paper_evidence.goal_independent_timestep	/mnt/infini-data/test/BeyondMimic/goal.md:1249-1287
paper_evidence.individual_denoising_steps	/mnt/infini-data/test/BeyondMimic/reproduction/paper/source/tex/method.tex:171-185
schedules.future_keyframe_inpainting.clean_latent_tokens	5
schedules.future_keyframe_inpainting.clean_state_tokens	8
schedules.future_keyframe_inpainting.description	history/current clean plus sparse future state keyframes clean; future latents remain generated
schedules.future_keyframe_inpainting.latent_step_minmax	[0, 19]
schedules.future_keyframe_inpainting.max_abs_delta_for_clean_tokens	0.03381052590626199
schedules.future_keyframe_inpainting.mean_abs_delta_from_clean	0.22230445335762694
schedules.future_keyframe_inpainting.observed_mask_true_count	13
schedules.future_keyframe_inpainting.shape	[21, 2]
schedules.future_keyframe_inpainting.state_latent_step_mismatch_tokens	3
schedules.future_keyframe_inpainting.state_step_minmax	[0, 19]
schedules.history_conditioning.clean_latent_tokens	5
schedules.history_conditioning.clean_state_tokens	5
schedules.history_conditioning.description	current and history state/latent tokens clamped clean; future remains noised
schedules.history_conditioning.latent_step_minmax	[0, 19]
schedules.history_conditioning.max_abs_delta_for_clean_tokens	0.03813545303706822
schedules.history_conditioning.mean_abs_delta_from_clean	0.26415600628271096
schedules.history_conditioning.observed_mask_true_count	10
schedules.history_conditioning.shape	[21, 2]
schedules.history_conditioning.state_latent_step_mismatch_tokens	0
schedules.history_conditioning.state_step_minmax	[0, 19]
schedules.training_uniform_random.clean_latent_tokens	1
schedules.training_uniform_random.clean_state_tokens	0
schedules.training_uniform_random.description	self-supervised training schedule with independent random state/latent timesteps
schedules.training_uniform_random.latent_step_minmax	[0, 16]
schedules.training_uniform_random.max_abs_delta_for_clean_tokens	None
schedules.training_uniform_random.mean_abs_delta_from_clean	0.1698068391158555
schedules.training_uniform_random.observed_mask_true_count	1
schedules.training_uniform_random.shape	[21, 2]
schedules.training_uniform_random.state_latent_step_mismatch_tokens	21
schedules.training_uniform_random.state_step_minmax	[1, 18]
scope	independent state/latent diffusion timestep and task-mask probe
settings.denoising_steps	20
settings.history	4
settings.horizon	16
settings.latent_dim	32
settings.seed	20260827
settings.sequence_length	21
settings.state_dim	181
settings.tau_dim	213
status	ok
