step	learning_rate	ema_decay	warmup_phase	cosine_phase	at_ema_cap
0	1e-08	0.0	True	False	False
1	2e-08	0.4053964424986395	True	False	False
10	1.1e-07	0.8344399739238298	True	False	False
100	1.01e-06	0.9686123378245277	True	False	False
1000	1.001e-05	0.9943808006210502	True	False	False
9999	0.0001	0.999	True	False	False
10000	0.0001	0.9990000749934381	False	True	False
20000	8.535533905932738e-05	0.9994054187391566	False	True	False
40000	1.4644660940672627e-05	0.9996464532383877	False	True	False
49999	1.5421257049119676e-13	0.9997009302437557	False	True	False
