window_id	current_frame	root_pos_max_abs	root_vel_max_abs	root_quat_max_angle	body_pos_max_abs	body_vel_max_abs
0	4	2.168404344971009e-19	6.505213034913027e-19	0.0	1.1102230246251565e-16	5.551115123125783e-17
1	14	1.0842021724855044e-19	4.336808689942018e-19	0.0	1.1102230246251565e-16	1.3877787807814457e-17
2	24	1.0842021724855044e-19	4.336808689942018e-19	0.0	1.1102230246251565e-16	1.3877787807814457e-17
3	34	2.168404344971009e-19	4.336808689942018e-19	0.0	1.1102230246251565e-16	1.3877787807814457e-17
4	44	2.168404344971009e-19	8.673617379884035e-19	0.0	1.1102230246251565e-16	3.469446951953614e-18
5	54	1.0842021724855044e-19	4.336808689942018e-19	0.0	1.1102230246251565e-16	3.469446951953614e-18
6	64	1.0842021724855044e-19	8.673617379884035e-19	0.0	1.1102230246251565e-16	3.469446951953614e-18
7	74	0.0	4.336808689942018e-19	0.0	1.1102230246251565e-16	3.469446951953614e-18
8	84	0.0	4.336808689942018e-19	0.0	1.1102230246251565e-16	1.734723475976807e-18
9	94	0.0	2.168404344971009e-19	0.0	1.1102230246251565e-16	1.734723475976807e-18
10	104	0.0	8.673617379884035e-19	0.0	1.1102230246251565e-16	2.7755575615628914e-17
11	114	4.336808689942018e-19	1.734723475976807e-18	0.0	1.1102230246251565e-16	1.1102230246251565e-16
12	124	1.0842021724855044e-19	6.938893903907228e-18	0.0	5.551115123125783e-17	1.1102230246251565e-16
13	134	1.3010426069826053e-18	6.938893903907228e-18	0.0	5.551115123125783e-17	1.1102230246251565e-16
14	144	1.734723475976807e-18	0.0	0.0	5.551115123125783e-17	1.1102230246251565e-16
15	154	3.469446951953614e-18	1.3877787807814457e-17	0.0	5.551115123125783e-17	5.551115123125783e-17
16	164	0.0	0.0	0.0	5.551115123125783e-17	5.551115123125783e-17
17	174	6.938893903907228e-18	6.938893903907228e-18	0.0	5.551115123125783e-17	1.1102230246251565e-16
18	184	6.938893903907228e-18	2.7755575615628914e-17	0.0	5.551115123125783e-17	2.220446049250313e-16
19	194	0.0	5.551115123125783e-17	0.0	5.551115123125783e-17	2.220446049250313e-16
20	204	2.7755575615628914e-17	1.1102230246251565e-16	0.0	5.551115123125783e-17	2.220446049250313e-16
21	214	5.551115123125783e-17	1.3877787807814457e-17	0.0	7.979727989493313e-17	2.220446049250313e-16
22	224	5.551115123125783e-17	6.938893903907228e-18	0.0	1.1102230246251565e-16	4.440892098500626e-16
23	234	1.1102230246251565e-16	3.469446951953614e-18	0.0	1.6653345369377348e-16	4.440892098500626e-16
24	244	0.0	6.938893903907228e-18	0.0	1.1102230246251565e-16	4.440892098500626e-16
25	254	0.0	1.0408340855860843e-17	0.0	1.1102230246251565e-16	2.220446049250313e-16
26	264	0.0	2.0816681711721685e-17	0.0	5.551115123125783e-17	4.440892098500626e-16
27	274	3.469446951953614e-18	1.3877787807814457e-17	0.0	5.551115123125783e-17	4.440892098500626e-16
