name	shape	dtype	numel	sha256
pos_embed	[1, 21, 512]	float32	10752	a877d25e5773db3b8de1fef0052e87dd286e7527d94cf12acff265bd3bbc4b7e
input_proj.weight	[512, 131]	float32	67072	be39c660890f733c61dc0c3751ed3e3ad6d3b7fabe2a9728830fde47ec0c4ba7
input_proj.bias	[512]	float32	512	d44da53bc86da842202ef862e6ae076e6f484b6e93719866557d6ea70af3ceab
state_step_embed.weight	[20, 512]	float32	10240	6a746481c56cd8099faed21edcf5a911fc6e235f0e71ced33468086a43d36a56
latent_step_embed.weight	[20, 512]	float32	10240	789185ac43d6f2791e3669ec60176a6d8ac469582481d3344e45b2f65f819ecd
encoder.layers.0.self_attn.in_proj_weight	[1536, 512]	float32	786432	ba6decab2f1b70ddf6ba13fd1ba2ec8b050228b7708b7b1facad14ba0063c6d1
encoder.layers.0.self_attn.in_proj_bias	[1536]	float32	1536	fd9243e1ba57263ed469c3bdbd7ade6ec5254e7ed924a9f5737fa44749933cc0
encoder.layers.0.self_attn.out_proj.weight	[512, 512]	float32	262144	8ef590a1065f2e40fdb40918b339ca2ae223853ad7266e0dc4a2d00e7c6b18b7
encoder.layers.0.self_attn.out_proj.bias	[512]	float32	512	e5a00aa9991ac8a5ee3109844d84a55583bd20572ad3ffcd42792f3c36b183ad
encoder.layers.0.linear1.weight	[2048, 512]	float32	1048576	d1ed7c1b7182732d4ba80bf5b8c065829a0dc621b97e507fd48f21d3bc2b599d
encoder.layers.0.linear1.bias	[2048]	float32	2048	88468651677acda5ab0cfd710d68104e56386e41ea5ebcd0a3012e5de468421c
encoder.layers.0.linear2.weight	[512, 2048]	float32	1048576	8bc7cdf878253e0865db7cdeb11ca2c72b04e7b20c7af2251c0036410c0dc9fd
encoder.layers.0.linear2.bias	[512]	float32	512	e7a1ee8de43a2ef600ff665966731107e5d99629a5e86dbd64c2a15882b323ae
encoder.layers.0.norm1.weight	[512]	float32	512	fef951e6c76ad6a01b208af650ca6d95769bec840e009981c5ae1316a42c90b1
encoder.layers.0.norm1.bias	[512]	float32	512	e5a00aa9991ac8a5ee3109844d84a55583bd20572ad3ffcd42792f3c36b183ad
encoder.layers.0.norm2.weight	[512]	float32	512	fef951e6c76ad6a01b208af650ca6d95769bec840e009981c5ae1316a42c90b1
