sample_id	source_motion	start_timestep	split	accepted	state_shape	latent_shape	token_shape	latent_source	latent_abs_mean	latent_std	finite
walk1_subject1_frames_1_180_state_fixture_window_0000	walk1_subject1_frames_1_180_state_fixture	0	train	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.12447293801718236	0.16490448984941622	True
walk1_subject1_frames_1_180_state_fixture_window_0001	walk1_subject1_frames_1_180_state_fixture	10	train	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.12688306412088596	0.1676125041156066	True
walk1_subject1_frames_1_180_state_fixture_window_0002	walk1_subject1_frames_1_180_state_fixture	20	train	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.1271083095537809	0.16776396104421373	True
walk1_subject1_frames_1_180_state_fixture_window_0003	walk1_subject1_frames_1_180_state_fixture	30	train	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.12808557490158515	0.16895167848889103	True
walk1_subject1_frames_1_180_state_fixture_window_0004	walk1_subject1_frames_1_180_state_fixture	40	train	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.12842189674986348	0.16937413693439243	True
walk1_subject1_frames_1_180_state_fixture_window_0005	walk1_subject1_frames_1_180_state_fixture	50	train	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.12708274230854363	0.1678061061336128	True
walk1_subject1_frames_1_180_state_fixture_window_0006	walk1_subject1_frames_1_180_state_fixture	60	train	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.126834543039357	0.1675388305988841	True
walk1_subject1_frames_1_180_state_fixture_window_0007	walk1_subject1_frames_1_180_state_fixture	70	train	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.1274901861837688	0.16832174179863632	True
walk1_subject1_frames_1_180_state_fixture_window_0008	walk1_subject1_frames_1_180_state_fixture	80	train	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.1276490795675532	0.16854159769116273	True
walk1_subject1_frames_1_180_state_fixture_window_0009	walk1_subject1_frames_1_180_state_fixture	90	train	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.12797108714723782	0.16890363268241945	True
walk1_subject1_frames_1_180_state_fixture_window_0010	walk1_subject1_frames_1_180_state_fixture	100	train	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.12835446589105276	0.16953750269947676	True
