sample_id	source_motion	sequence_length	state_dim	latent_dim	action_dim	current_index	current_action_mse	full_window_action_mse	current_action_max_abs_error	current_action_norm	next_latent_action_delta	mean_action_delta	latent_norm_mean	decoded_action_finite
jumps1_subject1_frames_1_180_state_fixture_window_0000	jumps1_subject1_frames_1_180	21	99	32	29	4	0.0002564674241175857	0.00020693464751561305	0.047774409875273705	1.5210972404872654	0.08607992015559704	0.03608604597715151	0.973457221929988	True
jumps1_subject1_frames_1_180_state_fixture_window_0001	jumps1_subject1_frames_1_180	21	99	32	29	4	0.0001037036347621716	9.013474592657901e-05	0.032358333468437195	1.4465011312785845	0.004698297282431109	0.003979309836648752	0.9583892977561038	True
jumps1_subject1_frames_1_180_state_fixture_window_0002	jumps1_subject1_frames_1_180	21	99	32	29	4	7.796609280315233e-05	7.234223285940849e-05	0.028816960752010345	1.4422077673504663	0.0033755529179077723	0.0030440984649545465	0.953817854034436	True
jumps1_subject1_frames_1_180_state_fixture_window_0003	jumps1_subject1_frames_1_180	21	99	32	29	4	6.36090213487426e-05	6.417445936740193e-05	0.02651245892047882	1.4415627144026026	0.004122950039265073	0.0036044952955353753	0.9513027322068126	True
jumps1_subject1_frames_1_180_state_fixture_window_0004	jumps1_subject1_frames_1_180	21	99	32	29	4	6.244982079440165e-05	6.309830811444044e-05	0.02559446543455124	1.4377840657482381	0.004176456302361973	0.0031833359867449876	0.9484347085973196	True
jumps1_subject1_frames_1_180_state_fixture_window_0005	jumps1_subject1_frames_1_180	21	99	32	29	4	6.164893227426293e-05	6.563098765183483e-05	0.024140596389770508	1.4385622215297706	0.003051284775258609	0.00522981570668885	0.9450403296643579	True
jumps1_subject1_frames_1_180_state_fixture_window_0006	jumps1_subject1_frames_1_180	21	99	32	29	4	6.963146327882773e-05	7.134194823573621e-05	0.023595504462718964	1.4398200906561522	0.011330287754271157	0.006046251705469145	0.943161734975793	True
jumps1_subject1_frames_1_180_state_fixture_window_0007	jumps1_subject1_frames_1_180	21	99	32	29	4	7.475940100884015e-05	6.77719982750968e-05	0.026307784020900726	1.4405690215258127	0.005937193678333666	0.005347973869530807	0.9467552562124026	True
jumps1_subject1_frames_1_180_state_fixture_window_0008	jumps1_subject1_frames_1_180	21	99	32	29	4	5.985792721573555e-05	9.574229458225951e-05	0.02323848009109497	1.4390909052327703	0.004166345139386693	0.05176492506029166	0.9581678739462441	True
jumps1_subject1_frames_1_180_state_fixture_window_0009	jumps1_subject1_frames_1_180	21	99	32	29	4	8.833121657843805e-05	0.00015945768953246186	0.03290494531393051	1.4819000521784476	0.1231772833135493	0.09922049296400651	1.0430441035441065	True
jumps1_subject1_frames_1_180_state_fixture_window_0010	jumps1_subject1_frames_1_180	21	99	32	29	4	0.000220211238992176	0.00029779071115483297	0.037957847118377686	1.8305421335502767	0.07796053237474343	0.11512474184988226	1.320216759069029	True
jumps1_subject1_frames_1_180_state_fixture_window_0011	jumps1_subject1_frames_1_180	21	99	32	29	4	0.00044744870693601757	0.0003392094211988616	0.05204014480113983	1.6127987387112719	0.11334341995602869	0.12127570707219834	1.383339354483157	True
jumps1_subject1_frames_1_180_state_fixture_window_0012	jumps1_subject1_frames_1_180	21	99	32	29	4	0.000308107571193849	0.00023730236876806925	0.03764331340789795	1.4249040902767525	0.09855882340871995	0.11564538327333262	1.1793471010660237	True
