member	in_tar	extracted_exists	extracted_sha256	extracted_size
00README.json	True	True	b1c9d157019028153443d3c8ba1cf28d58b0c7b323de3fe34a475cae1a85d939	385
bibliography.bib	True	True	930c505f76c1430290029bdbafc0325bb9d6478bf6ec2ee2338b7bb0c7f8b9fe	62604
figures/Fig1.pdf	True	True	0cf370dc90aab4b9af6258f71f29ea3988147d7a7aed0986a12978f8143b3fe7	1345159
figures/Fig2.pdf	True	True	7508e0fd4a575f63161495309af300657ba666096b5198fa464df307e56a7bfb	626544
figures/Fig3.pdf	True	True	91754c2c54e80138475c7897db4cd38762251217dbbe7f659e1e181f366b4733	2685652
figures/Fig4.pdf	True	True	5d07458fbd8d51cfbcc51e9b9abdfd07251de689e6f75c2d3c6eb2e112d64daa	1235862
figures/Fig5.pdf	True	True	c8bd34c8cc4ac8aebeb3278f2ce59a594ef3de3c1711e4c14730e8415a373755	1402428
figures/Fig6.pdf	True	True	cd7c140e68bbebb64d448c6f035cb732be3b5726828f427c9a6d9323961e724a	1215695
figures/Fig7.pdf	True	True	d10eb4f3d4fcf59b9d3ce1fb04d3d08625ebe84360f3e1907ce46c0dd124dcbd	1775653
figures/Fig8.pdf	True	True	2a8542ff4ad5040681092e8f2691b2cb4b722d5b5296dea12de8d6afd0027795	1609422
figures/sup_fig1_tracking_pipeline.pdf	True	True	f6e4297bf6dc12f2ca38e97779904d1c56be4b38b78466aa3336437f57a2a828	122759
figures/sup_fig2_w.png	True	True	133c22cac5240b4bcf369eae3be05e7324f5bb26ecf1b8dc53d5fffc6baca6c2	68004
root.tex	True	True	070397128d8bdb65d69ce90a2343f528009b807f668a667cc0c0058d4933801e	53797
scicite.sty	True	True	8030d7867d4094da12e59f3f0a6bc1d646d9c8454518872086d34bf25bbf2a99	22015
sciencemag.bst	True	True	2ce0f9f1dad69ab331fbf1a8d0210d757f85043025f777ba01e53533c3b659c3	28804
tex/discussion.tex	True	True	e356fcff47e3e46e02bdf25f75a12a47a9591cc9f9852a06faf610fd0a815c47	5228
tex/intro.tex	True	True	90fa2b089bac5690945c931b17e7e2274caa8ed908ea2650f4458294c8e43fab	10829
tex/method.tex	True	True	fee2ad2b397b805a219946b873d743b50bc40567044170f29aacf81c00161727	30915
tex/results.tex	True	True	7800ae2b35ec6398177bc9e70dc10de27331f37011398323b957b7b4fc48e51d	12341
