line	section	name	sim_cell	real_cell	real_status	local_csv_exists	csv_rows	csv_columns	csv_duration_s_at_30fps	all_real_segments_within_csv_duration
871	short_sequence	Cristiano Ronaldo	Full	Full	full	False				True
872	short_sequence	Side Kick	Full	Full	full	False				True
873	short_sequence	Single Leg Balance	Full	Full	full	False				True
874	short_sequence	Swallow Balance	Full	Full	full	False				True
875	short_sequence	Aerial Cartwheel	Full	Full	full	False				True
876	short_sequence	Double Kicks 1	Full	Full	full	False				True
877	short_sequence	Double Kicks 2	Full	Full	full	False				True
882	lafan1	walk1_subject1	Full	[0.0, 33.0], [81.2, 86.7]	segments	True	7840	36	261.3	True
883	lafan1	walk1_subject2	Full	-	none	True	7840	36	261.3	True
884	lafan1	walk1_subject5	Full	[146.7, 159.0], [206.7, 263.7]	segments	True	7840	36	261.3	False
885	lafan1	walk2_subject1	Full	-	none	True	7146	36	238.16666666666666	True
886	lafan1	walk2_subject3	Full	[42.7, 75.7], [217.6, 230.6]	segments	True	7146	36	238.16666666666666	True
887	lafan1	walk2_subject4	Full	[154.4, 164.4], [218.6, 238.6]	segments	True	7146	36	238.16666666666666	False
888	lafan1	dance1_subject1	Full	[0.0, 118.0]	segments	True	3945	36	131.46666666666667	True
889	lafan1	dance1_subject2	Full	Full	full	True	3945	36	131.46666666666667	True
890	lafan1	dance1_subject3	Full	-	none	True	3945	36	131.46666666666667	True
891	lafan1	dance2_subject1	Full	-	none	True	6771	36	225.66666666666666	True
892	lafan1	dance2_subject2	Full	-	none	True	6771	36	225.66666666666666	True
893	lafan1	dance2_subject3	Full	[43.1, 163.1], [164.3, 184.3]	segments	True	6771	36	225.66666666666666	True
894	lafan1	dance2_subject4	Full	[156.3, end]	segments	True	6771	36	225.66666666666666	True
895	lafan1	dance2_subject4	Full	-	none	True	6771	36	225.66666666666666	True
896	lafan1	fallAndGetUp1_subject4	Full	-	none	True	5047	36	168.2	True
897	lafan1	fallAndGetUp2_subject2	Full	[0.0, 21.0], [74.0, 91.2], [94.0, 109.0]	segments	True	4918	36	163.9	True
898	lafan1	fallAndGetUp2_subject3	Full	[26.5, 46.5]	segments	True	4918	36	163.9	True
899	lafan1	run1_subject2	Full	[0.0, 50.0]	segments	True	7135	36	237.8	True
900	lafan1	run1_subject4	Full	-	none	False				True
901	lafan1	run1_subject5	Full	-	none	True	7135	36	237.8	True
902	lafan1	run2_subject1	Full	[0.0, 11.0], [167.4, 204.4]	segments	True	7345	36	244.8	True
903	lafan1	jumps1_subject1	Full	[24.3, 42.3], [71.6, 81.6], [205.5, 226.5]	segments	True	7334	36	244.43333333333334	True
904	lafan1	jumps1_subject2	Full	-	none	True	7334	36	244.43333333333334	True
905	lafan1	jumps1_subject5	Full	-	none	True	7334	36	244.43333333333334	True
906	lafan1	fightAndSports1_subject1	Full	[16.8, 25.4], [201.6, end]	segments	True	7355	36	245.13333333333333	True
907	lafan1	fightAndSports1_subject4	Full	-	none	True	7355	36	245.13333333333333	True
908	lafan1	fight1_subject2	Full	-	none	True	7347	36	244.86666666666667	True
909	lafan1	fight1_subject3	Full	-	none	True	7347	36	244.86666666666667	True
910	lafan1	fight1_subject5	Full	-	none	True	7347	36	244.86666666666667	True
