experiment,directory,scope,metric,mean,min,max
origin,origin_rosbag2_2025_10_22-01_35_46,global,pos_err,0.23501607996794827,0.1654526865951076,0.305123961391055
origin,origin_rosbag2_2025_10_22-01_35_46,global,ori_err,0.22605174319050073,0.15952862056970496,0.2841214457099341
origin,origin_rosbag2_2025_10_22-01_35_46,local,pos_err,0.0433532576673678,0.041615631106963084,0.04459320755780103
origin,origin_rosbag2_2025_10_22-01_35_46,local,ori_err,0.21081941875933233,0.20358978510172918,0.21506104533262352
origin,origin_rosbag2_2025_10_22-01_35_46,local,lin_vel_err,0.42950932257871166,0.4166715744073563,0.43910975494998306
origin,origin_rosbag2_2025_10_22-01_35_46,local,ang_vel_err,2.2021686769121027,2.0568967486725307,2.273323736094242
2ms,2ms_rosbag2_2025_10_22-03_50_34,global,pos_err,0.27333704616077953,0.23883047937245136,0.32269228779494635
2ms,2ms_rosbag2_2025_10_22-03_50_34,global,ori_err,0.1990058104014172,0.1647107286284753,0.24028984089658695
2ms,2ms_rosbag2_2025_10_22-03_50_34,local,pos_err,0.04628064742524426,0.04378252011882543,0.04976278023222885
2ms,2ms_rosbag2_2025_10_22-03_50_34,local,ori_err,0.2268221059516866,0.2166734696227123,0.24363787367945305
2ms,2ms_rosbag2_2025_10_22-03_50_34,local,lin_vel_err,0.46031049253588013,0.44439468051031594,0.4799755642852914
2ms,2ms_rosbag2_2025_10_22-03_50_34,local,ang_vel_err,2.4318183700167424,2.324741959895546,2.582131499203223
5ms,5ms_rosbag2_2025_10_22-03_41_01,global,pos_err,0.5261451318678918,0.21715448644030783,1.115259121843652
5ms,5ms_rosbag2_2025_10_22-03_41_01,global,ori_err,0.4505362322476447,0.1299103313735799,0.9466544630145399
5ms,5ms_rosbag2_2025_10_22-03_41_01,local,pos_err,0.05764976107470269,0.04833530683874152,0.07387478465948709
5ms,5ms_rosbag2_2025_10_22-03_41_01,local,ori_err,0.28332235275731793,0.23363946179149903,0.3679253717225955
5ms,5ms_rosbag2_2025_10_22-03_41_01,local,lin_vel_err,0.5704386640887161,0.47744679753662905,0.7538377441961994
5ms,5ms_rosbag2_2025_10_22-03_41_01,local,ang_vel_err,2.990946730704664,2.4711095420049234,3.9601648493571906
10ms,10ms_rosbag2_2025_10_22-03_36_03,global,pos_err,0.632513748341314,0.33714160599220383,1.0326154123004272
10ms,10ms_rosbag2_2025_10_22-03_36_03,global,ori_err,0.6177128635138096,0.316484402171919,1.1501280918146553
10ms,10ms_rosbag2_2025_10_22-03_36_03,local,pos_err,0.07170754932614572,0.06341650892472933,0.07942935000292979
10ms,10ms_rosbag2_2025_10_22-03_36_03,local,ori_err,0.35616388859013465,0.30039843005241956,0.40670128779135295
10ms,10ms_rosbag2_2025_10_22-03_36_03,local,lin_vel_err,0.7494785487604795,0.6516487935210035,0.8393096170886598
10ms,10ms_rosbag2_2025_10_22-03_36_03,local,ang_vel_err,3.926473850656702,3.308003645597806,4.445486115290022
