experiment,directory,scope,metric,mean,min,max
wn5,wn5_rosbag2_2025_10_22-00_54_05,global,pos_err,0.6422009619044395,0.42144824048457863,0.9008349058161284
wn5,wn5_rosbag2_2025_10_22-00_54_05,global,ori_err,0.24310894386282078,0.2212804950969019,0.2774048801306405
wn5,wn5_rosbag2_2025_10_22-00_54_05,local,pos_err,0.050520473875089865,0.049249751393622816,0.05193723870872052
wn5,wn5_rosbag2_2025_10_22-00_54_05,local,ori_err,0.24881719600536364,0.2449096675792483,0.2552506777944367
wn5,wn5_rosbag2_2025_10_22-00_54_05,local,lin_vel_err,0.5436935114432974,0.5297740535634528,0.559320230552907
wn5,wn5_rosbag2_2025_10_22-00_54_05,local,ang_vel_err,2.8337344097927115,2.7609599415068358,2.8775427079858646
origin,origin_rosbag2_2025_10_22-01_35_46,global,pos_err,0.23501607996794827,0.1654526865951076,0.305123961391055
origin,origin_rosbag2_2025_10_22-01_35_46,global,ori_err,0.22605174319050073,0.15952862056970496,0.2841214457099341
origin,origin_rosbag2_2025_10_22-01_35_46,local,pos_err,0.0433532576673678,0.041615631106963084,0.04459320755780103
origin,origin_rosbag2_2025_10_22-01_35_46,local,ori_err,0.21081941875933233,0.20358978510172918,0.21506104533262352
origin,origin_rosbag2_2025_10_22-01_35_46,local,lin_vel_err,0.42950932257871166,0.4166715744073563,0.43910975494998306
origin,origin_rosbag2_2025_10_22-01_35_46,local,ang_vel_err,2.2021686769121027,2.0568967486725307,2.273323736094242
asapgain,asapgain_rosbag2_2025_10_22-01_03_25,global,pos_err,0.270622032433642,0.1645634569465041,0.3371743252818049
asapgain,asapgain_rosbag2_2025_10_22-01_03_25,global,ori_err,0.5021952260900228,0.34642731531773374,0.604789297119073
asapgain,asapgain_rosbag2_2025_10_22-01_03_25,local,pos_err,0.044809175761970445,0.04398139728658489,0.04595983548208389
asapgain,asapgain_rosbag2_2025_10_22-01_03_25,local,ori_err,0.23006799962438054,0.22604585482539627,0.2373855741545971
asapgain,asapgain_rosbag2_2025_10_22-01_03_25,local,lin_vel_err,0.5624334497027066,0.5568407364188669,0.5663616892992666
asapgain,asapgain_rosbag2_2025_10_22-01_03_25,local,ang_vel_err,2.854341098413524,2.8218926857233764,2.918470345545151
wn25,wn25_rosbag2_2025_10_22-00_57_52,global,pos_err,0.5087405081127211,0.41321221601066727,0.5633594298301832
wn25,wn25_rosbag2_2025_10_22-00_57_52,global,ori_err,0.32967013732469325,0.28376892980036206,0.3550568077561104
wn25,wn25_rosbag2_2025_10_22-00_57_52,local,pos_err,0.03815034497385915,0.03596273041914366,0.04016335613693585
wn25,wn25_rosbag2_2025_10_22-00_57_52,local,ori_err,0.18466633935097088,0.17544341395732474,0.19393966591324138
wn25,wn25_rosbag2_2025_10_22-00_57_52,local,lin_vel_err,0.4333409049510197,0.4131424929673777,0.4466591761488589
wn25,wn25_rosbag2_2025_10_22-00_57_52,local,ang_vel_err,2.1993987096198953,2.066381124398207,2.3328941558669514
