condition	motion	iteration	checkpoint	time_bins	mean_failure_rate	max_failure_rate
w	motion_1	0.0	model_0.pt	132	0.49846771359443665	0.5
w	motion_1	1000.0	model_1000.pt	132	0.11907708644866943	0.5
w	motion_1	2000.0	model_2000.pt	132	0.07084666192531586	0.5
w	motion_1	3000.0	model_3000.pt	132	0.07054773718118668	0.5
w	motion_1	4000.0	model_4000.pt	132	0.06956600397825241	0.5
w	motion_1	5000.0	model_5000.pt	132	0.06984343379735947	0.5
w	motion_1	6000.0	model_6000.pt	132	0.06955175846815109	0.5
w	motion_1	7000.0	model_7000.pt	132	0.07074800878763199	0.5
w	motion_1	8000.0	model_8000.pt	132	0.0690576508641243	0.5
w	motion_1	9000.0	model_9000.pt	132	0.07007666677236557	0.5
w	motion_1	10000.0	model_10000.pt	132	0.06943066418170929	0.5
w	motion_1	11000.0	model_11000.pt	132	0.06959530711174011	0.5
w	motion_1	12000.0	model_12000.pt	132	0.06867974996566772	0.5
w	motion_1	13000.0	model_13000.pt	132	0.06834914535284042	0.5
w	motion_1	14000.0	model_14000.pt	132	0.06924135982990265	0.5
w	motion_1	15000.0	model_15000.pt	132	0.07008260488510132	0.5
w	motion_1	16000.0	model_16000.pt	132	0.07054296880960464	0.5
w	motion_1	17000.0	model_17000.pt	132	0.008904795162379742	0.5
w	motion_1	18000.0	model_18000.pt	132	0.00376984104514122	0.4642857015132904
w	motion_1	19000.0	model_19000.pt	132	0.0042087542824447155	0.5
w	motion_1	20000.0	model_20000.pt	132	0.0037878789007663727	0.5
w	motion_1	21000.0	model_21000.pt	132	0.0042087542824447155	0.4615384638309479
w	motion_1	22000.0	model_22000.pt	132	0.0	0.0
w	motion_1	23000.0	model_23000.pt	132	0.0	0.0
w	motion_2	0.0	model_0.pt	246	1.0	1.0
w	motion_2	1000.0	model_1000.pt	246	0.16739578545093536	1.0
w	motion_2	2000.0	model_2000.pt	246	0.164142444729805	1.0
w	motion_2	3000.0	model_3000.pt	246	0.06622913479804993	1.0
w	motion_2	4000.0	model_4000.pt	246	0.07317298650741577	1.0
w	motion_2	5000.0	model_5000.pt	246	0.009346514008939266	1.0
w	motion_2	6000.0	model_6000.pt	246	0.013260447420179844	1.0
w	motion_2	7000.0	model_7000.pt	246	0.01618434675037861	1.0
w	motion_2	8000.0	model_8000.pt	246	0.004065040498971939	1.0
w	motion_2	9000.0	model_9000.pt	246	0.004065040498971939	1.0
w	motion_2	10000.0	model_10000.pt	246	0.00948509480804205	1.0
w	motion_2	11000.0	model_11000.pt	246	0.004065040498971939	1.0
w	motion_2	12000.0	model_12000.pt	246	0.004897959530353546	1.0
w	motion_2	13000.0	model_13000.pt	246	0.004065040498971939	1.0
w	motion_2	14000.0	model_14000.pt	246	0.0067750681191682816	1.0
w	motion_2	15000.0	model_15000.pt	246	0.008130080997943878	1.0
w	motion_2	16000.0	model_16000.pt	246	0.004065040498971939	1.0
w	motion_2	17000.0	model_17000.pt	246	0.004081632476300001	1.0
w	motion_2	18000.0	model_18000.pt	246	0.011858128942549229	1.0
w	motion_2	19000.0	model_19000.pt	246	0.004081632476300001	1.0
w	motion_2	20000.0	model_20000.pt	246	0.004065040498971939	1.0
w	motion_2	21000.0	model_21000.pt	246	0.004878048785030842	1.0
w	motion_2	22000.0	model_22000.pt	246	0.004065040498971939	1.0
w	motion_2	23000.0	model_23000.pt	246	0.0049683828838169575	1.0
w	motion_2	24000.0	model_24000.pt	246	0.015558832325041294	1.0
w	motion_2	25000.0	model_25000.pt	246	0.008401802740991116	1.0
w	motion_2	26000.0	model_26000.pt	246	0.004591836594045162	1.0
w	motion_2	27000.0	model_27000.pt	246	0.004081632476300001	1.0
w	motion_2	28000.0	model_28000.pt	246	0.009146341122686863	1.0
w	motion_3	0.0	model_0.pt	7	1.0	1.0
w	motion_3	1000.0	model_1000.pt	7	0.7142304182052612	1.0
w	motion_3	2000.0	model_2000.pt	7	0.6945062875747681	1.0
w	motion_3	3000.0	model_3000.pt	7	0.5692931413650513	0.9974039196968079
w	motion_3	4000.0	model_4000.pt	7	0.5675052404403687	0.9962805509567261
