condition	motion	iteration	checkpoint	time_bins	mean_failure_rate	max_failure_rate
wo	motion_1	0.0	model_0.pt	132	0.49843737483024597	0.5
wo	motion_1	1000.0	model_1000.pt	132	0.1829526275396347	0.5
wo	motion_1	2000.0	model_2000.pt	132	0.10668744146823883	0.5
wo	motion_1	3000.0	model_3000.pt	132	0.09854497015476227	0.5
wo	motion_1	4000.0	model_4000.pt	132	0.07050471007823944	0.5
wo	motion_1	5000.0	model_5000.pt	132	0.07024890929460526	0.5
wo	motion_1	6000.0	model_6000.pt	132	0.06996924430131912	0.5
wo	motion_1	7000.0	model_7000.pt	132	0.07018271088600159	0.5
wo	motion_1	8000.0	model_8000.pt	132	0.07053264230489731	0.5
wo	motion_1	9000.0	model_9000.pt	132	0.0705229863524437	0.5
wo	motion_1	10000.0	model_10000.pt	132	0.07008007913827896	0.5
wo	motion_1	11000.0	model_11000.pt	132	0.07028189301490784	0.5
wo	motion_1	12000.0	model_12000.pt	132	0.06972990930080414	0.5
wo	motion_1	13000.0	model_13000.pt	132	0.06825967133045197	0.5
wo	motion_1	14000.0	model_14000.pt	132	0.07020533829927444	0.5
wo	motion_1	15000.0	model_15000.pt	132	0.07005435973405838	0.5
wo	motion_1	16000.0	model_16000.pt	132	0.07082303613424301	0.5
wo	motion_1	17000.0	model_17000.pt	132	0.06943380832672119	0.5
wo	motion_1	18000.0	model_18000.pt	132	0.07019882649183273	0.5
wo	motion_1	19000.0	model_19000.pt	132	0.0704154521226883	0.5
wo	motion_1	20000.0	model_20000.pt	132	0.06990432739257812	0.5
wo	motion_1	21000.0	model_21000.pt	132	0.06891532242298126	0.5
wo	motion_1	22000.0	model_22000.pt	132	0.06967657804489136	0.5
wo	motion_1	23000.0	model_23000.pt	132	0.07086499780416489	0.5
wo	motion_1	24000.0	model_24000.pt	132	0.07022391259670258	0.5
wo	motion_1	25000.0	model_25000.pt	132	0.07013235986232758	0.5
wo	motion_1	26000.0	model_26000.pt	132	0.06932417303323746	0.5
wo	motion_1	27000.0	model_27000.pt	132	0.07011787593364716	0.5
wo	motion_1	28000.0	model_28000.pt	132	0.06976436823606491	0.5
wo	motion_1	29000.0	model_29000.pt	132	0.06950303167104721	0.5
wo	motion_1	29999.0	model_29999.pt	132	0.07030929625034332	0.5
wo	motion_2	0.0	model_0.pt	246	1.0	1.0
wo	motion_2	1000.0	model_1000.pt	246	0.3007003366947174	1.0
wo	motion_2	2000.0	model_2000.pt	246	0.20490267872810364	1.0
wo	motion_2	3000.0	model_3000.pt	246	0.16846215724945068	1.0
wo	motion_2	4000.0	model_4000.pt	246	0.17693784832954407	1.0
wo	motion_2	5000.0	model_5000.pt	246	0.15684281289577484	1.0
wo	motion_2	6000.0	model_6000.pt	246	0.1628081202507019	1.0
wo	motion_2	7000.0	model_7000.pt	246	0.1452639251947403	1.0
wo	motion_2	8000.0	model_8000.pt	246	0.16055552661418915	1.0
wo	motion_2	9000.0	model_9000.pt	246	0.15533743798732758	1.0
wo	motion_2	10000.0	model_10000.pt	246	0.08426336944103241	1.0
wo	motion_2	11000.0	model_11000.pt	246	0.07451581209897995	1.0
wo	motion_2	12000.0	model_12000.pt	246	0.08406049013137817	1.0
wo	motion_2	13000.0	model_13000.pt	246	0.07288630306720734	1.0
wo	motion_2	14000.0	model_14000.pt	246	0.07398374378681183	1.0
wo	motion_2	15000.0	model_15000.pt	246	0.07439024746417999	1.0
wo	motion_2	16000.0	model_16000.pt	246	0.07354028522968292	1.0
wo	motion_2	17000.0	model_17000.pt	246	0.0731707289814949	1.0
wo	motion_2	18000.0	model_18000.pt	246	0.0731707289814949	1.0
wo	motion_2	19000.0	model_19000.pt	246	0.0734834298491478	1.0
wo	motion_2	20000.0	model_20000.pt	246	0.0726625993847847	1.0
wo	motion_2	21000.0	model_21000.pt	246	0.09046650677919388	1.0
wo	motion_2	22000.0	model_22000.pt	246	0.06910569220781326	1.0
wo	motion_2	23000.0	model_23000.pt	246	0.06842818111181259	1.0
wo	motion_2	24000.0	model_24000.pt	246	0.0731707289814949	1.0
wo	motion_2	25000.0	model_25000.pt	246	0.07059621065855026	1.0
wo	motion_2	26000.0	model_26000.pt	246	0.06984126567840576	1.0
wo	motion_2	27000.0	model_27000.pt	246	0.07170280069112778	1.0
wo	motion_2	28000.0	model_28000.pt	246	0.0679539293050766	1.0
wo	motion_2	29000.0	model_29000.pt	246	0.07280734181404114	1.0
wo	motion_2	29999.0	model_29999.pt	246	0.07561459392309189	1.0
wo	motion_3	0.0	model_0.pt	7	1.0	1.0
wo	motion_3	1000.0	model_1000.pt	7	0.7140874862670898	1.0
wo	motion_3	2000.0	model_2000.pt	7	0.7140193581581116	1.0
wo	motion_3	3000.0	model_3000.pt	7	0.7136364579200745	1.0
wo	motion_3	4000.0	model_4000.pt	7	0.7137296795845032	1.0
wo	motion_3	5000.0	model_5000.pt	7	0.7134395837783813	1.0
wo	motion_3	6000.0	model_6000.pt	7	0.7137226462364197	1.0
wo	motion_3	7000.0	model_7000.pt	7	0.7134438753128052	1.0
wo	motion_3	8000.0	model_8000.pt	7	0.5624330639839172	0.9960474371910095
wo	motion_3	9000.0	model_9000.pt	7	0.5630587935447693	0.9985007643699646
wo	motion_3	10000.0	model_10000.pt	7	0.5832776427268982	0.9969992637634277
wo	motion_3	11000.0	model_11000.pt	7	0.5848251581192017	0.9969765543937683
wo	motion_3	12000.0	model_12000.pt	7	0.5720512270927429	0.9954785108566284
wo	motion_3	13000.0	model_13000.pt	7	0.5799036026000977	0.9977494478225708
wo	motion_3	14000.0	model_14000.pt	7	0.6732338070869446	0.9972164034843445
wo	motion_3	15000.0	model_15000.pt	7	0.5607760548591614	0.9930981397628784
wo	motion_3	16000.0	model_16000.pt	7	0.588005006313324	0.9970104694366455
wo	motion_3	17000.0	model_17000.pt	7	0.5633926391601562	0.9961360096931458
wo	motion_3	18000.0	model_18000.pt	7	0.5636352896690369	0.9984301328659058
wo	motion_3	19000.0	model_19000.pt	7	0.5625577569007874	0.9940164685249329
wo	motion_3	20000.0	model_20000.pt	7	0.5622097849845886	0.9915966391563416
wo	motion_3	21000.0	model_21000.pt	7	0.5630239844322205	0.9944881796836853
wo	motion_3	22000.0	model_22000.pt	7	0.5631570816040039	0.9947090148925781
wo	motion_3	23000.0	model_23000.pt	7	0.5628795623779297	0.9955257177352905
wo	motion_3	24000.0	model_24000.pt	7	0.5616407990455627	0.9967479705810547
wo	motion_3	25000.0	model_25000.pt	7	0.5631619691848755	0.9963715672492981
wo	motion_3	26000.0	model_26000.pt	7	0.5609970688819885	0.9967974424362183
wo	motion_3	27000.0	model_27000.pt	7	0.5638953447341919	0.9960998296737671
wo	motion_3	28000.0	model_28000.pt	7	0.5605259537696838	0.9953197836875916
wo	motion_3	29000.0	model_29000.pt	7	0.5625234246253967	0.9946969747543335
wo	motion_3	29999.0	model_29999.pt	7	0.5623065829277039	0.9931034445762634
wo	motion_4	0.0	model_0.pt	4	0.8536120653152466	1.0
wo	motion_4	1000.0	model_1000.pt	4	0.6741654872894287	0.9992132186889648
wo	motion_4	2000.0	model_2000.pt	4	0.0	0.0
wo	motion_4	3000.0	model_3000.pt	4	0.0	0.0
wo	motion_4	4000.0	model_4000.pt	4	0.0	0.0
wo	motion_4	5000.0	model_5000.pt	4	0.0	0.0
wo	motion_4	6000.0	model_6000.pt	4	0.0	0.0
wo	motion_4	7000.0	model_7000.pt	4	0.0	0.0
wo	motion_4	8000.0	model_8000.pt	4	0.0	0.0
wo	motion_4	9000.0	model_9000.pt	4	0.0	0.0
wo	motion_4	9999.0	model_9999.pt	4	0.0	0.0
