paper_item	label_or_panel	source_evidence	status	figure_id	summary_row_present	local_artifact	local_artifact_exists	processed_csv	processed_csv_exists	output_count	run_log_exists	source_hashes_exists	source_count	existing_source_count	dataset_source_count	raw_zip_source_count	bad_hash_count	passed	notes
Figure 3B	fig:agile B	reproduction/paper/source/root.tex:206-212	released-data reproduced	imu_orientation_accel_angular_velocity	True	/mnt/infini-data/test/BeyondMimic/res/released_figures/imu_orientation_accel_angular_velocity/imu_orientation_accel_angular_velocity.pdf	True	/mnt/infini-data/test/BeyondMimic/res/released_figures/imu_orientation_accel_angular_velocity/imu_orientation_accel_angular_velocity_processed.csv	True	3	True	True	2	2	1	1	0	True	Robot orientation, linear acceleration, and angular velocity from the released base IMU bundle; PDF/SVG/PNG plus processed CSV and hashes are stored in the same directory.
Figure 4C	fig:natural C	reproduction/paper/source/root.tex:215-219	released-data reproduced	grf_walk_human_reference	True	/mnt/infini-data/test/BeyondMimic/res/released_figures/grf_walk_human_reference/grf_walk_human_reference.pdf	True	/mnt/infini-data/test/BeyondMimic/res/released_figures/grf_walk_human_reference/grf_walk_human_reference_processed.csv	True	3	True	True	4	4	3	3	0	True	Walking human reference GRF panel component.
Figure 4C	fig:natural C	reproduction/paper/source/root.tex:215-219	released-data reproduced	grf_run_human_reference	True	/mnt/infini-data/test/BeyondMimic/res/released_figures/grf_run_human_reference/grf_run_human_reference.pdf	True	/mnt/infini-data/test/BeyondMimic/res/released_figures/grf_run_human_reference/grf_run_human_reference_processed.csv	True	3	True	True	2	2	1	1	0	True	Running human reference GRF panel component.
Figure 4C	fig:natural C	reproduction/paper/source/root.tex:215-219	released-data reproduced	grf_walk_robot_real	True	/mnt/infini-data/test/BeyondMimic/res/released_figures/grf_walk_robot_real/grf_walk_robot_real.pdf	True	/mnt/infini-data/test/BeyondMimic/res/released_figures/grf_walk_robot_real/grf_walk_robot_real_processed.csv	True	3	True	True	2	2	1	1	0	True	Walking robot real GRF panel component.
Figure 4C	fig:natural C	reproduction/paper/source/root.tex:215-219	released-data reproduced	grf_run_robot_real	True	/mnt/infini-data/test/BeyondMimic/res/released_figures/grf_run_robot_real/grf_run_robot_real.pdf	True	/mnt/infini-data/test/BeyondMimic/res/released_figures/grf_run_robot_real/grf_run_robot_real_processed.csv	True	3	True	True	2	2	1	1	0	True	Running robot real GRF panel component.
Figure 8A	fig:ablation A	reproduction/paper/source/root.tex:258-267	released-data reproduced	ablation_orientation_representation	True	/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_orientation_representation/ablation_orientation_representation_global.pdf	True	/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_orientation_representation/ablation_orientation_representation_processed.csv	True	6	True	True	7	7	6	6	0	True	Orientation representation ablation; local and global error PDFs are generated from released JSON metrics.
Figure 8A	fig:ablation A	reproduction/paper/source/root.tex:258-267	released-data reproduced	ablation_observation_history	True	/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_observation_history/ablation_observation_history_global.pdf	True	/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_observation_history/ablation_observation_history_processed.csv	True	6	True	True	9	9	8	8	0	True	Observation history ablation; local and global error PDFs are generated from released JSON metrics.
Figure 8A	fig:ablation A	reproduction/paper/source/root.tex:258-267	released-data reproduced	ablation_armature	True	/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_armature/ablation_armature_global.pdf	True	/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_armature/ablation_armature_processed.csv	True	6	True	True	9	9	8	8	0	True	Armature ablation; local and global error PDFs are generated from released JSON metrics.
Figure 8A	fig:ablation A	reproduction/paper/source/root.tex:258-267	released-data reproduced	ablation_latency	True	/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_latency/ablation_latency_global.pdf	True	/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_latency/ablation_latency_processed.csv	True	6	True	True	9	9	8	8	0	True	Latency ablation; local and global error PDFs are generated from released JSON metrics.
Figure 8A / Figure S2	fig:ablation A; fig:extra-ablation	reproduction/paper/source/root.tex:258-267; reproduction/paper/source/root.tex:616-620	released-data reproduced	ablation_pd_gain	True	/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_pd_gain/ablation_pd_gain_global.pdf	True	/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_pd_gain/ablation_pd_gain_processed.csv	True	6	True	True	9	9	8	8	0	True	PD gain sensitivity; local and global error PDFs are generated from released JSON metrics.
Figure 8B(i)	fig:ablation B(i)	reproduction/paper/source/root.tex:258-267	released-data reproduced	adaptive_sampling_w	True	/mnt/infini-data/test/BeyondMimic/res/released_figures/adaptive_sampling/adaptive_sampling_w_iter_matrix.pdf	True	/mnt/infini-data/test/BeyondMimic/res/released_figures/adaptive_sampling_converted/w/all_motions_iter_number_matrix_normalized.csv	True	3	True	True	7	7	1	1	0	True	Adaptive-sampling training-performance matrix with AS.
Figure 8B(i)	fig:ablation B(i)	reproduction/paper/source/root.tex:258-267	released-data reproduced	adaptive_sampling_wo	True	/mnt/infini-data/test/BeyondMimic/res/released_figures/adaptive_sampling/adaptive_sampling_wo_iter_matrix.pdf	True	/mnt/infini-data/test/BeyondMimic/res/released_figures/adaptive_sampling_converted/wo/all_motions_iter_number_matrix_normalized.csv	True	3	True	True	7	7	1	1	0	True	Adaptive-sampling training-performance matrix without AS.
Figure 8B(ii)	fig:ablation B(ii)	reproduction/paper/source/root.tex:258-267	released-data processed	adaptive_sampling_w	True	/mnt/infini-data/test/BeyondMimic/res/released_figures/adaptive_sampling_converted/w/motion_1_failure_rates.csv	True	/mnt/infini-data/test/BeyondMimic/res/released_figures/adaptive_sampling_converted/w/all_motions_iter_number_matrix_normalized.csv	True	3	True	True	7	7	1	1	0	True	Released failure-rate data for Motion 1 challenging segments is converted to CSV; current standalone figure output is the aggregate heatmap matrix.
