experiment,task,seed_group_count,row_count,claim_level,comparison_type,reward_delta_guided_minus_baseline_mean,reward_delta_guided_minus_baseline_std,reward_delta_guided_minus_baseline_min,reward_delta_guided_minus_baseline_max,target_body_error_delta_guided_minus_baseline_mean,target_body_error_delta_guided_minus_baseline_std,target_body_error_delta_guided_minus_baseline_min,target_body_error_delta_guided_minus_baseline_max,target_body_error_ratio_guided_over_baseline_mean,target_body_error_ratio_guided_over_baseline_std,target_body_error_ratio_guided_over_baseline_min,target_body_error_ratio_guided_over_baseline_max,guidance_cost_delta_mean_mean,guidance_cost_delta_mean_std,guidance_cost_delta_mean_min,guidance_cost_delta_mean_max,guidance_grad_norm_mean_mean,guidance_grad_norm_mean_std,guidance_grad_norm_mean_min,guidance_grad_norm_mean_max,guided_done_count_total_mean,guided_done_count_total_std,guided_done_count_total_min,guided_done_count_total_max
official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed,composed,5,5,local_virtual_full_bundle_task_conditioned_guidance_multiseed_aggregate,approximately_comparable,-0.0011751788,0.0028444553,-0.0049871342,0.0031376976,-0.0018588811,0.0012554712,-0.0042250231,-0.00087988377,0.97744977,0.014952058,0.94934485,0.9893661,5.4913301e-05,1.2620249e-06,5.3278977e-05,5.6947653e-05,0.073589255,0.00077934337,0.072579278,0.074874205,25.2,0.4,25,26
official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed,joystick,5,5,local_virtual_full_bundle_task_conditioned_guidance_multiseed_aggregate,approximately_comparable,0.00013478333,0.00121018,-0.0018089302,0.0017060885,9.2482567e-05,0.0028403591,-0.0040810108,0.0037191808,1.0014855,0.034941348,0.95082098,1.0471866,6.3416452e-05,2.0058088e-06,6.129042e-05,6.695316e-05,0.079243665,0.0012859751,0.077874813,0.081517342,25,0.63245553,24,26
official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed,obstacle_avoidance,5,5,local_virtual_full_bundle_task_conditioned_guidance_multiseed_aggregate,approximately_comparable,0.0029722271,0.0040207899,-0.0043609599,0.0068580712,-0.00068134367,0.00089077857,-0.0023444071,0.00014790893,0.99172082,0.01074696,0.97171268,1.0018347,1.0189125e-05,1.2749856e-06,8.4197043e-06,1.2282145e-05,0.030970361,0.0017880784,0.028454015,0.033890574,25.2,0.4,25,26
official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed,waypoint,5,5,local_virtual_full_bundle_task_conditioned_guidance_multiseed_aggregate,approximately_comparable,-0.0018419905,0.0036134737,-0.0075100676,0.0034870118,0.0002269268,0.0019652967,-0.0017146021,0.0039846078,1.0029718,0.024716338,0.97884762,1.0503028,1.6568337e-05,8.6486359e-07,1.5350588e-05,1.7745539e-05,0.040233939,0.00097156804,0.038907019,0.041606856,25,0.63245553,24,26
official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout,composed,1,1,local_virtual_full_bundle_task_conditioned_guidance_aggregate,approximately_comparable,,,,,,,,,,,,,5.6947653e-05,0,5.6947653e-05,5.6947653e-05,,,,,25,0,25,25
official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout,joystick,1,1,local_virtual_full_bundle_task_conditioned_guidance_aggregate,approximately_comparable,,,,,,,,,,,,,6.4107586e-05,0,6.4107586e-05,6.4107586e-05,,,,,25,0,25,25
official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout,obstacle_avoidance,1,1,local_virtual_full_bundle_task_conditioned_guidance_aggregate,approximately_comparable,,,,,,,,,,,,,9.606066e-06,0,9.606066e-06,9.606066e-06,,,,,26,0,26,26
official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout,waypoint,1,1,local_virtual_full_bundle_task_conditioned_guidance_aggregate,approximately_comparable,,,,,,,,,,,,,1.7337974e-05,0,1.7337974e-05,1.7337974e-05,,,,,24,0,24,24
official_csv_loop_task_conditioned_latent_guidance_multiseed,composed,3,3,local_virtual_task_conditioned_guidance_multiseed_aggregate,approximately_comparable,0.00085719891,0.00070930304,-6.1865071e-05,0.0016648074,-0.0019960403,0.0029405063,-0.0052210093,0.001890108,0.9762711,0.036122666,0.93768141,1.0245556,8.5288299e-05,3.1665009e-06,8.242834e-05,8.9702499e-05,0.091541441,0.001826983,0.089908769,0.094092017,24.333333,0.47140452,24,25
official_csv_loop_task_conditioned_latent_guidance_multiseed,joystick,3,3,local_virtual_task_conditioned_guidance_multiseed_aggregate,approximately_comparable,-0.00020336677,0.00055411189,-0.00080137116,0.00053421614,0.0017043923,0.0016696366,-0.0006537959,0.002987124,1.0216576,0.021219153,0.99170365,1.0381991,8.419073e-05,1.6217759e-06,8.2634265e-05,8.6427831e-05,0.091257416,0.00091902723,0.090352152,0.092517693,25,0.81649658,24,26
