experiment,task,seed_group,baseline_variant,guided_variant,rollout_steps,comparison_type,claim_level,baseline_reward_mean,guided_reward_mean,reward_delta_guided_minus_baseline,baseline_target_body_error_mean,guided_target_body_error_mean,target_body_error_delta_guided_minus_baseline,target_body_error_ratio_guided_over_baseline,baseline_done_count_total,guided_done_count_total,done_count_delta_guided_minus_baseline,baseline_teacher_action_mse_mean,guided_teacher_action_mse_mean,teacher_action_mse_delta_guided_minus_baseline,baseline_base_action_mse_mean,guided_base_action_mse_mean,base_action_mse_delta_guided_minus_baseline,guidance_cost_delta_mean,guidance_grad_norm_mean,source_json,video_path,notes
official_csv_loop_receding_latent_guidance_rollout,composed_proxy,single_seed,vae_base,receding_latent_guided,299,qualitative_only,local_virtual_receding_horizon_state_latent_guidance_rollout,0.02337782,0.02686235,0.0034845296,0.078191496,0.080955878,0.0027643815,1.035354,25,25,0,0.010015216,0.0096473613,-0.00036785426,0.0062207839,0.0062537094,3.292544e-05,8.5998538e-05,0.092115126,res/level_c/official_csv_loop_receding_latent_guidance_rollout_eval/level_c_official_csv_loop_receding_latent_guidance_rollout_eval.json,res/visualization/official_csv_loop_receding_latent_guidance_rollout/official_csv_loop_receding_latent_guidance_rollout_vs_reference.mp4,Local resource-adjusted closed-loop rollout; not official Fig. 5/Fig. 6 evidence.
official_csv_loop_receding_latent_guidance_rollout,composed_proxy,single_seed,denoised_latent,receding_latent_guided,299,qualitative_only,local_virtual_receding_horizon_state_latent_guidance_rollout,0.02445312,0.02686235,0.0024092302,0.079151422,0.080955878,0.0018044561,1.0227975,24,25,1,0.0098744636,0.0096473613,-0.00022710227,0.0062284492,0.0062537094,2.526019e-05,8.5998538e-05,0.092115126,res/level_c/official_csv_loop_receding_latent_guidance_rollout_eval/level_c_official_csv_loop_receding_latent_guidance_rollout_eval.json,res/visualization/official_csv_loop_receding_latent_guidance_rollout/official_csv_loop_receding_latent_guidance_rollout_vs_reference.mp4,Compares local receding guidance to the unguided denoised-latent rollout.
official_csv_loop_action_guidance_rollout,teacher_consistency_proxy,single_seed,vae_base,action_guided,299,qualitative_only,local_virtual_action_space_teacher_consistency_guidance_rollout,0.026093225,0.025572466,-0.00052075862,0.079341866,0.079460092,0.00011822581,1.0014901,24,25,1,0.0014297547,0.0017210349,0.00029128018,0.00041454422,0.00049899828,8.4454057e-05,,,res/level_c/official_csv_loop_action_guidance_rollout_eval/level_c_official_csv_loop_action_guidance_rollout_eval.json,res/visualization/official_csv_loop_action_guidance_rollout/official_csv_loop_action_guidance_rollout_vs_reference.mp4,"Action-space guidance sanity bridge, not latent diffusion or paper-level guidance."
official_csv_loop_task_conditioned_latent_guidance_rollout,joystick,seed_group_0_existing,denoised_latent,task_conditioned_guided,299,qualitative_only,local_virtual_task_conditioned_receding_horizon_latent_guidance_rollout,,0.026875741,,,0.082045197,,,,26,,,0.0085651675,,,0.0059375538,,8.3510094e-05,,res/level_c/official_csv_loop_task_conditioned_latent_guidance_rollout_eval/joystick/joystick_task_conditioned_latent_guidance_rollout_eval.json,res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,Single-seed local task-conditioned rollout over public official-CSV loop motion.
official_csv_loop_task_conditioned_latent_guidance_rollout,waypoint,seed_group_0_existing,denoised_latent,task_conditioned_guided,299,qualitative_only,local_virtual_task_conditioned_receding_horizon_latent_guidance_rollout,,0.024385619,,,0.079688773,,,,25,,,0.0092345966,,,0.0059566308,,1.8218389e-05,,res/level_c/official_csv_loop_task_conditioned_latent_guidance_rollout_eval/waypoint/waypoint_task_conditioned_latent_guidance_rollout_eval.json,res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,Single-seed local task-conditioned rollout over public official-CSV loop motion.
official_csv_loop_task_conditioned_latent_guidance_rollout,obstacle_avoidance,seed_group_0_existing,denoised_latent,task_conditioned_guided,299,qualitative_only,local_virtual_task_conditioned_receding_horizon_latent_guidance_rollout,,0.025160312,,,0.078827843,,,,24,,,0.010228058,,,0.0060135582,,1.2984045e-05,,res/level_c/official_csv_loop_task_conditioned_latent_guidance_rollout_eval/obstacle_avoidance/obstacle_avoidance_task_conditioned_latent_guidance_rollout_eval.json,res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,Single-seed local task-conditioned rollout over public official-CSV loop motion.
official_csv_loop_task_conditioned_latent_guidance_rollout,composed,seed_group_0_existing,denoised_latent,task_conditioned_guided,299,qualitative_only,local_virtual_task_conditioned_receding_horizon_latent_guidance_rollout,,0.027122783,,,0.078862838,,,,25,,,0.0097271978,,,0.0062011737,,8.9702499e-05,,res/level_c/official_csv_loop_task_conditioned_latent_guidance_rollout_eval/composed/composed_task_conditioned_latent_guidance_rollout_eval.json,res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,Single-seed local task-conditioned rollout over public official-CSV loop motion.
official_csv_loop_task_conditioned_latent_guidance_multiseed,joystick,seed_group_0_existing,denoised_latent,task_conditioned_guided,299,approximately_comparable,local_virtual_task_conditioned_receding_horizon_latent_guidance_multiseed,0.027677112,0.026875741,-0.00080137116,0.079265349,0.082045197,0.0027798489,1.0350702,,26,,,0.0085651675,,,0.0059375538,,8.3510094e-05,0.090902404,res/level_c/official_csv_loop_task_conditioned_latent_guidance_rollout_eval/joystick/joystick_task_conditioned_latent_guidance_rollout_eval.json,res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,Three local virtual seed groups for report-level guided-vs-unguided trend analysis only.
official_csv_loop_task_conditioned_latent_guidance_multiseed,waypoint,seed_group_0_existing,denoised_latent,task_conditioned_guided,299,approximately_comparable,local_virtual_task_conditioned_receding_horizon_latent_guidance_multiseed,0.02586545,0.024385619,-0.0014798307,0.082043037,0.079688773,-0.0023542643,0.97130452,,25,,,0.0092345966,,,0.0059566308,,1.8218389e-05,0.042256569,res/level_c/official_csv_loop_task_conditioned_latent_guidance_rollout_eval/waypoint/waypoint_task_conditioned_latent_guidance_rollout_eval.json,res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,Three local virtual seed groups for report-level guided-vs-unguided trend analysis only.
official_csv_loop_task_conditioned_latent_guidance_multiseed,obstacle_avoidance,seed_group_0_existing,denoised_latent,task_conditioned_guided,299,approximately_comparable,local_virtual_task_conditioned_receding_horizon_latent_guidance_multiseed,0.026130434,0.025160312,-0.00097012182,0.077710897,0.078827843,0.0011169463,1.0143731,,24,,,0.010228058,,,0.0060135582,,1.2984045e-05,0.034661769,res/level_c/official_csv_loop_task_conditioned_latent_guidance_rollout_eval/obstacle_avoidance/obstacle_avoidance_task_conditioned_latent_guidance_rollout_eval.json,res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,Three local virtual seed groups for report-level guided-vs-unguided trend analysis only.
