motion,x_spread_mean_m,x_spread_p95_m,x_spread_max_m,y_spread_mean_m,y_spread_p95_m,y_spread_max_m,z_spread_mean_m,z_spread_p95_m,z_spread_max_m,max_abs_body_minus_body0_m,max_abs_body_minus_body0_z_m,pelvis_z_mean_m,left_ankle_roll_link_z_mean_m,right_ankle_roll_link_z_mean_m,torso_link_z_mean_m,left_wrist_yaw_link_z_mean_m,right_wrist_yaw_link_z_mean_m
dance1_subject1,0.20843255519866943,0.41863009333610535,0.4568961262702942,0.8223409652709961,1.0532042980194092,1.0874714851379395,1.2429167032241821,1.2515662908554077,1.251697301864624,0.7919439077377319,0.7919439077377319,0.7930489182472229,0.05320887640118599,0.05758535489439964,0.8367252349853516,0.9370645880699158,0.924249529838562
dance1_subject2,0.2453114241361618,0.2639086842536926,0.26545751094818115,0.9367693066596985,0.9948824644088745,1.028520941734314,1.2314186096191406,1.2378548383712769,1.2380167245864868,0.7784295082092285,0.7784295082092285,0.7749574780464172,0.04205670580267906,0.036259375512599945,0.8191108703613281,1.0684151649475098,1.0561405420303345
dance1_subject3,0.17090627551078796,0.2173607498407364,0.24220335483551025,0.7896662354469299,1.0525853633880615,1.0793676376342773,1.2393664121627808,1.2414476871490479,1.2423561811447144,0.7821514010429382,0.7821514010429382,0.7892768383026123,0.04571136087179184,0.049134671688079834,0.8331677317619324,0.986225426197052,0.9694545865058899
dance2_subject1,0.23154382407665253,0.4286118447780609,0.44314849376678467,0.80607008934021,1.0680941343307495,1.0886874198913574,1.2360650300979614,1.2511470317840576,1.2515273094177246,0.7913998365402222,0.7913998365402222,0.788966178894043,0.059323277324438095,0.05387702211737633,0.832821786403656,0.9751562476158142,0.9569337964057922
dance2_subject2,0.15818347036838531,0.16799847781658173,0.21008077263832092,0.9982147812843323,1.012790560722351,1.0512415170669556,1.2397876977920532,1.2402751445770264,1.2412160634994507,0.7816735506057739,0.7816735506057739,0.7843752503395081,0.041293274611234665,0.03817948326468468,0.8285293579101562,1.1239813566207886,1.0958774089813232
dance2_subject3,0.17636175453662872,0.20210891962051392,0.2047639787197113,1.0542548894882202,1.0599910020828247,1.0784592628479004,1.2396130561828613,1.2431726455688477,1.2445513010025024,0.7847022414207458,0.7847022414207458,0.789100706577301,0.044546738266944885,0.046642303466796875,0.832947313785553,1.1583648920059204,1.0975292921066284
dance2_subject4,0.12309497594833374,0.1402437686920166,0.1407049596309662,1.0609322786331177,1.063515067100525,1.077405333518982,1.247223973274231,1.2475651502609253,1.2476190328598022,0.7875085473060608,0.7875085473060608,0.78938227891922,0.039849232882261276,0.03753317892551422,0.8333441615104675,1.161592960357666,1.135083556175232
dance2_subject5,0.16612081229686737,0.34070390462875366,0.38130393624305725,0.920720636844635,1.0892064571380615,1.0899150371551514,1.2456469535827637,1.2478889226913452,1.2484699487686157,0.7884088754653931,0.7884088754653931,0.7936797738075256,0.05521993711590767,0.0448283813893795,0.8378286957740784,1.0039924383163452,1.0090676546096802
fallAndGetUp1_subject1,0.21297432482242584,0.4858848452568054,0.51029372215271,0.9017964601516724,1.092012882232666,1.1679041385650635,1.1533472537994385,1.250307321548462,1.2503303289413452,0.7938915491104126,0.7906890511512756,0.7365658283233643,0.05487615615129471,0.06134672462940216,0.7790271043777466,0.9065488576889038,0.9025947451591492
fallAndGetUp1_subject4,0.20279072225093842,0.5035971403121948,0.543520450592041,0.8099668622016907,1.06039559841156,1.0750834941864014,1.22427499294281,1.2461880445480347,1.2472337484359741,0.7873233556747437,0.7873233556747437,0.7702625393867493,0.04300731420516968,0.04221130162477493,0.8140279650688171,0.9842243790626526,0.9709895253181458
fallAndGetUp1_subject5,0.27005383372306824,0.5500301718711853,0.6239035129547119,0.8153337836265564,1.0824618339538574,1.0885204076766968,1.2313718795776367,1.248284935951233,1.248305320739746,0.7884079813957214,0.7884079813957214,0.7776540517807007,0.05336602404713631,0.053552862256765366,0.8217764496803284,0.9574309587478638,0.9557679891586304
fallAndGetUp2_subject2,0.1811627447605133,0.4543093740940094,0.5019940137863159,0.8608466982841492,1.0172849893569946,1.0562843084335327,1.178953766822815,1.242394208908081,1.2432794570922852,0.7836505174636841,0.7836505174636841,0.7547362446784973,0.050440799444913864,0.03879902511835098,0.7975584864616394,0.9808233380317688,0.9348744750022888
fallAndGetUp2_subject3,0.2607637345790863,0.6163411140441895,0.6568330526351929,0.7865687012672424,1.0624334812164307,1.085270881652832,1.1129094362258911,1.2450278997421265,1.245328664779663,0.7867354154586792,0.7867354154586792,0.7125284671783447,0.0431603379547596,0.043487995862960815,0.7548482418060303,0.8861616849899292,0.8302167654037476
fallAndGetUp3_subject1,0.3000008463859558,0.44602903723716736,0.4624435007572174,0.6335592269897461,1.0110012292861938,1.067538857460022,1.237533450126648,1.2514243125915527,1.2517722845077515,0.7950523495674133,0.7950523495674133,0.7875233292579651,0.06613672524690628,0.05095410719513893,0.8312273621559143,0.8731765747070312,0.8475843667984009
fight1_subject2,0.2850797474384308,0.4090660512447357,0.4413815438747406,0.6560724973678589,1.0067228078842163,1.0533838272094727,1.20954430103302,1.2396526336669922,1.2413074970245361,0.7815214991569519,0.7815214991569519,0.7627252340316772,0.06035745516419411,0.05264651030302048,0.8068615198135376,0.972954273223877,0.9382361173629761
fight1_subject3,0.34305769205093384,0.6898617148399353,0.7180647850036621,0.7052599191665649,1.0544334650039673,1.0801904201507568,1.1820405721664429,1.2418826818466187,1.2432122230529785,0.7830158472061157,0.7830158472061157,0.7499459981918335,0.056853726506233215,0.0615122988820076,0.7938356995582581,0.9531968832015991,0.9256080389022827
fight1_subject5,0.3536466658115387,0.6788780689239502,0.8239269256591797,0.7348417639732361,1.0896984338760376,1.0908387899398804,1.1756861209869385,1.248500108718872,1.248604416847229,0.7888593077659607,0.7888593077659607,0.7438812255859375,0.06516122817993164,0.051898155361413956,0.7877345681190491,0.9642653465270996,0.9579238891601562
fightAndSports1_subject1,0.2438141107559204,0.4343682825565338,0.43946415185928345,1.0557854175567627,1.0758644342422485,1.0950536727905273,1.247505784034729,1.2514989376068115,1.2534520626068115,0.8003416657447815,0.8003416657447815,0.7972387075424194,0.04658196121454239,0.17622172832489014,0.8399440050125122,1.0685222148895264,1.0562447309494019
fightAndSports1_subject4,0.18870234489440918,0.6531258225440979,0.7395134568214417,0.7803701162338257,1.0690604448318481,1.0791659355163574,1.2388994693756104,1.246839165687561,1.2468572854995728,0.7867356538772583,0.7867356538772583,0.7838676571846008,0.041755542159080505,0.05289950966835022,0.8278159499168396,1.005746841430664,0.9928007125854492
jumps1_subject1,0.303173303604126,0.4727972149848938,0.5078432559967041,0.5833395719528198,1.046618938446045,1.078537940979004,1.2374801635742188,1.2494374513626099,1.2502508163452148,0.7901729345321655,0.7901729345321655,0.7863993048667908,0.0567094162106514,0.049129918217659,0.8303534984588623,0.8690434694290161,0.866267204284668
jumps1_subject2,0.48403993248939514,0.649050772190094,0.6592468023300171,0.5755473971366882,0.691820502281189,0.8019589185714722,1.226592779159546,1.2378655672073364,1.2400383949279785,0.7806407809257507,0.7806407809257507,0.7807923555374146,0.1394355595111847,0.03890575096011162,0.8247050046920776,0.9267533421516418,0.8460566997528076
jumps1_subject5,0.30958154797554016,0.5411377549171448,0.6439884305000305,0.716856062412262,1.089996337890625,1.092119574546814,1.2039172649383545,1.248943567276001,1.2490122318267822,0.789505124092102,0.789505124092102,0.7679718732833862,0.058828093111515045,0.18895088136196136,0.8117929697036743,0.8821414113044739,0.9067860245704651
run1_subject2,0.24790754914283752,0.3632305860519409,0.4111608564853668,0.6919832229614258,1.0422534942626953,1.0773190259933472,1.22660493850708,1.2357299327850342,1.237750768661499,0.7811996340751648,0.7811996340751648,0.7717254161834717,0.04448235407471657,0.03894675523042679,0.8158531785011292,0.9446296691894531,0.9063044786453247
