task,split,scale,window_count,base_cost_mean,guided_cost_mean,cost_delta_mean,positive_delta_fraction,gradient_norm_mean,finite
composed,test,0.0,28570,2.241139776422129,2.241139776422129,0.0,0.0,0.00020161349499029068,True
composed,test,0.0005,28570,2.241139776422129,2.241139772149454,5.165596796875666e-09,0.031921596053595264,0.00020161349499029068,True
composed,test,0.001,28570,2.241139776422129,2.241139763604105,9.776246593283962e-09,0.060413020616348366,0.00020161349499029068,True
composed,test,0.002,28570,2.241139776422129,2.241139733695383,2.0647783314396327e-08,0.1261463071218645,0.00020161349499029068,True
composed,test,0.005,28570,2.241139776422129,2.241139684134027,5.520053536134477e-08,0.3233461669933391,0.00020161349499029068,True
composed,test,0.01,28570,2.241139776422129,2.2411396072258847,1.216710843100839e-07,0.6030801538929557,0.00020161349499029068,True
composed,validation,0.0,28569,2.240540873529096,2.240540873529096,0.0,0.0,0.00020022809783090513,True
composed,validation,0.0005,28569,2.240540873529096,2.2405408607106234,5.299303364551183e-09,0.03262277294326252,0.00020022809783090513,True
composed,validation,0.001,28569,2.240540873529096,2.240540856437799,1.011666220937919e-08,0.06223529000277948,0.00020022809783090513,True
composed,validation,0.002,28569,2.240540873529096,2.240540843619327,2.0650592400151046e-08,0.12660576152310807,0.00020022809783090513,True
composed,validation,0.005,28569,2.240540873529096,2.240540809436734,5.4130088871790196e-08,0.3193321433323191,0.00020022809783090513,True
composed,validation,0.01,28569,2.240540873529096,2.2405407367987236,1.1814734257044665e-07,0.5959956599753147,0.00020022809783090513,True
latent_magnitude,test,0.0,28570,13.62416791355105,13.62416791355105,0.0,0.0,0.0005548100558996734,True
latent_magnitude,test,0.0005,28570,13.62416791355105,13.62416791355105,0.0,0.0,0.0005548100558996734,True
latent_magnitude,test,0.001,28570,13.62416791355105,13.62416791355105,0.0,0.0,0.0005548100558996734,True
latent_magnitude,test,0.002,28570,13.62416791355105,13.62416791355105,0.0,0.0,0.0005548100558996734,True
latent_magnitude,test,0.005,28570,13.62416791355105,13.624167893055564,1.430344523518458e-08,0.008260412864181017,0.0005548100558996734,True
latent_magnitude,test,0.01,28570,13.62416791355105,13.624165807956993,2.2376464033647767e-06,0.960588029111479,0.0005548100558996734,True
latent_magnitude,validation,0.0,28569,13.618459166199957,13.618459166199957,0.0,0.0,0.0005509416114683909,True
latent_magnitude,validation,0.0005,28569,13.618459166199957,13.618459166199957,0.0,0.0,0.0005509416114683909,True
latent_magnitude,validation,0.001,28569,13.618459166199957,13.618459166199957,0.0,0.0,0.0005509416114683909,True
latent_magnitude,validation,0.002,28569,13.618459166199957,13.618459166199957,0.0,0.0,0.0005509416114683909,True
latent_magnitude,validation,0.005,28569,13.618459166199957,13.618459166199957,0.0,0.0,0.0005509416114683909,True
latent_magnitude,validation,0.01,28569,13.618459166199957,13.618456968299283,2.2197822091661778e-06,0.9607266619644524,0.0005509416114683909,True
latent_smoothness,test,0.0,28570,3.299381816257828,3.299381816257828,0.0,0.0,0.0004646731071069179,True
latent_smoothness,test,0.0005,28570,3.299381816257828,3.2993818119851532,1.2058622553179767e-09,0.0038151907546808868,0.0004646731071069179,True
latent_smoothness,test,0.001,28570,3.299381816257828,3.299381794894455,1.0228966508167343e-08,0.02632131600517116,0.0004646731071069179,True
latent_smoothness,test,0.002,28570,3.299381816257828,3.2993817239697263,6.215197662128916e-08,0.16268813433735196,0.0004646731071069179,True
latent_smoothness,test,0.005,28570,3.299381816257828,3.299381417196699,3.5013608426264455e-07,0.7334966748629494,0.0004646731071069179,True
latent_smoothness,test,0.01,28570,3.299381816257828,3.2993806480902412,1.155742823596518e-06,0.999859992359166,0.0004646731071069179,True
latent_smoothness,validation,0.0,28569,3.299234045311694,3.299234045311694,0.0,0.0,0.00046165761641278575,True
latent_smoothness,validation,0.0005,28569,3.299234045311694,3.299234045311694,1.3415165617772688e-09,0.004235360006937037,0.00046165761641278575,True
latent_smoothness,validation,0.001,28569,3.299234045311694,3.299234045311694,9.95184135860592e-09,0.025622177907352797,0.00046165761641278575,True
latent_smoothness,validation,0.002,28569,3.299234045311694,3.299233999170201,5.907054179774828e-08,0.15642829647769477,0.00046165761641278575,True
latent_smoothness,validation,0.005,28569,3.299234045311694,3.2992337128909845,3.4752476783148795e-07,0.7320172217934662,0.00046165761641278575,True
latent_smoothness,validation,0.01,28569,3.299234045311694,3.29923289594704,1.1492488629166734e-06,0.9998249851237355,0.00046165761641278575,True
velocity_command,test,0.0,28570,0.05387747830740317,0.05387747830740317,0.0,0.0,0.000140544840844174,True
velocity_command,test,0.0005,28570,0.05387747830740317,0.05387747304675084,5.403235625577873e-09,0.7556527820654085,0.000140544840844174,True
velocity_command,test,0.001,28570,0.05387747830740317,0.053877467799268074,1.006825876436434e-08,0.987084353616866,0.000140544840844174,True
velocity_command,test,0.002,28570,0.05387747830740317,0.053877458012068564,2.0374091178137352e-08,0.9999999993595161,0.000140544840844174,True
velocity_command,test,0.005,28570,0.05387747830740317,0.053877427422180435,5.056380718676761e-08,0.9999999993595161,0.000140544840844174,True
velocity_command,test,0.01,28570,0.05387747830740317,0.053877377004281475,1.0100687169125722e-07,0.9999999993595161,0.000140544840844174,True
velocity_command,validation,0.0,28569,0.0538864262204377,0.0538864262204377,0.0,0.0,0.00013955118073900017,True
velocity_command,validation,0.0005,28569,0.0538864262204377,0.05388642083950628,5.350809884323371e-09,0.751618888112427,0.00013955118073900017,True
velocity_command,validation,0.001,28569,0.0538864262204377,0.053886416299630646,1.00046518344617e-08,0.9862438311762611,0.00013955118073900017,True
velocity_command,validation,0.002,28569,0.0538864262204377,0.05388640612520291,2.019968220126621e-08,1.0,0.00013955118073900017,True
velocity_command,validation,0.005,28569,0.0538864262204377,0.05388637650973834,5.018827565596709e-08,1.0,0.00013955118073900017,True
