task,seed_group,rollout_steps,guided_reward_mean,guided_target_body_error_mean,guided_done_count_total,guidance_cost_delta_mean,guided_base_action_mse_mean,mp4,mp4_size_bytes,mp4_sha256,keyframes_png,keyframes_png_size_bytes,metrics_png,metrics_csv,source_json,github_policy,claim_level,limitation
joystick,seed_group_0_existing,299,0.022738767414039195,0.08253771811723709,25,6.410758630886524e-05,0.007402748063387331,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,921345,9ba2473c5c359531ad6f70f17b7ab35b82522f65563db8a9fdee4c95af1d32e5,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_keyframes.png,269733,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.png,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.csv,res/level_c/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout_eval/joystick/joystick_task_conditioned_latent_guidance_rollout_eval.json,do_not_commit_mp4_commit_index_and_contact_sheet_only,local_virtual_full_bundle_guidance_video_evidence_not_paper_fig5_fig6,"Local resource-adjusted IsaacLab rollout with local checkpoints/proxy costs; not official BeyondMimic Fig. 5/Fig. 6, TensorRT deployment, or real-robot evidence."
waypoint,seed_group_0_existing,299,0.021866608513861796,0.0809725970029831,24,1.7337974497307105e-05,0.0072378199360641745,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,914106,3876e51b7ccf701b0454e02929d9ec7f1cbaa447f143c66a8ccfb7daf52b9d66,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_keyframes.png,275290,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.png,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.csv,res/level_c/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout_eval/waypoint/waypoint_task_conditioned_latent_guidance_rollout_eval.json,do_not_commit_mp4_commit_index_and_contact_sheet_only,local_virtual_full_bundle_guidance_video_evidence_not_paper_fig5_fig6,"Local resource-adjusted IsaacLab rollout with local checkpoints/proxy costs; not official BeyondMimic Fig. 5/Fig. 6, TensorRT deployment, or real-robot evidence."
obstacle_avoidance,seed_group_0_existing,299,0.02571137477160995,0.08061826974153519,26,9.606065957442574e-06,0.006980184163511995,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,905594,ef34b5cc403577a485de57a341ca6ade25e9829d7fa221725aba9f54f2d71f95,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_keyframes.png,270011,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.png,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.csv,res/level_c/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout_eval/obstacle_avoidance/obstacle_avoidance_task_conditioned_latent_guidance_rollout_eval.json,do_not_commit_mp4_commit_index_and_contact_sheet_only,local_virtual_full_bundle_guidance_video_evidence_not_paper_fig5_fig6,"Local resource-adjusted IsaacLab rollout with local checkpoints/proxy costs; not official BeyondMimic Fig. 5/Fig. 6, TensorRT deployment, or real-robot evidence."
composed,seed_group_0_existing,299,0.021387746856613304,0.08186342567205429,25,5.694765311021071e-05,0.006998499689536499,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,902381,057f2b727e6aaf4884c45b8300da97f20c218ca9b9641cbc7a7dbc17c6010197,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_keyframes.png,270548,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.png,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.csv,res/level_c/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout_eval/composed/composed_task_conditioned_latent_guidance_rollout_eval.json,do_not_commit_mp4_commit_index_and_contact_sheet_only,local_virtual_full_bundle_guidance_video_evidence_not_paper_fig5_fig6,"Local resource-adjusted IsaacLab rollout with local checkpoints/proxy costs; not official BeyondMimic Fig. 5/Fig. 6, TensorRT deployment, or real-robot evidence."
joystick,seed_group_1,299,0.020831872976967522,0.08340135216712952,26,6.129041962001635e-05,0.007179260731248005,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,903884,2cb6289c8f6fc63a765ceef710211a359bc4d5d6eb1e417c3639cdf91ba5260c,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_keyframes.png,270914,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.png,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.csv,res/level_c/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/joystick/joystick_task_conditioned_latent_guidance_rollout_eval.json,do_not_commit_mp4_commit_index_and_contact_sheet_only,local_virtual_full_bundle_guidance_video_evidence_not_paper_fig5_fig6,"Local resource-adjusted IsaacLab rollout with local checkpoints/proxy costs; not official BeyondMimic Fig. 5/Fig. 6, TensorRT deployment, or real-robot evidence."
waypoint,seed_group_1,299,0.018506255919693106,0.08319699764251709,26,1.5350588189319625e-05,0.007090834838440984,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,954970,ff8f071cd07de994258fcedd85ee0866f4677c0bf4e13f172375f65fd7502d28,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_keyframes.png,315208,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.png,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.csv,res/level_c/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/waypoint/waypoint_task_conditioned_latent_guidance_rollout_eval.json,do_not_commit_mp4_commit_index_and_contact_sheet_only,local_virtual_full_bundle_guidance_video_evidence_not_paper_fig5_fig6,"Local resource-adjusted IsaacLab rollout with local checkpoints/proxy costs; not official BeyondMimic Fig. 5/Fig. 6, TensorRT deployment, or real-robot evidence."
obstacle_avoidance,seed_group_1,299,0.021003486093345493,0.07950341701507568,25,9.97047161178844e-06,0.006945206103908727,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,923381,b8c5d484dbf210bfbd267b2110cb09aeea9d6319a7f716364179cb66b3e614f6,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_keyframes.png,306886,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.png,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.csv,res/level_c/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/obstacle_avoidance/obstacle_avoidance_task_conditioned_latent_guidance_rollout_eval.json,do_not_commit_mp4_commit_index_and_contact_sheet_only,local_virtual_full_bundle_guidance_video_evidence_not_paper_fig5_fig6,"Local resource-adjusted IsaacLab rollout with local checkpoints/proxy costs; not official BeyondMimic Fig. 5/Fig. 6, TensorRT deployment, or real-robot evidence."
composed,seed_group_1,299,0.023936110807202732,0.0788186639547348,26,5.47798580947927e-05,0.007234783396965833,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,903780,114bd8bf50f570265e1c7e6a8813883cfa93ea636d7e4e06b139f7cc635072bc,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_keyframes.png,288352,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.png,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.csv,res/level_c/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/composed/composed_task_conditioned_latent_guidance_rollout_eval.json,do_not_commit_mp4_commit_index_and_contact_sheet_only,local_virtual_full_bundle_guidance_video_evidence_not_paper_fig5_fig6,"Local resource-adjusted IsaacLab rollout with local checkpoints/proxy costs; not official BeyondMimic Fig. 5/Fig. 6, TensorRT deployment, or real-robot evidence."
joystick,seed_group_2,299,0.023400446801854415,0.07885903120040894,25,6.281362728131654e-05,0.007192646667990447,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,892126,ab43c5bd3d7f484b66e5e7a971f6d7569dabff00a9cd8adc681413498a6716af,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_keyframes.png,268699,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.png,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.csv,res/level_c/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/joystick/joystick_task_conditioned_latent_guidance_rollout_eval.json,do_not_commit_mp4_commit_index_and_contact_sheet_only,local_virtual_full_bundle_guidance_video_evidence_not_paper_fig5_fig6,"Local resource-adjusted IsaacLab rollout with local checkpoints/proxy costs; not official BeyondMimic Fig. 5/Fig. 6, TensorRT deployment, or real-robot evidence."
waypoint,seed_group_2,299,0.026502824164179456,0.07763150334358215,25,1.6284726535197484e-05,0.007301438054736442,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,926719,e13eb4bc009728fbc37990352d37043f4011fc415b70144f5e99090375e414f3,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_keyframes.png,279789,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.png,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.csv,res/level_c/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/waypoint/waypoint_task_conditioned_latent_guidance_rollout_eval.json,do_not_commit_mp4_commit_index_and_contact_sheet_only,local_virtual_full_bundle_guidance_video_evidence_not_paper_fig5_fig6,"Local resource-adjusted IsaacLab rollout with local checkpoints/proxy costs; not official BeyondMimic Fig. 5/Fig. 6, TensorRT deployment, or real-robot evidence."
