task,seed_group,seed,rollout_steps,completed_299,guided_reward_mean,denoised_reward_mean,vae_base_reward_mean,guided_target_body_error_mean,denoised_target_body_error_mean,vae_base_target_body_error_mean,reward_delta_vs_denoised,error_delta_vs_denoised,reward_delta_vs_vae_base,error_delta_vs_vae_base,guidance_cost_delta_mean,guidance_signal_positive,guided_base_action_mse_mean,action_changed,reward_improved_vs_denoised,tracking_error_not_worse_vs_denoised,local_proxy_pass,mp4,claim_level
joystick,seed_group_0_existing,,299,True,0.022738767414039195,0.02103267889781341,0.02105517180505704,0.08253771811723709,0.07881853729486465,0.0788004919886589,0.0017060885162257858,0.0037191808223724365,0.001683595608982156,0.003737226128578186,6.410758630886524e-05,True,0.007402748063387331,True,True,False,True,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,local_proxy_success_boundary_not_paper_fig5_fig6
waypoint,seed_group_0_existing,,299,True,0.021866608513861796,0.025366160398766546,0.02620066167867702,0.0809725970029831,0.08097916841506958,0.08043980598449707,-0.0034995518849047502,-6.571412086486816e-06,-0.004334053164815225,0.000532791018486023,1.7337974497307105e-05,True,0.0072378199360641745,True,False,True,True,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,local_proxy_success_boundary_not_paper_fig5_fig6
obstacle_avoidance,seed_group_0_existing,,299,True,0.02571137477160995,0.02334855730804213,0.022434053522064335,0.08061826974153519,0.08144447207450867,0.08006826788187027,0.0023628174635678227,-0.0008262023329734802,0.0032773212495456165,0.000550001859664917,9.606065957442574e-06,True,0.006980184163511995,True,True,True,True,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,local_proxy_success_boundary_not_paper_fig5_fig6
composed,seed_group_0_existing,,299,True,0.021387746856613304,0.02432541552320571,0.02579196050675916,0.08186342567205429,0.08274330943822861,0.08083811402320862,-0.002937668666592407,-0.0008798837661743164,-0.004404213650145858,0.0010253116488456726,5.694765311021071e-05,True,0.006998499689536499,True,False,True,True,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,local_proxy_success_boundary_not_paper_fig5_fig6
joystick,seed_group_1,20260701,299,True,0.020831872976967522,0.021381961994720342,0.022984267810490417,0.08340135216712952,0.08342292904853821,0.08224157989025116,-0.0005500890177528202,-2.1576881408691406e-05,-0.002152394833522895,0.001159772276878357,6.129041962001635e-05,True,0.007179260731248005,True,False,True,True,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,local_proxy_success_boundary_not_paper_fig5_fig6
waypoint,seed_group_1,20260702,299,True,0.018506255919693106,0.02601632352818713,0.027459976786629214,0.08319699764251709,0.07921238988637924,0.0779278576374054,-0.007510067608494025,0.003984607756137848,-0.008953720866936108,0.005269140005111694,1.5350588189319625e-05,True,0.007090834838440984,True,False,False,False,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,local_proxy_success_boundary_not_paper_fig5_fig6
obstacle_avoidance,seed_group_1,20260703,299,True,0.021003486093345493,0.025364445974072284,0.02215778065789304,0.07950341701507568,0.07977942377328873,0.07937845587730408,-0.004360959880726791,-0.0002760067582130432,-0.0011542945645475478,0.00012496113777160645,9.97047161178844e-06,True,0.006945206103908727,True,False,True,True,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,local_proxy_success_boundary_not_paper_fig5_fig6
composed,seed_group_1,20260704,299,True,0.023936110807202732,0.025788284427047174,0.02143360854727668,0.0788186639547348,0.07990632206201553,0.07973736524581909,-0.0018521736198444418,-0.0010876581072807312,0.002502502259926053,-0.0009187012910842896,5.47798580947927e-05,True,0.007234783396965833,True,False,True,True,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,local_proxy_success_boundary_not_paper_fig5_fig6
joystick,seed_group_2,20260711,299,True,0.023400446801854415,0.022891432034431093,0.02390449430581718,0.07885903120040894,0.080619677901268,0.08186139911413193,0.0005090147674233214,-0.0017606467008590698,-0.0005040475039627644,-0.003002367913722992,6.281362728131654e-05,True,0.007192646667990447,True,True,True,True,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,local_proxy_success_boundary_not_paper_fig5_fig6
waypoint,seed_group_2,20260712,299,True,0.026502824164179456,0.023015812319706515,0.01984923429488139,0.07763150334358215,0.07843604683876038,0.07892965525388718,0.003487011844472941,-0.0008045434951782227,0.0066535898692980655,-0.0012981519103050232,1.6284726535197484e-05,True,0.007301438054736442,True,True,True,True,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,local_proxy_success_boundary_not_paper_fig5_fig6
obstacle_avoidance,seed_group_2,20260713,299,True,0.02405064900944564,0.017754217706321674,0.02042189931939278,0.080533966422081,0.08287837356328964,0.08258312940597534,0.006296431303123965,-0.0023444071412086487,0.003628749690052859,-0.002049162983894348,1.2282145063215275e-05,True,0.007335868201539369,True,True,True,True,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,local_proxy_success_boundary_not_paper_fig5_fig6
composed,seed_group_2,20260714,299,True,0.023279322180460926,0.022515937131533655,0.02428726223998245,0.08076955378055573,0.08180109411478043,0.07856695353984833,0.0007633850489272703,-0.001031540334224701,-0.0010079400595215254,0.0022026002407073975,5.3278977256953516e-05,True,0.007230837972691426,True,True,True,True,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,local_proxy_success_boundary_not_paper_fig5_fig6
joystick,seed_group_3,20260721,299,True,0.02471773205854522,0.023899899481057522,0.02551774465070919,0.0789017453789711,0.08298275619745255,0.08109544962644577,0.0008178325774876975,-0.004081010818481445,-0.0008000125921639699,-0.0021937042474746704,6.191746446998622e-05,True,0.006968048317856264,True,True,True,True,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_3/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,local_proxy_success_boundary_not_paper_fig5_fig6
waypoint,seed_group_3,20260722,299,True,0.02411616119528096,0.024860309748396425,0.025314043637327727,0.07934493571519852,0.0810595378279686,0.07834199070930481,-0.0007441485531154667,-0.0017146021127700806,-0.001197882442046768,0.0010029450058937073,1.612285706510512e-05,True,0.006924167798713697,True,False,True,True,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_3/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,local_proxy_success_boundary_not_paper_fig5_fig6
obstacle_avoidance,seed_group_3,20260723,299,True,0.02461541508227886,0.01775734388210303,0.01948393607842284,0.0805373266339302,0.08064533770084381,0.07619597762823105,0.006858071200175828,-0.00010801106691360474,0.0051314790038560175,0.004341349005699158,1.0667237948414475e-05,True,0.006931883131502738,True,True,True,True,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_3/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,local_proxy_success_boundary_not_paper_fig5_fig6
composed,seed_group_3,20260724,299,True,0.020116108612945445,0.02510324277818502,0.022011892166125733,0.07918254286050797,0.08340756595134735,0.07956889271736145,-0.004987134165239576,-0.004225023090839386,-0.0018957835531802879,-0.0003863498568534851,5.552182628159539e-05,True,0.007296024031709742,True,False,True,True,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_3/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,local_proxy_success_boundary_not_paper_fig5_fig6
joystick,seed_group_4,20260731,299,True,0.018083592618264283,0.01989252283160005,0.021033087658094723,0.08530502021312714,0.08269855380058289,0.08002335578203201,-0.001808930213335766,0.0026064664125442505,-0.002949495039830441,0.005281664431095123,6.695315989363552e-05,True,0.007158356246049438,True,False,False,False,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_4/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,local_proxy_success_boundary_not_paper_fig5_fig6
waypoint,seed_group_4,20260732,299,True,0.02125061959040703,0.022193815904890613,0.01978823533250536,0.08170223236083984,0.08202648907899857,0.07896623760461807,-0.0009431963144835818,-0.0003242567181587219,0.0014623842579016694,0.0027359947562217712,1.7745538698789668e-05,True,0.0074375595019065014,True,False,True,True,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_4/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,local_proxy_success_boundary_not_paper_fig5_fig6
