task,variant,reward_mean,target_body_error_mean,done_count_total,guided_teacher_action_mse_mean,guided_base_action_mse_mean,guidance_cost_delta_mean,mp4,asset_json,claim_level
joystick,teacher,0.02266178723661397,0.08219058811664581,25,0.012586088839413779,0.007518533457625022,6.101651733934281e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_full_bundle_task_conditioned_latent_guidance_rollout
joystick,vae_base,0.02105517180505704,0.0788004919886589,24,0.019311426194964045,0.007451558939607994,6.124128067373831e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_full_bundle_task_conditioned_latent_guidance_rollout
joystick,denoised_latent,0.02103267889781341,0.07881853729486465,25,0.013847649877697828,0.006930286351304788,5.9022652265618875e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_full_bundle_task_conditioned_latent_guidance_rollout
joystick,receding_latent_guided,0.022738767414039195,0.08253771811723709,25,0.015896403194127922,0.007402748063387331,6.410758630886524e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_full_bundle_task_conditioned_latent_guidance_rollout
waypoint,teacher,0.02184842332238238,0.08162718266248703,27,0.013065534006854064,0.007598568353238189,1.8351153785169723e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_full_bundle_task_conditioned_latent_guidance_rollout
waypoint,vae_base,0.02620066167867702,0.08043980598449707,25,0.01151061843984128,0.0071389083766119936,1.8119313645123637e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_full_bundle_task_conditioned_latent_guidance_rollout
waypoint,denoised_latent,0.025366160398766546,0.08097916841506958,25,0.011735123226319418,0.007429670955188398,1.7317840486864582e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_full_bundle_task_conditioned_latent_guidance_rollout
waypoint,receding_latent_guided,0.021866608513861796,0.0809725970029831,24,0.014620930772511457,0.0072378199360641745,1.7337974497307105e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_full_bundle_task_conditioned_latent_guidance_rollout
obstacle_avoidance,teacher,0.021798548438153337,0.08185204863548279,26,0.012065007977411899,0.007287658863143379,1.043798931466297e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_full_bundle_task_conditioned_latent_guidance_rollout
obstacle_avoidance,vae_base,0.022434053522064335,0.08006826788187027,25,0.01322384637057856,0.007252286716261536,1.0738853228132063e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_full_bundle_task_conditioned_latent_guidance_rollout
obstacle_avoidance,denoised_latent,0.02334855730804213,0.08144447207450867,26,0.01266619129290175,0.007214739397370621,1.0063317308457799e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_full_bundle_task_conditioned_latent_guidance_rollout
obstacle_avoidance,receding_latent_guided,0.02571137477160995,0.08061826974153519,26,0.010494430037059613,0.006980184163511995,9.606065957442574e-06,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_full_bundle_task_conditioned_latent_guidance_rollout
composed,teacher,0.025166001158414476,0.07649481296539307,26,0.011708725089624674,0.00728858435872232,5.632908049235774e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_full_bundle_task_conditioned_latent_guidance_rollout
composed,vae_base,0.02579196050675916,0.08083811402320862,26,0.011360330918311673,0.0074397915854339915,5.409580010634202e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_full_bundle_task_conditioned_latent_guidance_rollout
composed,denoised_latent,0.02432541552320571,0.08274330943822861,27,0.013112673970456406,0.007385216746790752,5.746754914223151e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_full_bundle_task_conditioned_latent_guidance_rollout
composed,receding_latent_guided,0.021387746856613304,0.08186342567205429,25,0.011648775878078912,0.006998499689536499,5.694765311021071e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_full_bundle_task_conditioned_latent_guidance_rollout
