task,variant,reward_mean,target_body_error_mean,done_count_total,guided_teacher_action_mse_mean,guided_base_action_mse_mean,guidance_cost_delta_mean,mp4,asset_json,claim_level
joystick,teacher,0.02423137141684425,0.08137558400630951,27,0.008778131266364385,0.006013928492083199,8.776146033934526e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_task_conditioned_receding_horizon_latent_guidance_rollout
joystick,vae_base,0.028283241232950552,0.08046400547027588,26,0.00844694483234083,0.006134224422494055,8.373934289683466e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_task_conditioned_receding_horizon_latent_guidance_rollout
joystick,denoised_latent,0.027677111947491617,0.07926534861326218,25,0.008825547237846265,0.0059780918270424255,8.42585412156223e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_task_conditioned_receding_horizon_latent_guidance_rollout
joystick,receding_latent_guided,0.02687574078618583,0.08204519748687744,26,0.008565167541752716,0.005937553815665128,8.351009426308316e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_task_conditioned_receding_horizon_latent_guidance_rollout
waypoint,teacher,0.027260945832674518,0.08004671335220337,25,0.008841192272700443,0.006002175522404396,1.8156192773161922e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_task_conditioned_receding_horizon_latent_guidance_rollout
waypoint,vae_base,0.023045187432904506,0.08211854845285416,24,0.009469291115067526,0.00603796568439096,1.828477135470081e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_task_conditioned_receding_horizon_latent_guidance_rollout
waypoint,denoised_latent,0.025865450174388877,0.08204303681850433,25,0.009139983498189213,0.005921337161723985,1.863901033050639e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_task_conditioned_receding_horizon_latent_guidance_rollout
waypoint,receding_latent_guided,0.02438561944135256,0.07968877255916595,25,0.009234596592028405,0.0059566308450682654,1.8218388924231895e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_task_conditioned_receding_horizon_latent_guidance_rollout
obstacle_avoidance,teacher,0.02527176061439574,0.07789762318134308,25,0.010715308690281667,0.006252631756483287,1.1835807940633002e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_task_conditioned_receding_horizon_latent_guidance_rollout
obstacle_avoidance,vae_base,0.026074563508174293,0.0796271488070488,25,0.009092585031055287,0.006180894593427886,9.833669981430207e-06,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_task_conditioned_receding_horizon_latent_guidance_rollout
