task,seed_group,seed,summary_json,trace_npz,mp4,trace_npz_exists,mp4_exists,rollout_steps,recorded_299_step_completion,guided_done_flag_sum,denoised_done_flag_sum,guided_reward_mean,denoised_reward_mean,reward_delta_vs_denoised,guided_target_body_error_mean,denoised_target_body_error_mean,tracking_error_delta_vs_denoised,guided_body_error_frame_success_rate_under_0p36,guidance_cost_before_mean,guidance_cost_after_mean,guidance_cost_delta_mean,guidance_signal_positive,root_final_xy_error_m,root_mean_xy_error_m,root_path_length_xy_m,reference_path_length_xy_m,root_path_length_ratio,root_height_mean_m,root_height_min_m,root_height_max_m,endpoint_proxy_pass,target_body_mean_proxy_pass,reward_improved_vs_denoised,tracking_error_not_worse_vs_denoised,local_task_protocol_proxy_pass,claim_level
joystick,seed_group_0_existing,20260689,res/level_c/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout_eval/joystick/joystick_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout_eval/joystick/receding_latent_guidance_rollout_20260620_095742_seed20260689/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.02026389510897191,0.022860872207277994,-0.002596977098306086,0.3444918669187106,0.3454331846340843,-0.0009413177153737018,0.9765886287625418,0.07294860575659617,0.07288079806619065,6.780769040552669e-05,True,0.003232471650914688,0.006506580615034664,106.14227871285749,106.60011611436659,0.9957050947203668,0.7553359380733209,0.1957196295261383,0.8086420297622681,True,True,False,True,True,local_virtual_official_importer_export_fig5_fig6_task_protocol_proxy_not_paper_level
waypoint,seed_group_0_existing,20260690,res/level_c/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout_eval/waypoint/waypoint_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout_eval/waypoint/receding_latent_guidance_rollout_20260620_100026_seed20260690/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.023516151245783105,0.023554615927922438,-3.846468213933307e-05,0.3424043493924731,0.34194477993907735,0.0004595694533957584,0.9933110367892977,0.03904644455947605,0.039038867854753065,7.576704722981788e-06,True,0.004209365769012909,0.005305855357444694,100.3910814221389,100.69119598996495,0.9970194557242525,0.7777454077599439,0.5989565253257751,0.807404637336731,True,True,False,False,False,local_virtual_official_importer_export_fig5_fig6_task_protocol_proxy_not_paper_level
obstacle_avoidance,seed_group_0_existing,20260691,res/level_c/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout_eval/obstacle_avoidance/obstacle_avoidance_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout_eval/obstacle_avoidance/receding_latent_guidance_rollout_20260620_100309_seed20260691/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.0239038624408278,0.02388587447014142,1.7987970686379057e-05,0.3443574130933819,0.3451519181895814,-0.0007945050961994937,0.9665551839464883,0.009885606686133006,0.009885309419803395,2.9726632961062683e-07,True,0.013045256442322628,0.005581019775987529,105.18927449226268,105.42142344477784,0.997797895864717,0.779043092376811,0.6126689910888672,0.8077148795127869,True,True,True,True,True,local_virtual_official_importer_export_fig5_fig6_task_protocol_proxy_not_paper_level
composed,seed_group_0_existing,20260692,res/level_c/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout_eval/composed/composed_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout_eval/composed/receding_latent_guidance_rollout_20260620_100550_seed20260692/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.023154594104606224,0.022340207010270858,0.0008143870943353657,0.3443543917957357,0.3462807942792325,-0.0019264024834967919,0.9665551839464883,0.08491649589560503,0.0848539347408408,6.256115476423283e-05,True,0.0035757161906281782,0.0055294353157250165,105.89047153193385,105.840670273439,1.0004705304526718,0.7749871773065931,0.5279965400695801,0.806369960308075,True,True,True,True,True,local_virtual_official_importer_export_fig5_fig6_task_protocol_proxy_not_paper_level
joystick,seed_group_1,20260801,res/level_c/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/joystick/joystick_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/joystick/receding_latent_guidance_rollout_20260620_143115_seed20260801/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.02312989044626147,0.022366388171387953,0.0007635022748735155,0.34429267477431025,0.3444271515245023,-0.00013447675019206962,0.9765886287625418,0.07110837855715815,0.07104228878001305,6.608977714509868e-05,True,0.0020962920352866534,0.005763728180985213,92.03839631495566,92.39346436711267,0.9961570003399137,0.7700740317237815,0.22637754678726196,0.8201650977134705,True,True,True,True,True,local_virtual_official_importer_export_fig5_fig6_task_protocol_proxy_not_paper_level
waypoint,seed_group_1,20260802,res/level_c/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/waypoint/waypoint_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/waypoint/receding_latent_guidance_rollout_20260620_143356_seed20260802/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.02291637466423039,0.02372584985974042,-0.0008094751955100322,0.3450491684535674,0.3452641568255664,-0.0002149883719989587,0.979933110367893,0.03908848638543516,0.03908090075995013,7.585625485034292e-06,True,0.003383127476027391,0.005331761280175681,78.73758102272532,78.8034832665044,0.9991637140764933,0.7709924861738913,0.21656793355941772,0.8119785785675049,True,True,False,True,True,local_virtual_official_importer_export_fig5_fig6_task_protocol_proxy_not_paper_level
obstacle_avoidance,seed_group_1,20260803,res/level_c/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/obstacle_avoidance/obstacle_avoidance_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/obstacle_avoidance/receding_latent_guidance_rollout_20260620_143633_seed20260803/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.02196649725651711,0.021566324949850106,0.000400172306667005,0.3427552546944507,0.34287409937900043,-0.00011884468454975705,0.979933110367893,0.010472611524164677,0.010472263399524034,3.4812464064180255e-07,True,0.002377683239546889,0.005468740756973813,123.5469701951937,123.51591219618638,1.0002514493756722,0.7752097583933418,0.5529332160949707,0.8300507068634033,True,True,True,True,True,local_virtual_official_importer_export_fig5_fig6_task_protocol_proxy_not_paper_level
composed,seed_group_1,20260804,res/level_c/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/composed/composed_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/composed/receding_latent_guidance_rollout_20260620_143911_seed20260804/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.022456721799840595,0.022680498670512517,-0.0002237768706719219,0.34456651097157326,0.34397029547787034,0.0005962154937029229,0.9866220735785953,0.08647233316282364,0.08640847099714455,6.386216567910236e-05,True,0.005091966641663813,0.006197403377656776,133.84287239436034,133.81635386464143,1.000198171067684,0.7674746579151089,0.33874380588531494,0.816069483757019,True,True,False,False,False,local_virtual_official_importer_export_fig5_fig6_task_protocol_proxy_not_paper_level
joystick,seed_group_2,20260811,res/level_c/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/joystick/joystick_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/joystick/receding_latent_guidance_rollout_20260620_144148_seed20260811/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.025090051732371783,0.026047450051110324,-0.0009573983187385407,0.3436736341902245,0.3432192904095985,0.000454343780626032,0.9765886287625418,0.07037177114407953,0.07030621208375114,6.555906032838152e-05,True,0.008866050748097895,0.005739406688546446,94.93200218084628,94.95194126982172,0.9997900086221642,0.7734750106581876,0.4687846899032593,0.8084185123443604,True,True,False,False,False,local_virtual_official_importer_export_fig5_fig6_task_protocol_proxy_not_paper_level
waypoint,seed_group_2,20260812,res/level_c/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/waypoint/waypoint_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/waypoint/receding_latent_guidance_rollout_20260620_144428_seed20260812/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.02051816950474296,0.022134663261485638,-0.001616493756742679,0.3431730674062684,0.342409258004415,0.0007638094018533881,0.9832775919732442,0.03968890222493422,0.03968121581726449,7.686407669730809e-06,True,0.00377929525355325,0.00554902934346107,122.63481830163477,122.84410221166365,0.9982963454796692,0.7677982813339169,0.23498672246932983,0.8175070285797119,True,True,False,False,False,local_virtual_official_importer_export_fig5_fig6_task_protocol_proxy_not_paper_level
