task,seed_group,seed,rollout_steps,guided_reward_mean,guided_target_body_error_mean,guided_done_count_total,guidance_cost_delta_mean,guided_base_action_mse_mean,mp4,mp4_size_bytes,mp4_sha256,keyframes_png,keyframes_png_size_bytes,metrics_png,metrics_csv,source_json,github_policy,claim_level,limitation
joystick,seed_group_0_existing,,299,0.02026389510897191,0.3444918692111969,299,6.780769040552669e-05,8.954698562405134e-08,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,2794119,d53181650db89c14374b7b2fa159b91b0a9ad4b57979a75a022ee29c56772610,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_keyframes.png,431460,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.png,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.csv,res/level_c/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout_eval/joystick/joystick_task_conditioned_latent_guidance_rollout_eval.json,do_not_commit_mp4_commit_index_and_contact_sheet_only,local_virtual_official_importer_export_guidance_video_evidence_not_paper_fig5_fig6,"Local official-importer-export IsaacLab rollout with local PPO/VAE/denoiser checkpoints and proxy costs; not official BeyondMimic Fig. 5/Fig. 6, TensorRT deployment, or real-robot evidence."
waypoint,seed_group_0_existing,,299,0.023516151245783105,0.3424043357372284,299,7.576704722981788e-06,8.25262988760002e-08,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,2764525,b188b7c86b7df6cab9109668da847aaba20de4e2a327bcc1f79146c5bc4fcca4,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_keyframes.png,463231,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.png,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.csv,res/level_c/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout_eval/waypoint/waypoint_task_conditioned_latent_guidance_rollout_eval.json,do_not_commit_mp4_commit_index_and_contact_sheet_only,local_virtual_official_importer_export_guidance_video_evidence_not_paper_fig5_fig6,"Local official-importer-export IsaacLab rollout with local PPO/VAE/denoiser checkpoints and proxy costs; not official BeyondMimic Fig. 5/Fig. 6, TensorRT deployment, or real-robot evidence."
obstacle_avoidance,seed_group_0_existing,,299,0.0239038624408278,0.344357430934906,299,2.9726632961062683e-07,6.430640686096747e-08,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,2742315,6da1956817a318d0256f9b8d1c36002dbc1c1d0fb6f16aace4336f4174fb75bb,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_keyframes.png,467275,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.png,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.csv,res/level_c/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout_eval/obstacle_avoidance/obstacle_avoidance_task_conditioned_latent_guidance_rollout_eval.json,do_not_commit_mp4_commit_index_and_contact_sheet_only,local_virtual_official_importer_export_guidance_video_evidence_not_paper_fig5_fig6,"Local official-importer-export IsaacLab rollout with local PPO/VAE/denoiser checkpoints and proxy costs; not official BeyondMimic Fig. 5/Fig. 6, TensorRT deployment, or real-robot evidence."
composed,seed_group_0_existing,,299,0.023154594104606224,0.34435439109802246,299,6.256115476423283e-05,6.923221049811308e-08,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,2740335,df118e49ba20df382bf225efb771109b33160a4f8ec751ffbd5e6fb76165ad3a,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_keyframes.png,465026,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.png,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.csv,res/level_c/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout_eval/composed/composed_task_conditioned_latent_guidance_rollout_eval.json,do_not_commit_mp4_commit_index_and_contact_sheet_only,local_virtual_official_importer_export_guidance_video_evidence_not_paper_fig5_fig6,"Local official-importer-export IsaacLab rollout with local PPO/VAE/denoiser checkpoints and proxy costs; not official BeyondMimic Fig. 5/Fig. 6, TensorRT deployment, or real-robot evidence."
joystick,seed_group_1,20260801,299,0.02312989044626147,0.34429267048835754,299,6.608977714509868e-05,7.053012775376158e-08,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,2641646,31ba2f65419ca6514b2758bd63fcb201ca4c8f9ff87f7a6599271707745ddd10,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_keyframes.png,459828,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.png,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.csv,res/level_c/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/joystick/joystick_task_conditioned_latent_guidance_rollout_eval.json,do_not_commit_mp4_commit_index_and_contact_sheet_only,local_virtual_official_importer_export_guidance_video_evidence_not_paper_fig5_fig6,"Local official-importer-export IsaacLab rollout with local PPO/VAE/denoiser checkpoints and proxy costs; not official BeyondMimic Fig. 5/Fig. 6, TensorRT deployment, or real-robot evidence."
waypoint,seed_group_1,20260802,299,0.02291637466423039,0.3450491726398468,299,7.585625485034292e-06,8.298339098226873e-08,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,2724116,32a73b9a483c699ca5a2bf9996af01f5e5a738ec6b87efb4c9414792d5c59d94,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_keyframes.png,463785,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.png,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.csv,res/level_c/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/waypoint/waypoint_task_conditioned_latent_guidance_rollout_eval.json,do_not_commit_mp4_commit_index_and_contact_sheet_only,local_virtual_official_importer_export_guidance_video_evidence_not_paper_fig5_fig6,"Local official-importer-export IsaacLab rollout with local PPO/VAE/denoiser checkpoints and proxy costs; not official BeyondMimic Fig. 5/Fig. 6, TensorRT deployment, or real-robot evidence."
obstacle_avoidance,seed_group_1,20260803,299,0.02196649725651711,0.3427552580833435,299,3.4812464064180255e-07,9.071782924194852e-08,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,2793204,811ffe131a83954511f8d224b5d50879f884c5c78861bea2d5a800892ef3a791,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_keyframes.png,457174,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.png,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.csv,res/level_c/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/obstacle_avoidance/obstacle_avoidance_task_conditioned_latent_guidance_rollout_eval.json,do_not_commit_mp4_commit_index_and_contact_sheet_only,local_virtual_official_importer_export_guidance_video_evidence_not_paper_fig5_fig6,"Local official-importer-export IsaacLab rollout with local PPO/VAE/denoiser checkpoints and proxy costs; not official BeyondMimic Fig. 5/Fig. 6, TensorRT deployment, or real-robot evidence."
composed,seed_group_1,20260804,299,0.022456721799840595,0.3445664942264557,299,6.386216567910236e-05,8.797246420965017e-08,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,2815947,bd034fc889d1b518daca4285ac2787323453cc0afc15eed1b105df88f5b777e7,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_keyframes.png,431762,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.png,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.csv,res/level_c/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/composed/composed_task_conditioned_latent_guidance_rollout_eval.json,do_not_commit_mp4_commit_index_and_contact_sheet_only,local_virtual_official_importer_export_guidance_video_evidence_not_paper_fig5_fig6,"Local official-importer-export IsaacLab rollout with local PPO/VAE/denoiser checkpoints and proxy costs; not official BeyondMimic Fig. 5/Fig. 6, TensorRT deployment, or real-robot evidence."
joystick,seed_group_2,20260811,299,0.025090051732371783,0.3436736464500427,299,6.555906032838152e-05,6.717022368047779e-08,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,2796238,629909b5da3e0af1ab22b0890af77f289cb68098aa1f5aed4b853fb3b522a8ae,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_keyframes.png,452469,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.png,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.csv,res/level_c/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/joystick/joystick_task_conditioned_latent_guidance_rollout_eval.json,do_not_commit_mp4_commit_index_and_contact_sheet_only,local_virtual_official_importer_export_guidance_video_evidence_not_paper_fig5_fig6,"Local official-importer-export IsaacLab rollout with local PPO/VAE/denoiser checkpoints and proxy costs; not official BeyondMimic Fig. 5/Fig. 6, TensorRT deployment, or real-robot evidence."
waypoint,seed_group_2,20260812,299,0.02051816950474296,0.343173086643219,299,7.686407669730809e-06,9.318779056177691e-08,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,2809950,b61bf892bba2a6313eb6461d0f984e355b307c9766cdeaebd8a88a3875ba73d0,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_keyframes.png,478840,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.png,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_metrics.csv,res/level_c/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/waypoint/waypoint_task_conditioned_latent_guidance_rollout_eval.json,do_not_commit_mp4_commit_index_and_contact_sheet_only,local_virtual_official_importer_export_guidance_video_evidence_not_paper_fig5_fig6,"Local official-importer-export IsaacLab rollout with local PPO/VAE/denoiser checkpoints and proxy costs; not official BeyondMimic Fig. 5/Fig. 6, TensorRT deployment, or real-robot evidence."
