sample_index,rank,motion_time_step,motion,family,pc1,pc2,root_speed_mps,reward,done
1,0,7799,sprint1_subject2,sprint,0.056071895146430246,0.12334936479836417,0.0034723559598839712,0.012581061571836472,True
18,0,6224,jumps1_subject2,jumps,-0.12444717107343421,0.05025764749249735,0.011045349784564933,0.02762206271290779,True
23,0,8257,sprint1_subject4,sprint,0.08997356537802617,-0.1802815542418993,0.22969767633936344,0.011771430261433125,True
62,0,7912,sprint1_subject2,sprint,-0.20922336375832362,-0.11216969294447687,0.24661938161741642,0.031592175364494324,True
77,0,4787,fight1_subject5,fight,0.11799184199167705,-0.07477894073893067,0.004409592229054511,0.02223765105009079,True
108,0,8218,sprint1_subject4,sprint,0.06601497423645047,0.349515724483072,0.019741057648719022,0.009760715067386627,True
135,0,11683,walk4_subject1,walk,0.06802272479703356,-0.02433097359591248,0.003770543725825531,0.033557385206222534,True
163,0,8,dance1_subject1,dance,0.07963817180043521,-0.25179591730352335,0.013198702736166482,0.021617107093334198,True
172,0,2565,fallAndGetUp1_subject1,fallAndGetUp,-0.20279821307372708,0.018878282066467047,0.015056798559675151,0.014840483665466309,True
193,0,1969,dance2_subject4,dance,0.1146490692415022,0.03832859269378471,0.00976654129019161,0.03920292854309082,True
203,0,8024,sprint1_subject2,sprint,0.24398027390214536,0.056019245900297464,0.6281507265939905,0.02540811523795128,True
218,0,7035,run1_subject5,run,0.01141977785428856,-0.19129393788121046,0.43918259575679053,-0.022683653980493546,True
227,0,7874,sprint1_subject2,sprint,-0.06124677320228549,0.1443151840412807,0.03063024219996068,0.005981870461255312,True
233,0,6945,run1_subject5,run,0.1070226862528011,-0.07631267048485452,0.00411559966428291,0.030019961297512054,True
289,0,5075,fight1_subject5,fight,0.5377580865832619,0.1912630798218218,1.3228034845772543,0.002453277353197336,True
309,0,1485,dance2_subject2,dance,-0.057692647812086675,0.07019076737837818,0.002075078194193517,-0.000647097360342741,True
355,0,154,dance1_subject1,dance,0.04079159449422905,-0.08020636129846641,0.008132751804117166,0.029234372079372406,True
361,0,1839,dance2_subject4,dance,0.13830896640102633,-0.05046022642421634,0.00288250047933042,0.041640836745500565,True
367,0,4369,fight1_subject2,fight,-0.15694941389871123,-0.47780165445978046,0.29837163107524023,0.020646482706069946,True
381,0,5396,fightAndSports1_subject4,fightAndSports,0.24969034931799106,0.00608649617540008,0.0035732951895274603,0.014271656982600689,True
415,0,6356,jumps1_subject5,jumps,0.12307193731064138,-0.023856110178551593,0.006961742294674041,0.025215361267328262,True
422,0,7890,sprint1_subject2,sprint,-0.31752027748770156,-0.10826253228369716,0.06208511836802723,0.025604676455259323,True
467,0,4195,fight1_subject2,fight,-0.2268479508835672,0.05275478936413124,0.0011859616249756653,0.013016492128372192,True
517,0,11479,walk3_subject5,walk,-0.1798464443939442,-0.0767949669646447,0.1871562675032983,0.0174071304500103,True
