motion,motion_family,status,returncode,duration_seconds,official_loop_body_completed,shutdown_warning,official_loop_call_299,fake_wandb_download,uses_official_importer_export_usd,motion_npz,log,motion_audit
dance1_subject1,dance,ok,0,62.145,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/dance1_subject1/dance1_subject1_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/dance1_subject1_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/dance1_subject1/dance1_subject1_official_replay_loop_official_importer_export_audit.json
dance1_subject2,dance,ok,0,62.215,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/dance1_subject2/dance1_subject2_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/dance1_subject2_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/dance1_subject2/dance1_subject2_official_replay_loop_official_importer_export_audit.json
dance1_subject3,dance,ok,0,62.265,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/dance1_subject3/dance1_subject3_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/dance1_subject3_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/dance1_subject3/dance1_subject3_official_replay_loop_official_importer_export_audit.json
dance2_subject1,dance,ok,0,62.655,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/dance2_subject1/dance2_subject1_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/dance2_subject1_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/dance2_subject1/dance2_subject1_official_replay_loop_official_importer_export_audit.json
dance2_subject2,dance,ok,0,62.569,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/dance2_subject2/dance2_subject2_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/dance2_subject2_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/dance2_subject2/dance2_subject2_official_replay_loop_official_importer_export_audit.json
dance2_subject3,dance,ok,0,62.119,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/dance2_subject3/dance2_subject3_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/dance2_subject3_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/dance2_subject3/dance2_subject3_official_replay_loop_official_importer_export_audit.json
dance2_subject4,dance,ok,0,62.222,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/dance2_subject4/dance2_subject4_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/dance2_subject4_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/dance2_subject4/dance2_subject4_official_replay_loop_official_importer_export_audit.json
dance2_subject5,dance,ok,0,62.519,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/dance2_subject5/dance2_subject5_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/dance2_subject5_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/dance2_subject5/dance2_subject5_official_replay_loop_official_importer_export_audit.json
fallAndGetUp1_subject1,fallAndGetUp,ok,0,61.892,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/fallAndGetUp1_subject1/fallAndGetUp1_subject1_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fallAndGetUp1_subject1_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/fallAndGetUp1_subject1/fallAndGetUp1_subject1_official_replay_loop_official_importer_export_audit.json
fallAndGetUp1_subject4,fallAndGetUp,ok,0,62.192,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/fallAndGetUp1_subject4/fallAndGetUp1_subject4_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fallAndGetUp1_subject4_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/fallAndGetUp1_subject4/fallAndGetUp1_subject4_official_replay_loop_official_importer_export_audit.json
