task,seed_group,seed,summary_json,trace_npz,mp4,trace_npz_exists,mp4_exists,rollout_steps,completed_299,root_final_xy_error_m,root_mean_xy_error_m,target_body_error_mean,target_body_error_p95,target_body_error_max,reward_mean,denoised_reward_mean,reward_delta_vs_denoised,tracking_error_delta_vs_denoised,guidance_cost_delta_mean,guidance_signal_positive,min_root_height_m,min_reference_root_height_m,min_relative_root_height_m,max_abs_relative_root_height_m,done_flag_sum,fall_height_proxy,body_error_spike_anomaly_proxy,collision_contact_signal_available,collision_proxy_available,success_proxy,failure_reason,claim_level
joystick,seed_group_0_existing_scaled,20260705,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout_eval/joystick/joystick_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout_eval/joystick/receding_latent_guidance_rollout_20260621_064022_seed20260705/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,0.004540744124092168,0.00540626690856089,0.3439415488952777,0.3590095520019531,0.3652152121067047,0.022449076233313336,0.022927839628243227,-0.000478763394929891,-1.285207710138847e-05,6.848652177431113e-05,True,0.5666584968566895,0.56150883436203,-0.11105835437774658,0.11105835437774658,299.0,False,False,False,False,True,,local_virtual_scaled_ppo_success_fall_collision_proxy_not_paper_level
waypoint,seed_group_0_existing_scaled,20260706,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout_eval/waypoint/waypoint_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout_eval/waypoint/receding_latent_guidance_rollout_20260621_064251_seed20260706/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,0.007636966753137768,0.005757962852706423,0.34400721876118895,0.3581627786159515,0.3630351722240448,0.025156304768183858,0.02433063136880912,0.0008256733993747371,0.0008460335109545247,8.282827892431049e-06,True,0.6683133244514465,0.6707698106765747,-0.028305768966674805,0.028305768966674805,299.0,False,False,False,False,True,,local_virtual_scaled_ppo_success_fall_collision_proxy_not_paper_level
obstacle_avoidance,seed_group_0_existing_scaled,20260707,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout_eval/obstacle_avoidance/obstacle_avoidance_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout_eval/obstacle_avoidance/receding_latent_guidance_rollout_20260621_064533_seed20260707/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,0.0015519942928581582,0.005461200095063625,0.3430048964892741,0.35767404139041903,0.36038047075271606,0.0229376406832458,0.021848528091499838,0.001089112591745961,0.0007749215814979449,8.742658290575978e-07,True,0.46607506275177,0.46173226833343506,-0.011803209781646729,0.011803209781646729,299.0,False,False,False,False,True,,local_virtual_scaled_ppo_success_fall_collision_proxy_not_paper_level
composed,seed_group_0_existing_scaled,20260708,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout_eval/composed/composed_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout_eval/composed/receding_latent_guidance_rollout_20260621_064804_seed20260708/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,0.019182748277039276,0.005440508717600235,0.34457641919719734,0.3588463306427002,0.3651936650276184,0.025132083756082932,0.023509758857879353,0.0016223248982035789,-1.452638951432439e-05,6.488199816100972e-05,True,0.6054532527923584,0.6027988195419312,-0.032502710819244385,0.032502710819244385,299.0,False,False,False,False,True,,local_virtual_scaled_ppo_success_fall_collision_proxy_not_paper_level
joystick,seed_group_1,20260901,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/joystick/joystick_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/joystick/receding_latent_guidance_rollout_20260621_065727_seed20260901/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,0.001311923924429668,0.0054230613076022595,0.34545316903487494,0.3581744134426117,0.362045556306839,0.02411690720802416,0.023420911268284387,0.0006959959397397734,5.574718765588571e-05,6.75147692096672e-05,True,0.49818411469459534,0.47906678915023804,-0.012470066547393799,0.0191173255443573,299.0,False,False,False,False,True,,local_virtual_scaled_ppo_success_fall_collision_proxy_not_paper_level
waypoint,seed_group_1,20260902,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/waypoint/waypoint_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/waypoint/receding_latent_guidance_rollout_20260621_070007_seed20260902/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,0.0032048740060476137,0.0066134496639174015,0.3464820227495404,0.35954253375530243,0.6573469042778015,0.023856032100883016,0.02441291095701398,-0.000556878856130965,0.0018936275040425388,8.142836715864098e-06,True,0.1854856163263321,0.19216659665107727,-0.5850205570459366,0.5850205570459366,299.0,True,True,False,False,False,fall_height_proxy;body_error_spike_anomaly_proxy,local_virtual_scaled_ppo_success_fall_collision_proxy_not_paper_level
obstacle_avoidance,seed_group_1,20260903,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/obstacle_avoidance/obstacle_avoidance_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/obstacle_avoidance/receding_latent_guidance_rollout_20260621_070239_seed20260903/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,0.004839671851773236,0.006086724481069328,0.34486484178731275,0.35904190242290496,0.36248090863227844,0.024879624405221696,0.022679097952015923,0.0022005264532057728,0.0011925619581471536,9.286189358369961e-07,True,0.5562096238136292,0.5583255887031555,-0.06185334920883179,0.06185334920883179,299.0,False,False,False,False,True,,local_virtual_scaled_ppo_success_fall_collision_proxy_not_paper_level
composed,seed_group_1,20260904,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/composed/composed_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/composed/receding_latent_guidance_rollout_20260621_070518_seed20260904/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,0.006458807586093278,0.005589512009957923,0.34471650546211063,0.35973613560199735,0.37338969111442566,0.02395957630177505,0.02581319307447427,-0.0018536167726992195,0.0006175197685841516,6.218880016269493e-05,True,0.5832898616790771,0.5813338160514832,-0.12806135416030884,0.12806135416030884,299.0,False,False,False,False,True,,local_virtual_scaled_ppo_success_fall_collision_proxy_not_paper_level
joystick,seed_group_2,20260911,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/joystick/joystick_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/joystick/receding_latent_guidance_rollout_20260621_070752_seed20260911/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,0.005474670772517219,0.005896677306830611,0.34484872690411317,0.3584954500198364,0.36368241906166077,0.025025928456859546,0.024922725255523238,0.00010320320133630836,-0.0005133449034547266,6.424396432761764e-05,True,0.561288595199585,0.5510880947113037,-0.019292116165161133,0.019292116165161133,299.0,False,False,False,False,True,,local_virtual_scaled_ppo_success_fall_collision_proxy_not_paper_level
waypoint,seed_group_2,20260912,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/waypoint/waypoint_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/waypoint/receding_latent_guidance_rollout_20260621_071023_seed20260912/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,0.0012636909399205895,0.005678939250013576,0.34337323674788844,0.3587947070598602,0.47273263335227966,0.02247084091171423,0.020371737433628592,0.0020991034780856385,0.00125738111228052,8.395222018793673e-06,True,0.22773592174053192,0.22059522569179535,-0.3248746991157532,0.3248746991157532,299.0,True,False,False,False,False,fall_height_proxy,local_virtual_scaled_ppo_success_fall_collision_proxy_not_paper_level
