task,seed_group,seed,summary_json,trace_npz,mp4,trace_npz_exists,mp4_exists,rollout_steps,recorded_299_step_completion,guided_done_flag_sum,denoised_done_flag_sum,guided_reward_mean,denoised_reward_mean,reward_delta_vs_denoised,guided_target_body_error_mean,denoised_target_body_error_mean,tracking_error_delta_vs_denoised,guided_body_error_frame_success_rate_under_0p36,guidance_cost_before_mean,guidance_cost_after_mean,guidance_cost_delta_mean,guidance_signal_positive,root_final_xy_error_m,root_mean_xy_error_m,root_path_length_xy_m,reference_path_length_xy_m,root_path_length_ratio,root_height_mean_m,root_height_min_m,root_height_max_m,endpoint_proxy_pass,target_body_mean_proxy_pass,reward_improved_vs_denoised,tracking_error_not_worse_vs_denoised,local_task_protocol_proxy_pass,claim_level
joystick,seed_group_0_existing_scaled,20260705,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout_eval/joystick/joystick_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout_eval/joystick/receding_latent_guidance_rollout_20260621_064022_seed20260705/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.022449076233313336,0.022927839628243227,-0.000478763394929891,0.3439415488952777,0.3439544009723791,-1.285207710138847e-05,0.9665551839464883,0.0921205153009764,0.09205202877920209,6.848652177431113e-05,True,0.004540744124092168,0.00540626690856089,107.81491469987452,107.86230407217678,0.9995606493602199,0.7755538904945986,0.5666584968566895,0.8074473142623901,True,True,False,True,True,local_virtual_official_importer_export_scaled_ppo_fig5_fig6_task_protocol_proxy_not_paper_level
waypoint,seed_group_0_existing_scaled,20260706,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout_eval/waypoint/waypoint_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout_eval/waypoint/receding_latent_guidance_rollout_20260621_064251_seed20260706/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.025156304768183858,0.02433063136880912,0.0008256733993747371,0.34400721876118895,0.3431611852502344,0.0008460335109545247,0.9765886287625418,0.05864469327007648,0.058636410442184046,8.282827892431049e-06,True,0.007636966753137768,0.005757962852706423,100.75655472401994,100.89557221206931,0.9986221646302061,0.7804615202556087,0.6683133244514465,0.8110696077346802,True,True,True,False,True,local_virtual_official_importer_export_scaled_ppo_fig5_fig6_task_protocol_proxy_not_paper_level
obstacle_avoidance,seed_group_0_existing_scaled,20260707,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout_eval/obstacle_avoidance/obstacle_avoidance_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout_eval/obstacle_avoidance/receding_latent_guidance_rollout_20260621_064533_seed20260707/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.0229376406832458,0.021848528091499838,0.001089112591745961,0.3430048964892741,0.3422299749077762,0.0007749215814979449,0.9933110367892977,0.02840936180191694,0.028408487536087882,8.742658290575978e-07,True,0.0015519942928581582,0.005461200095063625,86.6513001094014,86.5112932654296,1.0016183649404273,0.7759673908402689,0.46607506275177,0.8071606159210205,True,True,True,False,True,local_virtual_official_importer_export_scaled_ppo_fig5_fig6_task_protocol_proxy_not_paper_level
composed,seed_group_0_existing_scaled,20260708,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout_eval/composed/composed_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout_eval/composed/receding_latent_guidance_rollout_20260621_064804_seed20260708/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.025132083756082932,0.023509758857879353,0.0016223248982035789,0.34457641919719734,0.34459094558671166,-1.452638951432439e-05,0.9732441471571907,0.10518247703943763,0.10511759504127662,6.488199816100972e-05,True,0.019182748277039276,0.005440508717600235,79.4313917862469,79.37605280489257,1.000697174769957,0.7779510916276121,0.6054532527923584,0.8083257079124451,True,True,True,True,True,local_virtual_official_importer_export_scaled_ppo_fig5_fig6_task_protocol_proxy_not_paper_level
joystick,seed_group_1,20260901,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/joystick/joystick_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/joystick/receding_latent_guidance_rollout_20260620_221546_seed20260901/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.02411690720802416,0.023420911268284387,0.0006959959397397734,0.34545316903487494,0.34539742184721905,5.574718765588571e-05,0.9832775919732442,0.09009456127433474,0.09002704650512507,6.75147692096672e-05,True,0.001311923924429668,0.0054230613076022595,76.38236226457957,76.30273602032179,1.0010435568684795,0.7767052643474528,0.49818411469459534,0.8066750764846802,True,True,True,False,True,local_virtual_official_importer_export_scaled_ppo_fig5_fig6_task_protocol_proxy_not_paper_level
waypoint,seed_group_1,20260902,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/waypoint/waypoint_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/waypoint/receding_latent_guidance_rollout_20260620_221816_seed20260902/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.023856032100883016,0.02441291095701398,-0.000556878856130965,0.3464820227495404,0.34458839524549784,0.0018936275040425388,0.9565217391304348,0.05954642724681857,0.05953828441010271,8.142836715864098e-06,True,0.0032048740060476137,0.0066134496639174015,107.19660951997598,107.45657810088612,0.9975807104087563,0.7721218774749283,0.1854856163263321,0.8247873783111572,True,True,False,False,False,local_virtual_official_importer_export_scaled_ppo_fig5_fig6_task_protocol_proxy_not_paper_level
obstacle_avoidance,seed_group_1,20260903,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/obstacle_avoidance/obstacle_avoidance_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/obstacle_avoidance/receding_latent_guidance_rollout_20260620_222050_seed20260903/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.024879624405221696,0.022679097952015923,0.0022005264532057728,0.34486484178731275,0.3436722798291656,0.0011925619581471536,0.9732441471571907,0.030636309823613102,0.030635381204677264,9.286189358369961e-07,True,0.004839671851773236,0.006086724481069328,87.09322005266463,87.20545397400075,0.9987129942426586,0.7760405674028557,0.5562096238136292,0.8091970086097717,True,True,True,False,True,local_virtual_official_importer_export_scaled_ppo_fig5_fig6_task_protocol_proxy_not_paper_level
composed,seed_group_1,20260904,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/composed/composed_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/composed/receding_latent_guidance_rollout_20260620_222323_seed20260904/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.02395957630177505,0.02581319307447427,-0.0018536167726992195,0.34471650546211063,0.3440989856935265,0.0006175197685841516,0.9531772575250836,0.10336516976954546,0.10330298096938277,6.218880016269493e-05,True,0.006458807586093278,0.005589512009957923,94.4696929665705,94.46490542469762,1.000050680640089,0.7790443129762757,0.5832898616790771,0.8134781718254089,True,True,False,False,False,local_virtual_official_importer_export_scaled_ppo_fig5_fig6_task_protocol_proxy_not_paper_level
joystick,seed_group_2,20260911,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/joystick/joystick_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/joystick/receding_latent_guidance_rollout_20260620_222555_seed20260911/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.025025928456859546,0.024922725255523238,0.00010320320133630836,0.34484872690411317,0.3453620718075679,-0.0005133449034547266,0.9832775919732442,0.08836635906112233,0.08830211509679473,6.424396432761764e-05,True,0.005474670772517219,0.005896677306830611,120.56090151812006,120.62787968120203,0.9994447538723304,0.7768999920242208,0.561288595199585,0.8066259026527405,True,True,True,True,True,local_virtual_official_importer_export_scaled_ppo_fig5_fig6_task_protocol_proxy_not_paper_level
waypoint,seed_group_2,20260912,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/waypoint/waypoint_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/waypoint/receding_latent_guidance_rollout_20260620_222827_seed20260912/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.02247084091171423,0.020371737433628592,0.0020991034780856385,0.34337323674788844,0.3421158556356079,0.00125738111228052,0.9765886287625418,0.05966867581259048,0.059660280590571685,8.395222018793673e-06,True,0.0012636909399205895,0.005678939250013576,113.17206980633841,113.10594289497567,1.0005846457725405,0.7653757092047695,0.22773592174053192,0.8105234503746033,True,True,True,False,True,local_virtual_official_importer_export_scaled_ppo_fig5_fig6_task_protocol_proxy_not_paper_level
