task,split,scale,window_count,base_cost_mean,guided_cost_mean,cost_delta_mean,positive_delta_fraction,gradient_norm_mean,finite
composed,test,0.0,114278,0.13988688742111585,0.13988688742111585,0.0,0.0,0.00016278258632598078,True
composed,test,0.0005,114278,0.13988688742111585,0.13988688142599265,6.551709819808895e-09,0.4216297100435004,0.00016278258632598078,True
composed,test,0.001,114278,0.13988688742111585,0.1398868752706153,1.2802339986244787e-08,0.7416913142393345,0.00016278258632598078,True
composed,test,0.002,114278,0.13988688742111585,0.13988686259919084,2.5856731493975425e-08,0.9888517476431696,0.00016278258632598078,True
composed,test,0.005,114278,0.13988688742111585,0.13988682190127938,6.511607156138062e-08,1.0,0.00016278258632598078,True
composed,test,0.01,114278,0.13988688742111585,0.13988675315015014,1.3442815566111549e-07,1.0,0.00016278258632598078,True
composed,validation,0.0,114279,0.13990751152334138,0.13990751152334138,0.0,0.0,0.00016234536597416467,True
composed,validation,0.0005,114279,0.13990751152334138,0.13990750511427344,6.5446764727363275e-09,0.42130225150910156,0.00016234536597416467,True
composed,validation,0.001,114279,0.13990751152334138,0.13990749902558067,1.2751700735429967e-08,0.7400747294039125,0.00016234536597416467,True
composed,validation,0.002,114279,0.13990751152334138,0.1399074851392668,2.582468938186406e-08,0.9889568512150089,0.00016234536597416467,True
composed,validation,0.005,114279,0.13990751152334138,0.13990744631076216,6.490054919955579e-08,1.0,0.00016234536597416467,True
composed,validation,0.01,114279,0.13990751152334138,0.13990737801374076,1.34035279289899e-07,1.0,0.00016234536597416467,True
latent_magnitude,test,0.0,114278,0.11901230336546838,0.11901230336546838,0.0,0.0,5.1881786297770337e-05,True
latent_magnitude,test,0.0005,114278,0.11901230336546838,0.11901230336546838,0.0,0.0,5.1881786297770337e-05,True
latent_magnitude,test,0.001,114278,0.11901230336546838,0.11901230336546838,0.0,0.0,5.1881786297770337e-05,True
latent_magnitude,test,0.002,114278,0.11901230336546838,0.11901230336546838,0.0,0.0,5.1881786297770337e-05,True
latent_magnitude,test,0.005,114278,0.11901230336546838,0.11901230331200685,3.70970818735554e-11,0.001732616903137682,5.1881786297770337e-05,True
latent_magnitude,test,0.01,114278,0.11901230336546838,0.11901228391779571,1.9498624107200997e-08,0.956728329361982,5.1881786297770337e-05,True
latent_magnitude,validation,0.0,114279,0.11903488614247765,0.11903488614247765,0.0,0.0,5.1746582623528336e-05,True
latent_magnitude,validation,0.0005,114279,0.11903488614247765,0.11903488614247765,0.0,0.0,5.1746582623528336e-05,True
latent_magnitude,validation,0.001,114279,0.11903488614247765,0.11903488614247765,0.0,0.0,5.1746582623528336e-05,True
latent_magnitude,validation,0.002,114279,0.11903488614247765,0.11903488614247765,0.0,0.0,5.1746582623528336e-05,True
