task,variant,reward_mean,target_body_error_mean,done_count_total,guided_teacher_action_mse_mean,guided_base_action_mse_mean,guidance_cost_delta_mean,mp4,asset_json,claim_level
joystick,teacher,0.023489066368485974,0.345968097448349,299,0.00025361384328686007,4.897954817301432e-05,6.327100322398056e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_official_importer_export_scaled_ppo_task_conditioned_guidance_rollout
joystick,vae_base,0.02437043720139907,0.3449832797050476,299,0.0002538947263500111,5.199532321520744e-05,6.399737253635623e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_official_importer_export_scaled_ppo_task_conditioned_guidance_rollout
joystick,denoised_latent,0.022927839628243227,0.3439543843269348,299,0.00024548175589800156,4.533377003868876e-05,6.56435023183408e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_official_importer_export_scaled_ppo_task_conditioned_guidance_rollout
joystick,receding_latent_guided,0.022449076233313336,0.3439415395259857,299,0.00024559778404884653,4.214038245571673e-05,6.848652177431113e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_official_importer_export_scaled_ppo_task_conditioned_guidance_rollout
waypoint,teacher,0.0247933447024595,0.3429092466831207,299,0.00026406612153590214,4.972180609633124e-05,8.37510046751603e-06,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_official_importer_export_scaled_ppo_task_conditioned_guidance_rollout
waypoint,vae_base,0.023931040733828395,0.3441619277000427,299,0.0002528784803798528,4.590357551840872e-05,8.233950588615442e-06,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_official_importer_export_scaled_ppo_task_conditioned_guidance_rollout
waypoint,denoised_latent,0.02433063136880912,0.3431611955165863,299,0.0002636639254580775,5.138681969466069e-05,8.200298384280508e-06,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_official_importer_export_scaled_ppo_task_conditioned_guidance_rollout
waypoint,receding_latent_guided,0.025156304768183858,0.3440071940422058,299,0.00025603319190728343,4.982631659220222e-05,8.282827892431049e-06,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_official_importer_export_scaled_ppo_task_conditioned_guidance_rollout
obstacle_avoidance,teacher,0.019707394622104323,0.34678879380226135,287,0.0004426489449116864,5.35924586565792e-05,9.97505658446347e-07,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_official_importer_export_scaled_ppo_task_conditioned_guidance_rollout
obstacle_avoidance,vae_base,0.0224366608561705,0.34266397356987,299,0.0002453824548573657,4.386079206180335e-05,8.865630247919855e-07,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_official_importer_export_scaled_ppo_task_conditioned_guidance_rollout
obstacle_avoidance,denoised_latent,0.021848528091499838,0.342229962348938,299,0.00024421229515357855,4.9100908154134936e-05,8.969788866298254e-07,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_official_importer_export_scaled_ppo_task_conditioned_guidance_rollout
obstacle_avoidance,receding_latent_guided,0.0229376406832458,0.34300488233566284,299,0.00023609474347330035,4.433473234212063e-05,8.742658290575978e-07,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_official_importer_export_scaled_ppo_task_conditioned_guidance_rollout
composed,teacher,0.024672665955642097,0.3442157208919525,299,0.0002522792827367571,5.0932175039822846e-05,6.332020446608298e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_official_importer_export_scaled_ppo_task_conditioned_guidance_rollout
composed,vae_base,0.024393012437246814,0.34230709075927734,299,0.0002472199444416879,4.369196865082892e-05,6.350939688475236e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_official_importer_export_scaled_ppo_task_conditioned_guidance_rollout
composed,denoised_latent,0.023509758857879353,0.3445909321308136,299,0.00024897211875079704,5.004335890630637e-05,6.158874186385036e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_official_importer_export_scaled_ppo_task_conditioned_guidance_rollout
composed,receding_latent_guided,0.025132083756082932,0.3445764183998108,299,0.00024377328805943926,4.69033457373897e-05,6.488199816100972e-05,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_receding_latent_guidance_rollout_asset.json,local_virtual_official_importer_export_scaled_ppo_task_conditioned_guidance_rollout
