kind	name	exists_or_passed	detail
file	resolved_config.yaml	True	319
file	command.sh	True	130
file	stdout.log	True	80
file	stderr.log	True	0
file	environment.txt	True	296
file	git_state.txt	True	160
file	gpu_metrics.csv	True	9057
file	metrics.json	True	406
file	metrics.csv	True	323
file	status.json	True	327
dir	checkpoint	True	
dir	figures	True	
dir	videos	True	
check	run_id_matches_goal_pattern	True	
check	all_required_files_exist	True	
check	all_required_dirs_exist	True	
check	status_is_allowed	True	
check	does_not_mark_success_without_training	True	
check	metrics_json_has_required_runtime_fields	True	
check	gpu_metrics_present	True	
check	checkpoint_figures_videos_dirs_exist	True	
