key	relative_path	exists	size_bytes	sha256
scope_readme	download/README_download_scope.md	True	3106	eff8fa1cc070a8c604cfb8427af798f8ba44bf25cdd16208ae5ed6ff86152e6c
downloaded_files_manifest	download/manifests/downloaded_files.tsv	True	793477	251dc160962c56f6e0bd28905da105048387cb197e0c1345a3b317ca0a45c783
git_revisions_manifest	download/manifests/git_revisions.tsv	True	3401	6a3cf225623e9419dffb03ab6922d05f75b449addf891b91b03f9f8865055cbf
resource_sources_manifest	download/manifests/resource_sources.md	True	4206	f8adca299c9f02255524f3f67094673934515bfed36739565d38c42bc49bb453
zenodo_metadata	download/manifests/zenodo_17529720_metadata.json	True	10086	51e9a6f80e9673a71087783c8eb71e7c042ec9b898bba9d1b4ef2996c9f5e677
paper_pdf	download/papers/BeyondMimic_2508.08241.pdf	True	12502471	6219a2b66ccdab4233a1043439bceaaea3252dadbb037b470671584fc1487db1
paper_source_tar	download/papers/BeyondMimic_2508.08241_source.tar	True	11439625	6f6d18c7da097d9297784ba8a485fbed1d49a6e5e4d695a00b2a3b2009ea5b5d
official_dataset_zip	download/official/Dataset_beyondmimic.zip	True	3636273065	540d04571791dc8c684443a6334d7e74bef61a1c231237a9f5f9dfacd4647ae1
official_lafan_readme	download/official/LAFAN1_Retargeting_Dataset/README.md	True	4268	e741899b5c42b8654cc49ead2584e46b44425d1ba7b04fd66165c970814c3f5d
official_lafan_infos	download/official/LAFAN1_Retargeting_Dataset/dataset_infos.json	True	1278	2c3033668aa64af604c1f1e8943a109d5c075ac732d6235b01f809b102c41cde
official_whole_body_tracking	download/official/whole_body_tracking/README.md	True	7266	d96689b761fdc290004cbfaaa2a429a457ed11eae402eec2ce9d85453dcd607d
official_motion_tracking_controller	download/official/motion_tracking_controller/README.md	True	5509	7ec0de7cfc1975439743e66fd0ec8173de99072e17b53ab222f9288552cdc960
official_unitree_description	download/official/unitree_description.tar.gz	True	55579791	b514bc9ddd1039c29a0e6feea9f57f1503f6657d07d97a4ef8a7b11fbebe6674
isaaclab_version	download/dependencies/IsaacLab-v2.1.0/VERSION	True	7	e99cb4f50aeb36865f25a2859350bfcad129424a39303d8e0b76dda6eedbfb61
rsl_rl_setup	download/dependencies/rsl_rl/setup.py	True	175	4577db1eb0e377c1ac1d55cd98f8265079e034defd769d5ad43e4fe2cf936423
unitree_bringup_package	download/dependencies/unitree_bringup/package.xml	True	519	20ef8ba7cce3bf64f9528b463f328fa92709e3147a9a44832bd661c7acf5aa85
supplemental_manifest	download/_supplemental/supplemental_downloads.tsv	True	628	070199993a8d9bc49222eb8a68c37a4d33a1afb0fee13edecd428ecfe5a8e52c
