figure_id	relative_path	absolute_path	size_bytes	sha256
ablation_orientation_representation	res/released_figures/ablation_orientation_representation/ablation_orientation_representation_processed.csv	/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_orientation_representation/ablation_orientation_representation_processed.csv	2145	c7d835f8d3ffdd4978e1bb4f8e0c7f57bed3aa1f332dd7c3200156e23d523a6f
ablation_observation_history	res/released_figures/ablation_observation_history/ablation_observation_history_processed.csv	/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_observation_history/ablation_observation_history_processed.csv	2796	1e8503df45b18c384bf517c0366f6af33ba28a28435bef8e5af85667bf8b24c5
ablation_armature	res/released_figures/ablation_armature/ablation_armature_processed.csv	/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_armature/ablation_armature_processed.csv	2832	b7bce567d298009bb117a95d03b80e9195aa7b7171db61dff80a84419750d687
ablation_latency	res/released_figures/ablation_latency/ablation_latency_processed.csv	/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_latency/ablation_latency_processed.csv	2727	7f856443dd5fa62ba40dccfd7a480b954b237217dd5b8669679a6e439e5767b6
ablation_pd_gain	res/released_figures/ablation_pd_gain/ablation_pd_gain_processed.csv	/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_pd_gain/ablation_pd_gain_processed.csv	2790	5d28af8ec74c6c33f2b7e679fe04c15285ac1cb15078c2e33752163ff942a511
grf_walk_human_reference	res/released_figures/grf_walk_human_reference/grf_walk_human_reference_processed.csv	/mnt/infini-data/test/BeyondMimic/res/released_figures/grf_walk_human_reference/grf_walk_human_reference_processed.csv	17879	946702d9b8c4a408c58889bcd3e9bd21c57ce11c23da32b03ad2efc9bfe43c24
grf_walk_robot_real	res/released_figures/grf_walk_robot_real/grf_walk_robot_real_processed.csv	/mnt/infini-data/test/BeyondMimic/res/released_figures/grf_walk_robot_real/grf_walk_robot_real_processed.csv	18874	7b3011d2647b19a1999ae1dca01f5415c470ef05b2c3e68f10250d534b4c5972
grf_run_human_reference	res/released_figures/grf_run_human_reference/grf_run_human_reference_processed.csv	/mnt/infini-data/test/BeyondMimic/res/released_figures/grf_run_human_reference/grf_run_human_reference_processed.csv	6765	c2381859def4562675fc931df97df4b14bc9413ee5b740075dd6fd111a74a4b3
grf_run_robot_real	res/released_figures/grf_run_robot_real/grf_run_robot_real_processed.csv	/mnt/infini-data/test/BeyondMimic/res/released_figures/grf_run_robot_real/grf_run_robot_real_processed.csv	18785	ddfbb7bbe267c5556cd873616e657d79b7171fbf67b5d5c7dd0370192800fb96
imu_orientation_accel_angular_velocity	res/released_figures/imu_orientation_accel_angular_velocity/imu_orientation_accel_angular_velocity_processed.csv	/mnt/infini-data/test/BeyondMimic/res/released_figures/imu_orientation_accel_angular_velocity/imu_orientation_accel_angular_velocity_processed.csv	1416875	7044ce8ae223badd87313d8eb9440c8cd783e3aa229b6643f7f71f50debcd84d
