section	key	value
metrics	audited_source_file_count	14
metrics	declared_dependency_count	10
metrics	controller_type_count	3
metrics	manager_update_rate_hz	500
metrics	walking_update_rate_hz	50
metrics	standby_joint_count	29
metrics	motion_command_dim_for_29_joints	58
metrics	motion_observation_dim_formula_for_n_bodies	"""9 + 9 * body_names_count"""
metrics	motion_observation_dim_for_14_target_bodies	135
metrics	failed_check_count	0
checks	official_source_tree_present	true
checks	git_commit_recorded	true
checks	package_and_plugin_match_motion_tracking_controller	true
checks	package_declares_core_controller_dependencies	true
checks	launch_references_unitree_description_and_robot_state_publisher	true
checks	controller_yaml_has_expected_rates_and_29_joint_standby	true
checks	controller_yaml_has_state_standby_walking_types	true
checks	sim_launch_starts_walking_real_launch_starts_standby	true
checks	launches_support_policy_path_wandb_and_start_step	true
checks	real_launch_has_network_interface_and_rosbag_boundary	true
checks	policy_time_step_reference_output_metadata_contract	true
checks	controller_motion_command_and_observation_alias_contract	true
checks	motion_alignment_uses_anchor_yaw_and_local_frame_observations	true
checks	observation_dimensions_are_dynamic_body_count_formulas	true
checks	readme_records_real_robot_risk_and_remote_switches	true
checks	host_ros2_runtime_unavailable_or_not_jazzy_noble	true
checks	does_not_execute_ros_mujoco_or_robot	true
checks	does_not_claim_deployment_reproduction	true
host_runtime	python_version	"""3.8.10"""
host_runtime	ubuntu_version_id	"""20.04"""
host_runtime	ubuntu_codename	"""focal"""
host_runtime	ros2_path	null
host_runtime	colcon_path	null
host_runtime	rosdep_path	null
