item	status	evidence	reason
old_full_bundle	do_not_use_for_new_teacher_training	/mnt/infini-data/test/BeyondMimic/res/report_assets/official_importer_export_motion_bundle_body_position_degeneracy/motion_bundle_body_position_degeneracy_audit.json	body_pos_w and z-spread are degenerate/root-like
fk_repaired_full_bundle	candidate_for_next_ppo	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_motion_npz/tracking_g1_official_csv_loop_full_bundle_fk_repaired_motion_npz.json	40 motions, 11960 frames, non-degenerate body_pos_w spread, ankles near ground
fk_repaired_split_task_eval	passed_task_contract_but_runtime_order_misaligned	/mnt/infini-data/test/BeyondMimic/res/tracking/g1_official_importer_export_fk_repaired_split_task_eval/tracking_g1_official_importer_export_fk_repaired_split_task_eval.json	40/40 rows ok, total_done_count=11958, reward_mean=0.009514830887201243
fk_repaired_body_order_runtime_probe	root_cause_identified	/mnt/infini-data/test/BeyondMimic/res/tracking/fk_repaired_body_order_runtime_probe/fk_repaired_body_order_runtime_probe.json	live MotionLoader indexing uses IsaacLab robot body order, not URDF order; max named-vs-loader z delta=0.9731605760753155 m
fk_repaired_robot_order_bundle	candidate_for_next_ppo	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_robot_order_motion_npz/tracking_g1_official_csv_loop_full_bundle_fk_repaired_robot_order_motion_npz.json	same FK targets reordered to IsaacLab runtime robot body order for official MotionLoader
fk_repaired_robot_order_split_task_eval	passed_full_split_task_eval_with_lower_done_rate	/mnt/infini-data/test/BeyondMimic/res/tracking/g1_official_importer_export_fk_repaired_robot_order_split_task_eval/tracking_g1_official_importer_export_fk_repaired_robot_order_split_task_eval.json	40/40 rows ok, total_done_count=2166, done_rate=0.1811036789297659, reward_mean=0.016136537102128173, anchor/body error mean=0.08431245510000736/0.2135774338617921
old_scaled_ppo_chain	diagnostic_only	/mnt/infini-data/test/BeyondMimic/res/tracking/g1_official_importer_export_full_bundle_scaled_ppo_endpoint_z_error_trace/tracking_g1_official_importer_export_scaled_ppo_endpoint_z_error_trace.json	endpoint z-error/termination diagnostics are retained, but the teacher chain should be rerun
fk_repaired_full_bundle_ppo_training	completed_local_virtual_training	/mnt/infini-data/test/BeyondMimic/res/tracking/g1_official_importer_export_fk_repaired_full_bundle_ppo_training_run/tracking_g1_official_importer_export_fk_repaired_full_bundle_ppo_training_run.json	1000-iteration PPO completed on GPUs 4/7 with 21 checkpoints
fk_repaired_full_bundle_ppo_eval	completed_but_not_downstream_ready	/mnt/infini-data/test/BeyondMimic/res/tracking/g1_official_importer_export_fk_repaired_full_bundle_ppo_checkpoint_eval/tracking_g1_official_importer_export_fk_repaired_full_bundle_ppo_checkpoint_eval.json	done_count_total=612350, total_env_steps=612352, done_rate=0.9999967339046822, reward_mean=0.011290603055677884
fk_repaired_robot_order_full_bundle_ppo_training	completed_current_strongest_local_virtual_tracking_baseline	/mnt/infini-data/test/BeyondMimic/res/tracking/g1_official_importer_export_fk_repaired_robot_order_full_bundle_ppo_training_run/tracking_g1_official_importer_export_fk_repaired_robot_order_full_bundle_ppo_training_run.json	1000-iteration PPO completed on GPUs 4/7 with 21 checkpoints using the robot-order FK-repaired full public-motion bundle
fk_repaired_robot_order_full_bundle_ppo_eval	completed_but_not_final_downstream_teacher	/mnt/infini-data/test/BeyondMimic/res/tracking/g1_official_importer_export_fk_repaired_robot_order_full_bundle_ppo_checkpoint_eval/tracking_g1_official_importer_export_fk_repaired_robot_order_full_bundle_ppo_checkpoint_eval.json	done_count_total=109170, total_env_steps=612352, done_rate=0.1782798129180602, reward_mean=0.02073384587805606, anchor/body/joint error mean=0.07790673197711191/0.36114187777839774/1.5732512252785291; stronger than the URDF-order FK checkpoint but not paper-level or downstream-ready
