iteration	checkpoint	status	selected_physical_gpus	duration_seconds	num_envs	eval_steps	total_env_steps	loaded_iteration	reward_mean	done_count_total	timeout_count_total	local_non_timeout_done_rate	error_anchor_pos_mean	error_body_pos_mean	error_joint_pos_mean	error_anchor_lin_vel_mean	error_body_lin_vel_mean	error_joint_vel_mean	uses_official_importer_export_usd	uses_resource_adjusted_usd	motion_count	total_motion_frames	json	metrics_json	timeseries_csv	gpu_metrics_csv	log
0	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_training/resource_adjusted_ppo_20260620_183959_seed20260696/rank_0/model_0.pt	ok_official_importer_export_full_bundle_scaled_ppo_checkpoint_eval_completed	[4, 7]	41.171	256	299	76544	0	0.022788861255631798	76544	0	1.0	0.059551948052285905	0.6452447620522617	0.9208521964557992	0.4443152433255046	0.526597809731761	0.0	True	False	40	11960	/mnt/infini-data/test/BeyondMimic/res/tracking/g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0000/tracking_g1_official_importer_export_scaled_ppo_checkpoint_eval_iter_0000.json	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0000/resource_adjusted_ppo_eval_20260621_011214_seed20260730/eval_metrics.json	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0000/resource_adjusted_ppo_eval_20260621_011214_seed20260730/eval_timeseries.csv	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0000/resource_adjusted_ppo_eval_20260621_011214_seed20260730/gpu_metrics.csv	/mnt/infini-data/test/BeyondMimic/logs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/tracking_g1_resource_adjusted_ppo_checkpoint_eval.log
50	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_training/resource_adjusted_ppo_20260620_183959_seed20260696/rank_0/model_50.pt	ok_official_importer_export_full_bundle_scaled_ppo_checkpoint_eval_completed	[4, 7]	41.202	256	299	76544	50	0.02326325099155257	76544	0	1.0	0.059551948052285905	0.6452447620522617	0.9208521964557992	0.4443152433255046	0.526597809731761	0.0	True	False	40	11960	/mnt/infini-data/test/BeyondMimic/res/tracking/g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0050/tracking_g1_official_importer_export_scaled_ppo_checkpoint_eval_iter_0050.json	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0050/resource_adjusted_ppo_eval_20260621_011255_seed20260730/eval_metrics.json	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0050/resource_adjusted_ppo_eval_20260621_011255_seed20260730/eval_timeseries.csv	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0050/resource_adjusted_ppo_eval_20260621_011255_seed20260730/gpu_metrics.csv	/mnt/infini-data/test/BeyondMimic/logs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/tracking_g1_resource_adjusted_ppo_checkpoint_eval.log
100	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_training/resource_adjusted_ppo_20260620_183959_seed20260696/rank_0/model_100.pt	ok_official_importer_export_full_bundle_scaled_ppo_checkpoint_eval_completed	[4, 7]	41.49	256	299	76544	100	0.02326151314985792	76544	0	1.0	0.059551948052285905	0.6452447620522617	0.9208521964557992	0.4443152433255046	0.526597809731761	0.0	True	False	40	11960	/mnt/infini-data/test/BeyondMimic/res/tracking/g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0100/tracking_g1_official_importer_export_scaled_ppo_checkpoint_eval_iter_0100.json	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0100/resource_adjusted_ppo_eval_20260621_011337_seed20260730/eval_metrics.json	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0100/resource_adjusted_ppo_eval_20260621_011337_seed20260730/eval_timeseries.csv	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0100/resource_adjusted_ppo_eval_20260621_011337_seed20260730/gpu_metrics.csv	/mnt/infini-data/test/BeyondMimic/logs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/tracking_g1_resource_adjusted_ppo_checkpoint_eval.log
150	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_training/resource_adjusted_ppo_20260620_183959_seed20260696/rank_0/model_150.pt	ok_official_importer_export_full_bundle_scaled_ppo_checkpoint_eval_completed	[4, 7]	42.249	256	299	76544	150	0.02326877580264141	76544	0	1.0	0.059551948052285905	0.6452447620522617	0.9208521964557992	0.4443152433255046	0.526597809731761	0.0	True	False	40	11960	/mnt/infini-data/test/BeyondMimic/res/tracking/g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0150/tracking_g1_official_importer_export_scaled_ppo_checkpoint_eval_iter_0150.json	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0150/resource_adjusted_ppo_eval_20260621_011419_seed20260730/eval_metrics.json	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0150/resource_adjusted_ppo_eval_20260621_011419_seed20260730/eval_timeseries.csv	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0150/resource_adjusted_ppo_eval_20260621_011419_seed20260730/gpu_metrics.csv	/mnt/infini-data/test/BeyondMimic/logs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/tracking_g1_resource_adjusted_ppo_checkpoint_eval.log
200	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_training/resource_adjusted_ppo_20260620_183959_seed20260696/rank_0/model_200.pt	ok_official_importer_export_full_bundle_scaled_ppo_checkpoint_eval_completed	[4, 7]	41.375	256	299	76544	200	0.023272483836996514	76544	0	1.0	0.059551948052285905	0.6452447620522617	0.9208521964557992	0.4443152433255046	0.526597809731761	0.0	True	False	40	11960	/mnt/infini-data/test/BeyondMimic/res/tracking/g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0200/tracking_g1_official_importer_export_scaled_ppo_checkpoint_eval_iter_0200.json	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0200/resource_adjusted_ppo_eval_20260621_011502_seed20260730/eval_metrics.json	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0200/resource_adjusted_ppo_eval_20260621_011502_seed20260730/eval_timeseries.csv	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0200/resource_adjusted_ppo_eval_20260621_011502_seed20260730/gpu_metrics.csv	/mnt/infini-data/test/BeyondMimic/logs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/tracking_g1_resource_adjusted_ppo_checkpoint_eval.log
250	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_training/resource_adjusted_ppo_20260620_183959_seed20260696/rank_0/model_250.pt	ok_official_importer_export_full_bundle_scaled_ppo_checkpoint_eval_completed	[4, 7]	41.518	256	299	76544	250	0.02326767363376841	76544	0	1.0	0.059551948052285905	0.6452447620522617	0.9208521964557992	0.4443152433255046	0.526597809731761	0.0	True	False	40	11960	/mnt/infini-data/test/BeyondMimic/res/tracking/g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0250/tracking_g1_official_importer_export_scaled_ppo_checkpoint_eval_iter_0250.json	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0250/resource_adjusted_ppo_eval_20260621_011543_seed20260730/eval_metrics.json	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0250/resource_adjusted_ppo_eval_20260621_011543_seed20260730/eval_timeseries.csv	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0250/resource_adjusted_ppo_eval_20260621_011543_seed20260730/gpu_metrics.csv	/mnt/infini-data/test/BeyondMimic/logs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/tracking_g1_resource_adjusted_ppo_checkpoint_eval.log
300	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_training/resource_adjusted_ppo_20260620_183959_seed20260696/rank_0/model_300.pt	ok_official_importer_export_full_bundle_scaled_ppo_checkpoint_eval_completed	[4, 7]	41.213	256	299	76544	300	0.02327705469343774	76544	0	1.0	0.059551948052285905	0.6452447620522617	0.9208521964557992	0.4443152433255046	0.526597809731761	0.0	True	False	40	11960	/mnt/infini-data/test/BeyondMimic/res/tracking/g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0300/tracking_g1_official_importer_export_scaled_ppo_checkpoint_eval_iter_0300.json	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0300/resource_adjusted_ppo_eval_20260621_011625_seed20260730/eval_metrics.json	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0300/resource_adjusted_ppo_eval_20260621_011625_seed20260730/eval_timeseries.csv	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0300/resource_adjusted_ppo_eval_20260621_011625_seed20260730/gpu_metrics.csv	/mnt/infini-data/test/BeyondMimic/logs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/tracking_g1_resource_adjusted_ppo_checkpoint_eval.log
350	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_training/resource_adjusted_ppo_20260620_183959_seed20260696/rank_0/model_350.pt	ok_official_importer_export_full_bundle_scaled_ppo_checkpoint_eval_completed	[4, 7]	41.35	256	299	76544	350	0.02327692236464757	76544	0	1.0	0.059551948052285905	0.6452447620522617	0.9208521964557992	0.4443152433255046	0.526597809731761	0.0	True	False	40	11960	/mnt/infini-data/test/BeyondMimic/res/tracking/g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0350/tracking_g1_official_importer_export_scaled_ppo_checkpoint_eval_iter_0350.json	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0350/resource_adjusted_ppo_eval_20260621_011707_seed20260730/eval_metrics.json	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0350/resource_adjusted_ppo_eval_20260621_011707_seed20260730/eval_timeseries.csv	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0350/resource_adjusted_ppo_eval_20260621_011707_seed20260730/gpu_metrics.csv	/mnt/infini-data/test/BeyondMimic/logs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/tracking_g1_resource_adjusted_ppo_checkpoint_eval.log
400	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_training/resource_adjusted_ppo_20260620_183959_seed20260696/rank_0/model_400.pt	ok_official_importer_export_full_bundle_scaled_ppo_checkpoint_eval_completed	[4, 7]	41.207	256	299	76544	400	0.02324639737954905	76544	0	1.0	0.059551948052285905	0.6452447620522617	0.9208521964557992	0.4443152433255046	0.526597809731761	0.0	True	False	40	11960	/mnt/infini-data/test/BeyondMimic/res/tracking/g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0400/tracking_g1_official_importer_export_scaled_ppo_checkpoint_eval_iter_0400.json	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0400/resource_adjusted_ppo_eval_20260621_011749_seed20260730/eval_metrics.json	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0400/resource_adjusted_ppo_eval_20260621_011749_seed20260730/eval_timeseries.csv	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0400/resource_adjusted_ppo_eval_20260621_011749_seed20260730/gpu_metrics.csv	/mnt/infini-data/test/BeyondMimic/logs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/tracking_g1_resource_adjusted_ppo_checkpoint_eval.log
450	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_training/resource_adjusted_ppo_20260620_183959_seed20260696/rank_0/model_450.pt	ok_official_importer_export_full_bundle_scaled_ppo_checkpoint_eval_completed	[4, 7]	41.27	256	299	76544	450	0.023259602649056393	76544	0	1.0	0.059551948052285905	0.6452447620522617	0.9208521964557992	0.4443152433255046	0.526597809731761	0.0	True	False	40	11960	/mnt/infini-data/test/BeyondMimic/res/tracking/g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0450/tracking_g1_official_importer_export_scaled_ppo_checkpoint_eval_iter_0450.json	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0450/resource_adjusted_ppo_eval_20260621_011830_seed20260730/eval_metrics.json	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0450/resource_adjusted_ppo_eval_20260621_011830_seed20260730/eval_timeseries.csv	/mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/iter_0450/resource_adjusted_ppo_eval_20260621_011830_seed20260730/gpu_metrics.csv	/mnt/infini-data/test/BeyondMimic/logs/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_sweep/tracking_g1_resource_adjusted_ppo_checkpoint_eval.log
