name	command	return_code	passed	artifact	artifact_status	log
official_source_contract	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/tracking_official_source_contract_audit.py	0	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_source_contract_audit/tracking_official_source_contract_audit.json	ok	/mnt/infini-data/test/BeyondMimic/logs/tracking_nonkit_suite/official_source_contract.log
g1_action_scale	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/tracking_g1_action_scale_audit.py	0	True	/mnt/infini-data/test/BeyondMimic/res/tracking/g1_action_scale_audit/tracking_g1_action_scale_audit.json	ok	/mnt/infini-data/test/BeyondMimic/logs/tracking_nonkit_suite/g1_action_scale.log
reward_formula	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/tracking_reward_formula_audit.py	0	True	/mnt/infini-data/test/BeyondMimic/res/tracking/reward_formula_audit/tracking_reward_formula_audit.json	ok	/mnt/infini-data/test/BeyondMimic/logs/tracking_nonkit_suite/reward_formula.log
observation_action_schema	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/tracking_observation_action_schema_audit.py	0	True	/mnt/infini-data/test/BeyondMimic/res/tracking/observation_action_schema_audit/tracking_observation_action_schema_audit.json	ok	/mnt/infini-data/test/BeyondMimic/logs/tracking_nonkit_suite/observation_action_schema.log
randomization_termination	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/tracking_randomization_termination_audit.py	0	True	/mnt/infini-data/test/BeyondMimic/res/tracking/randomization_termination_audit/tracking_randomization_termination_audit.json	ok	/mnt/infini-data/test/BeyondMimic/logs/tracking_nonkit_suite/randomization_termination.log
motion_preprocessing_contract	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/motion_preprocessing_contract_audit.py	0	True	/mnt/infini-data/test/BeyondMimic/res/tracking/motion_preprocessing_contract_audit/motion_preprocessing_contract_audit.json	ok	/mnt/infini-data/test/BeyondMimic/logs/tracking_nonkit_suite/motion_preprocessing_contract.log
build_tracking_motion_npz_fixture	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/build_tracking_motion_npz_fixture.py	0	True	/mnt/infini-data/test/BeyondMimic/res/tracking/motion_npz_fixture/tracking_motion_npz_fixture.json	ok	/mnt/infini-data/test/BeyondMimic/logs/tracking_nonkit_suite/build_tracking_motion_npz_fixture.log
tracking_local_smoke_preflight	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/tracking_local_smoke_preflight.py	0	True	/mnt/infini-data/test/BeyondMimic/res/tracking/local_smoke_preflight/tracking_local_smoke_preflight.json	ok	/mnt/infini-data/test/BeyondMimic/logs/tracking_nonkit_suite/tracking_local_smoke_preflight.log
adaptive_sampling_discrepancy	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/adaptive_sampling_discrepancy_audit.py	0	True	/mnt/infini-data/test/BeyondMimic/res/tracking/adaptive_sampling_discrepancy_audit/adaptive_sampling_discrepancy_audit.json	ok	/mnt/infini-data/test/BeyondMimic/logs/tracking_nonkit_suite/adaptive_sampling_discrepancy.log
tracking_onnx_export_contract	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/tracking_onnx_export_contract_audit.py	0	True	/mnt/infini-data/test/BeyondMimic/res/tracking/onnx_export_contract_audit/tracking_onnx_export_contract_audit.json	ok	/mnt/infini-data/test/BeyondMimic/logs/tracking_nonkit_suite/tracking_onnx_export_contract.log
tracking_debug_motion_policy_onnx_export	/mnt/infini-data/test/BeyondMimic/envs/bm_diffusion/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/tracking_debug_motion_policy_onnx_export.py	0	True	/mnt/infini-data/test/BeyondMimic/res/tracking/debug_motion_policy_onnx_export/tracking_debug_motion_policy_onnx_export.json	ok	/mnt/infini-data/test/BeyondMimic/logs/tracking_nonkit_suite/tracking_debug_motion_policy_onnx_export.log
tracking_debug_motion_policy_onnx_inference	/mnt/infini-data/test/BeyondMimic/envs/bm_diffusion/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/tracking_debug_motion_policy_onnx_inference_audit.py	0	True	/mnt/infini-data/test/BeyondMimic/res/tracking/debug_motion_policy_onnx_inference/tracking_debug_motion_policy_onnx_inference_audit.json	ok	/mnt/infini-data/test/BeyondMimic/logs/tracking_nonkit_suite/tracking_debug_motion_policy_onnx_inference.log
mujoco_ros_launch_contract	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/mujoco_ros_launch_contract_audit.py	0	True	/mnt/infini-data/test/BeyondMimic/res/tracking/mujoco_ros_launch_contract_audit/mujoco_ros_launch_contract_audit.json	ok	/mnt/infini-data/test/BeyondMimic/logs/tracking_nonkit_suite/mujoco_ros_launch_contract.log
