group	order	term	function	dimension	has_noise	noise_min	noise_max
policy	0	command	generated_commands	58	False		
policy	1	motion_anchor_pos_b	motion_anchor_pos_b	3	True	-0.25	0.25
policy	2	motion_anchor_ori_b	motion_anchor_ori_b	6	True	-0.05	0.05
policy	3	base_lin_vel	base_lin_vel	3	True	-0.5	0.5
policy	4	base_ang_vel	base_ang_vel	3	True	-0.2	0.2
policy	5	joint_pos	joint_pos_rel	29	True	-0.01	0.01
policy	6	joint_vel	joint_vel_rel	29	True	-0.5	0.5
policy	7	actions	last_action	29	False		
critic	0	command	generated_commands	58	False		
critic	1	motion_anchor_pos_b	motion_anchor_pos_b	3	False		
critic	2	motion_anchor_ori_b	motion_anchor_ori_b	6	False		
critic	3	body_pos	robot_body_pos_b	42	False		
critic	4	body_ori	robot_body_ori_b	84	False		
critic	5	base_lin_vel	base_lin_vel	3	False		
critic	6	base_ang_vel	base_ang_vel	3	False		
critic	7	joint_pos	joint_pos_rel	29	False		
critic	8	joint_vel	joint_vel_rel	29	False		
critic	9	actions	last_action	29	False		
