motion	input_csv	input_csv_sha256	start_frame	end_frame_exclusive	frame_count	fps	joint_shape	body_shape
dance1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/dance1_subject1.csv	e2a369e92e5ad076c5acffff7bce53157a0e6cd9e7e9f6a08dadfb1eb2928d8f	0	299	299	50	[299, 29]	[299, 40, 3]
dance1_subject2	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/dance1_subject2.csv	3c2d37391ab08af18224f7a63ea55f1cd83480bdec779c320acb4d0b3062633e	299	598	299	50	[299, 29]	[299, 40, 3]
dance1_subject3	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/dance1_subject3.csv	983ab290f7ac70fcd4baa56ea5321bc48522f613980986e4a0a83c884b940884	598	897	299	50	[299, 29]	[299, 40, 3]
dance2_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/dance2_subject1.csv	f8611569a28fff323577ccb53021b0b189114510a284f76b234fc6e0e9f089e1	897	1196	299	50	[299, 29]	[299, 40, 3]
dance2_subject2	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/dance2_subject2.csv	85af86f623b3f7cf329bed84088382989f11df11025d305ad5aa1600e8f6828a	1196	1495	299	50	[299, 29]	[299, 40, 3]
dance2_subject3	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/dance2_subject3.csv	487bcfa3710811acf6fcb2b6c916a79cec8e84fb5494b9b04361c0800852d83a	1495	1794	299	50	[299, 29]	[299, 40, 3]
dance2_subject4	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/dance2_subject4.csv	e057410a0e7ec0618f58a5d5eceafe686ca292c9ad4dd3c4068eaad15283a46f	1794	2093	299	50	[299, 29]	[299, 40, 3]
dance2_subject5	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/dance2_subject5.csv	2d10031bb293d20ccf6fd8aa76e00d4a5d8dc92cba5f59773d48cc9c8b25637f	2093	2392	299	50	[299, 29]	[299, 40, 3]
fallAndGetUp1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fallAndGetUp1_subject1.csv	97e98a9cac5150917bc5a2ca3517759a3f3c380582cde5e92ad663c1e0553e12	2392	2691	299	50	[299, 29]	[299, 40, 3]
fallAndGetUp1_subject4	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fallAndGetUp1_subject4.csv	5e9cf9acddc62a8646151567fffac09c7e088186d87a9a8543743cac517ddf0b	2691	2990	299	50	[299, 29]	[299, 40, 3]
fallAndGetUp1_subject5	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fallAndGetUp1_subject5.csv	55a22ca723f26170aae8529ccb26dbda9bf2cb816b4f29eed3c57260dadb05ca	2990	3289	299	50	[299, 29]	[299, 40, 3]
fallAndGetUp2_subject2	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fallAndGetUp2_subject2.csv	49ae9726ae176b10b1213b441535946ffcca93586e1091e8398e239f4a049a47	3289	3588	299	50	[299, 29]	[299, 40, 3]
fallAndGetUp2_subject3	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fallAndGetUp2_subject3.csv	fa6e33725a450789160c8f3220b0a5e9001798f023fd14e3ff6c230a0829d75d	3588	3887	299	50	[299, 29]	[299, 40, 3]
fallAndGetUp3_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fallAndGetUp3_subject1.csv	fc00701411a270a9ab61c321ba836ba36437c61630c65f8fe276ac851f23ccd7	3887	4186	299	50	[299, 29]	[299, 40, 3]
fight1_subject2	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fight1_subject2.csv	c9ae5b9d90258061dfc79f617eaded73f2dde581fe37ac2d8e6b229c1a4a0ecb	4186	4485	299	50	[299, 29]	[299, 40, 3]
fight1_subject3	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fight1_subject3.csv	013b7219ddbbb37d17483d2bd0c28ae3d4307c2fec6d4180feed27c65d2acfcd	4485	4784	299	50	[299, 29]	[299, 40, 3]
fight1_subject5	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fight1_subject5.csv	d1490265b7b8ee5ac488853a3933ebdaee8ba6c9ecb5ef300146330b51b8c0dc	4784	5083	299	50	[299, 29]	[299, 40, 3]
fightAndSports1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fightAndSports1_subject1.csv	076c2614df1a155e52c2b14074da8aa3b209176d930d2e3ffd059a9e9847fdc2	5083	5382	299	50	[299, 29]	[299, 40, 3]
fightAndSports1_subject4	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fightAndSports1_subject4.csv	83e2f3ec77ab9d3edc43c73e1894b0be2d9d0b2361098294bb178ab5cf32a1d9	5382	5681	299	50	[299, 29]	[299, 40, 3]
